,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.181363122687551,0,0,-0.0450694309973162,0,0,0,0,0,0.49444334954122,0,0,0,0,0,0,0,0,0,0,-0.148227495716548,0,0,0,0,0,0,0,0,0,0,-0.285144778473125,0,0,0,0,0.700097401922708,0,-0.151379874350789,0.0594158959534815,0,0,0,0,-0.0393432016650997,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.163448810556003,0,0,0.0261049764222075,0,0,0,0,0.0592519618152059,0,0,0,0,0,0,0,0.121736578583581,0,0.033924863186676,0,0,0,0,0.0581264575325668,0,0,0,0,0,0,0,0.59124536898122,0.0224462064258166,0,0.0194296086401646,-0.077388451472544,0,0,0,0,-0.0400772302044024,0,0,0,0,0
X601939.CH.EQUITY,0.288755116841331,0,0,0,0,0,0,0,0,0.00743758987023929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110417953465679,0,0,0,0,0.214642093729888,0,0.0990441141547596,0,0,0,-0.35413628332553,0,0,0,0.532988543174129,0.0710013637471458,-0.0479087203688753,0,0,0,0,0,0,0,0.0717646652081268,0,0,0.0482041431161665
X601288.CH.EQUITY,0,0,0,0,0,0.341110271480254,0.00952295094166104,0,0.292971268314103,0.0550703308484898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145255648823952,0,0,0,0,0,0,-0.022902644164975,0,0,0,0,0,0.0749990480084931,0,0,0.132089181672241,0,0,-1.38777878078145e-17,0,0,0,0,0
X5.HK.EQUITY,-0.189087857957302,-0.0733189821178924,0,0,0,0,0,0,0,0,0,0,0,0,0.227579212480413,0,0,0,0,0.137531960017936,0.197506789685701,0,0,0.454454220688872,0,0,0,0,0,-0.115400782824578,0,0,0,0,-0.0272747300875951,0,0,0,0,0,0.192346672361924,-0.13496866106923,0,0,0,0,0,-0.116026994008147,0,-3.46944695195361e-18,0,0
X601988.CH.EQUITY,0.154406921789859,0,0.0151814100993188,0.474279598546856,0,0,0,0,0,0,0.107024811533064,0,0.0761971782573539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150444533546922,0.0702689087648649,0,0,0,0,0,0,0,0,0,0,0,0.115111545875703
X600036.CH.EQUITY,0,0.464707210411301,-0.0186204504011433,0,0,0,0,0,-0.128591813677634,0.610395852384176,0,0,0,0,-0.129884976587402,0,0,0.0180516158628993,0,0.0972192903476106,0,0,0,0,0,0.106988291705057,0,0.0556806459697696,0,0.328922121667209,0,0,0,0,-0.229511998908761,0,0,0,-0.0623300631483312,0,0.170416093779567,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0926378441799626,0,0,0,0,0,0.245763638591507,0.260425200809491,0,0.0470626660442427,0,0,-0.114154277872968,0,0.254596010365022,0.126161080358375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461639450910001
X601628.CH.EQUITY,0,0,0.0122525271564632,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0150427768044984,0.219717225518431,0,0,0,0.00121851471137658,0,0,0,0,0,0,0.115778035837547,0,0,0,0,0,0,0,0,0,0,0,0,0.404272736429442,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547585735193829
X601328.CH.EQUITY,0,0.00664465754910069,0.0899941579713854,0.227428648423372,0,0,0.196505544759068,0,0,0,0,0.0950394980007386,0,0,0,0,0,0.208854368881462,0,0,0,0.0123141842256342,0,0,0,0,0.139814418735744,0,0,0,0,0,0,-0.187644422336566,0,0,0,0,0,0,0,0,0,0.104790541406075,0,0,0,0.0429868059241389,0,0,0,-0.437192681633327
