,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0871282876703149,0,0.394154489548336,0,0,0.101981774274121,0,0.109081557221218,0,0,0,0,0,0,0.189508672698993,0,0,0,-0.071867824902487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872284295805808,0,0,0,0,0,0,0,0,0,0,0,0.0661939729900322,0,0,0,0
X601939.CH.EQUITY,0.223597698226337,0,0,0.0349783015731823,0.0743389496605282,0,0,0,0,0,0,0.0695296765300049,0,0.334373034353426,0,0.206707330483755,0,0,0,0,0,0,0,-0.0514844812715574,0,-0.0868073401739236,0,0,0,0,0,0.0636797475587457,0,0.0262571775591665,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.388523326256102,0.0307865752223814,0,0,0.354880126075435,0,0,0,0,0,0.0990217372077847,0,0,0,0,0,0,0.0516167837335249,0,0,0,0,0,0,0,0,0,0,0,0.0195795625941889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322380625686178,0,0,0
X601988.CH.EQUITY,0,0,0,0.271864986315518,0,0,0,0,0,0,0,0,0,0.0883173487293912,0,0.100863094169197,0,0,0,0,0.268028776637857,0,0,0,0.00324448800694392,0,0,0,0,0,0.0383660976732612,0.0509448657686333,0,0,0.122859145613365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.183709907728471,0,0,0,0,0.286834056791314,0,0.222374223122675,0,0,0,0,0.3226889955858,0,0,-0.276482199482519,0,0,0,0.0634530779206531,0,0,0,0,0,0,0,0,0,0.13502792993183,0,0,0,0,0,0,0,0,0,-0.137964720430589,-0.0659749992043979
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.18495466926772,0,0,0,0,0,0,0,0,0,0,0,0.207070145920934,0,0.13095382923988,0,0,0,0.0961317053829238,0,0,0,0.0762476570938565,0,0,0,0,0.147013258192765,0,0,3.46944695195361e-18,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.0531785759298408,0,0,-0.100044478928995,0,0,0,0,0,0,0,0,0,-0.0122182247235746,-0.0750758763876907,0,0,0,0,0,0,0,0,0,0,0.217925009976079,0,0,0,0,0,0,-0.510155470668409,0,0,0,0.529238194513385,0,0,-0.109231473001512,1.01892276855113,0,0,0,0,0,0,0,0,-0.0855833381718353
