,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.129861193583452,0,0.0559277455341328,0,0,0,0,0,0,0,0.36428337641995,0,0,0,-0.034333539571874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465624705966016,0,0,0,0,0,0,0.249659242089545,0,0,0,0,0,0.0726005086792996,0,0,0,0.0128369113217827,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.112384657048505,0,0,0,0.00140128761979491,-0.176399245516877,0,0.0931261730853916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230403605174746,0,0,0,0,0,0,-0.254203247682005,0,0.448081286209129,0.0493989003328802,0.130399206241509,0,0,0,0,0.187094491479391,0,0,0,0
X601939.CH.EQUITY,0.221138600590379,0,0,0.2559701762938,0,0.148199275925757,0,-0.0489845638251311,-0.0289551944302403,0,0,0,0,0,0.0320306931679377,0,0,0,0,0,-0.00975807575432703,0.063524512447093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487389671484058,-0.0956215237144835,0,0,0.0178322330355772,0,-0.0385458870897943,0,0,0.034496368187716,0,0,0,0
X601288.CH.EQUITY,0.413264506499976,0,0.194856666388674,0,0,0.154076599820238,0,0,0.026353842768264,0,0,0,0,0.0413730490705719,0,-0.118198359951038,0.0482456630912568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020305938140931,0,0,0.0386736152176963,0,0,0,0.156276101591127,0,0,0,0,0,0,0,0,0,0.178669033428262,0,0,0
X5.HK.EQUITY,0,-0.0538799652045601,1.73472347597681e-18,0.222502390881512,0,0.0452225765940752,0,-0.214150436956631,0,0,0,0.0675929898716078,0.0413055486198683,0,0,0,0,0,0,0.679325306136235,0,0,0,0,0.169358322944605,0,0,-0.0604144517745522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217536842193484,0,0,-0.0832797374132919,0,0,0
X601988.CH.EQUITY,0.140606452467879,0,0.125680502587763,0.149447703761984,0,0,0,0,0.100387038490568,0,0.102026022583427,0,0,-0.241941227139882,0,0,0,0,0,0,0,0,0.069717958459395,0.250655073477119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113192471367028,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0102397748905324,0,0,0,0,0,0.102975686204157,0,0,0,0,0.0536679553232288,0,0.295764794241292,0.239309254646661,0,0,0,0.115127901365891,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0655061876180692,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0366163661011541,0,0,0,0,0.0878540198637997,0,0,0.00245431149060389,0,-0.042068230158911
X1299.HK.EQUITY,0,0,0,0,0,-0.00308116587690242,0.0103290260945278,0,0,0,0.209829140040138,0,0,0,-0.141524906072509,0,0,0,0.335576340971027,0.23900458210647,0,0,0.0201985490235505,0,0,0,0,0.153081784911564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607873820323062,0,0.121183005454412,0,0,0,0,0,0
X601628.CH.EQUITY,0.285258695925449,0.281034973566411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823424350373413,0,0,0,0,0,0,0,0,0,0.0477032966930778,3.73072197921483e-05,0,0,0,0,0,0,0.0999975785694635,-0.0408080523755885,0,0,0,0,0,0,0,0,0,0.0514771094531481,0,-0.187626249057278,0,0,0,0.222198226269687
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
