,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.146950856133878,0,0.0855959656361706,0,0,0,0,0,0,0,0.358144522085961,0.0867033825348358,0,0,0,-0.124573805929456,0,0,0,0,0,0,0,0,0,0,0,0.119497433943928,3.46944695195361e-18,0,0,0,0,0,0.239066405082091,-0.0101628864471339,0,0,0,0,0,0,0.0476567544175039,0,0,0.0544048749224302,0,0,0,0,0,0.0655290504218662
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.126575547524436,0,0,0,0.0550023056994379,-0.177634673639202,0.0747472997602508,0,0.0906057894481148,0,0,0,0,0,-0.012563873123054,0,0,0,0,0,0,0,0,0,0,0.189604857996797,0,0,0,0,0,-0.234829965351908,0,0.372609909692822,0.162157719733101,0.106884841513586,0,0,0,0,0.164201078998967,0,0,-0.0254299013529275,0
X601939.CH.EQUITY,0.250551968759803,0,0,0.232731911918976,0,0.137705346175903,0,-0.0333210125342182,0,0,0,0,0,0,0.0343772999955044,0,0,0,0,0,-0.00631048087900159,0,0.0664810280460428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476110128830347,-0.102209375153383,0,0.0235953153868448,0,0,-0.0427842801659725,0,0,0.0262707162812296,-0.0158837884176751,0,0,0
X601288.CH.EQUITY,0.561793244326104,0,0.168127931554828,0,0,0.026309970719269,0,0,0.0127933147883864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02434103852658,0,0,0,0,0,0,0.107941986178973,0,0,0,0.0575001011631792,0.0961124360554745,0,0,0.0434140875243073,0,0,0,0,0,0,0.127539666644855,0,0,0
X5.HK.EQUITY,0,-0.112802105884967,0.0378718536240606,0.27381227854249,0,0,0,-0.24143384736955,0,0,0,0,0.147731642114174,0,0,0,0,0,0,0.627653224010788,0,0,0,0,0.302397144403913,0,0,-0.0241757988498356,0,0,0,0,0.0207427070439932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183098101374004,0,0,-0.0714714933926757,0,0,0
X601988.CH.EQUITY,0.19646749217218,0,0.0848726510069137,0.0214299936894446,0,0,0,0,0.0311472703785651,0,0.0770127210410922,0,0,-0.32886882994908,0,0,0,0,0,0,0,0.509080729194669,0,0.0689920933802209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115694717634269,0,0,0,0,0,0,0,0,0,0.0300732582684923
X600036.CH.EQUITY,0,0.00768703602365234,0,0,0,0,0,0.11200694780982,0,0,0,0,0,0,0.274950032259446,0,0.176200298421532,0.00419328559144491,0,0.088072025511892,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.115652302330762,-0.00266516165365339,0,0,0,0,0,0,0,0,0.0942854697847646,0,0,0,0.129072410383367,0,0,0.0191303302867608,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0306898995960385,0.0391521076780954,0,0,0,0.189297435286406,0,0,0,-0.180977089380209,0,0,0,0.349272956527294,0.283281332424217,0,0,0,0.0356937928649449,0,0,0,0.0838357327285987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617094835339568,0,0,0,0,0,0
X601628.CH.EQUITY,0.253117167064215,0.277870848114708,0,0.0265887209937216,0,0,0,0,0,0,0.00245665525094787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592690478346173,0,0,0,0,0,0,0.0796180657459271,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0246919942951314,0,-0.186899718235604,0,0,0,0.231599091396311
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155620870235633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112284830890585
