,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.488701896905063,0,0,0.383299054810607,0,0,0,0,0,0,0,0,0,-0.0573871403939228,0,0,-0.0807345443876497,0,0,0,0,0.0187862749384682,0,0,0,0,0,0,0,0,0,0,0,0.230836803628437,0,0,0,0,0,0,0,0,0,-0.0871521141259575,0,0,-0.184621257032248,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0977838688729912,0,0,0,0,0,0,0.179695729427921,0,0,0.0836345867902974,0,0,-0.0627994582372957,0,0.0754341104769413,0,0,0,0,0,0,0.0790743165853302,0,0,0,0,0.0643168487547389,0,0.00161973578982044,0,0,0,0.451849201343603,-0.0544686058998555,0.0545423144583692,0,0.0143437985399766,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.180099087756711,0,0,0,0,0,0,0,0.0414459276545373,0,0,0,0,3.46944695195361e-18,0,0,0.0117582572475654,0,0,0,0.0918752459159137,0,0,0,0.025566063995427,0.397783793052142,0,0,0,0,0,0,0,0.0446826779947727,0.140590372104954,0,0,0,0.0107412035859312,0,0,0,0,0,0,0.0103124491685399,0,0,0,0,0,0
X601288.CH.EQUITY,0.0737052134193727,0.0525978319833185,0,0,0.00753103510548704,0.0662276212063004,0,0,0,0,0.0961983942732541,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.055530807850512,0,0,0,0,0.11663236775263,0,-0.0225342447133447,0,0,0,0,0,0,0.0335356795520713,0,0,0,0,0.183540601194815,0,0,0,0.29272778477794,0,0,0,0.0257471119341815,0,0,0,0
X5.HK.EQUITY,0,-0.117887856635113,0,0,0,0,0,0,0,0,0,0,0,0,0.0661587782166299,0,0,0.11900896206358,0,0.35659788037939,0,0,0.399659532837474,0,0,0,-0.0179620158492347,0,-0.25770973332708,0,0,0,-0.018967846895642,0,0,0,0,0,0,0,0,0,0,0,-0.0719337247234992,0,0,-0.120003544776515,0,0.206891632891599,-0.0426610549441294,0
X601988.CH.EQUITY,0.161473132905005,0,0,0.389055261284504,0,0,0,0,0,0.116779463857467,0,0,0.100201554835245,0,0,0,0,0,0,0,0,0,0,0.107501815938284,0.00838899119176247,0,0,0,0,0,0,0,0,0.128537626951824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037237619569454,0,0.0924085131449757
X600036.CH.EQUITY,0,0.635195380597937,0,0,0,0,0,0,0,0.0977400593246764,0,2.77555756156289e-17,-0.125158731882366,0,0,0,0,0,0.203861568146739,0,-0.00891455283622191,0,0,0,0,0,0.00645807164365804,0,0.0189427529384274,0,0,0,0,0,0,0,0,0,0,0,0,0.331892782632094,0,0,0,0,0.055838198151444,0,-0.299190692216989,0,0,0.0941726747238334
X1299.HK.EQUITY,0,0.0464112717505111,0,0,0,0,0,0,0,0,0,0,0,-0.109837715683125,0,0.0219561867243154,0,0.272900996122556,0.159291605290613,0,0.290782841177664,0.239188594369217,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12135141136767,0,0,0,0,0,0,0,0,0,0,0,0,-0.210094296746498
X601628.CH.EQUITY,0,0.146784759288925,0,0,0,0,0,0,0,0.0566231584671913,0,0,0,0,0,0,0.210785145187939,0,0,0,0.0971247106403899,0.0618017730667347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152140612211382,0,0.091635420606409,0,0.0399797991572872,0,0,0,0,0,0,0,0.015498979760087,0,0
X601166.CH.EQUITY,0,0,0.194446463684267,0,0,0.172827879362469,0.0729363168174832,0,0,0,0,0,0,0,0,0,0.347648776651681,0,0,0,0,0,-0.09677898848975,0,0,0,0,0.177134662645778,0,0,0,0,-0.0467193407765224,0.312459363518831,0.14155071785816,0,0,0,0,0,0,0,-0.141723705102612,0,0,0,0,0,0,0,0,-0.0699878855370336
