,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.236933973821737,0,0.215754186503222,0,0,0,0,0,0,0,0.0135137839108496,0.256297967880225,0,0,0,0,0.0976986887026996,-0.0786087186554794,0,0,0,0,0,0,0,-0.13790661405944,0,0,0,0,0,0,0,0,0,0.0437939562549364,0,0,0.110536483897571,0,0,0,0,0,0,0,0.0671695302525874,0,-0.0157660622270864,0,0,0.0439543905837165
X601318.CH.EQUITY,0,0,-0.0539824280269007,0,0,0.0645158249269815,0,0,0.228030975504506,0,0,0,0.138479209850016,0,0,0,0.217900877138888,0,0,0,0,0,0,-0.0117627809048277,-0.00881358544018686,0,-0.10763226971109,0,0,0,-0.154786987712724,0,0,0,0.230289107296801,0,0,0,0,0.140153177595268,0.2801925566485,-0.249629319277033,0,0.250875679143731,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.659603756096049,0,0,0,0,0,0,0,0,0,0.0833086977949995,0,0.033257144307369,0,0,0,0,0,0,0,0,0,0,0,0.00170538831468677,0,0,0,0,0,0.0561507803777055,0,0,0.241399721271659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292739506904474,0,0.090376138425696,0,0,0.401072045978078,0,0,0,0,0,0,0,0,0,0,0.0263164107663828,0.121787144567231,0,0,0,-0.0481168777490006,0,0,0,0,-0.0445085642246825,0,0,0,0,0,0,0,-0.0460628428962465,0,0,0,0,0,0,0.141960282362118,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.209987999440874,0,0.242769168497736,0,0,0,-0.0531631278826164,0,0,0,0,0.196492986753786,0,0,0,0,0,0,0,0.489124217652447,0,0,0,0,0,0,0,0,0,0.308397449724647,0,0.0388387073214914,0,0,0,0,0,0,0,0,0.0476174850013085,0,0,0,0,0,0.212376586084142,0,-0.0736230617390944,0,-0.078335871678149,0
X601988.CH.EQUITY,0.184994001735727,0.0380967528834416,0.209912810953241,0,0,0,0,0,0.143287769190659,0,0,0.0170583276587714,0,-0.202490315510784,0,-1.73472347597681e-18,0,0,0,0,0.0785840437133204,0,0.154412411404227,0,0,0,0,0,0,0,0,0,0,0.0526547467947014,0,0,0.0295576102204154,0,0,0.194911362428995,0,0,0,0.0829163809271547,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.164427448039286,0,0,0.0317934718437223,0,0.127542313377933,0,0.372952537624422,0,0.0321998777565116,0,0,0,0,0,0,0,0,0,0,0,0,0.0847507584673774,0,0.110220071820027,0.0238987462332066,0,0.0527865992277048,0.00918611460340594,-0.0212010282350668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.135289058650201,0,0,0,0.120733165288984,0,0,-0.07934317042808,0,0,0,0.231231256522523,0,0,0.0624480648256734,0,0,0.0307266033613104,0,0.0316468400155298,0,0.0585838472240968,0,0,0,0,0.0187185529627671,0.250646615593687,0,0.00376973785538004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.237662621884676,0.139131024747957,0,0,0,0.00570638481901338,0,0,0,0,0,0,0,0,0,0,0.0478936065002765,0,0,0,-0.123487903501859,0,0,0,0,0,0,0.156443714889088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925575293328285,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.172579354719107,-0.448766544402353,0,0,0,-0.109873847117582,0,0,0,0,0,0,0.642712167543829,0,0,0,0,0.182596507333076,0,0,0,0,0,0,0.0268262042383668,0,0,0,0,-0.568191213497841,0,0,-1.73472347597681e-18,0,0,0.0174846718616978,0.526543015349753,-0.222446436371538,-0.0467050800530978,0,0,0,0.0647393926146308
