,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0581597663767776,0,0.499346075510953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121841756217801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197494299195037,0,0.0136904527502836,0,0,0,0,0,0.0163292471201298,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.016003859436751,0,0,0,-0.0146849596175125,0,0,0,0.186658329699704,0,0,0,0,0,0.48971767525335,0,0,0,0,0,-0.0516591830517092,0,0.118303245667513,0,0,0,0,0,0,0.0652560027356997,0,0,0.0771779999464769,0,0,0,0,0,0,0,0,0,0.010891593156494,-6.93889390390723e-18,0.000832170110100987,0,0,0.144175710171134
X601939.CH.EQUITY,0,0,0,0,0.135503775538954,0,0.350216271627913,0,0,0,0.00556813032954362,0,-0.149646086285244,0,0.00544623675612286,0,0,0,0,0,0.02508412126727,0,0.528525670277213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129334724893177,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.147394690241337,0,0,0,0,0,0,0,0.268119244535689,0,0,0,0,0,0.0503950745227783,0,0,0,-0.200814230384658,0,0.00836047689362867,0.0596706740555874,0,0.386485470677708,0,0.269121397930677,0,0,0,0,0,0,0,0,0,0,0,0.117164209164097,0,0,0,-0.0300318957386602,0,0.0332669994165896
X601288.CH.EQUITY,0.0825761682449208,0,-2.16840434497101e-19,0,0,0,0,-0.0116221118149656,0,0.0134030895353018,0,0,0,0.0410311030571834,0,0.451434505806055,0,0,0,0,0,0,0.315891037473286,0,0,0,0,0,0.000604382486613584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260516754015939,0,0,-0.0155548999276429,0,0,-0.0605574972476372
X600036.CH.EQUITY,0.191333671382844,0.0654738513945138,0,0.0588388084926485,0,0,0,0,0,0,0,0,0,0.30306883567422,0,0,0,0,0.0256086488677537,0,0,0,0,0,0.271193243288123,0,0,0,0,0.0451063784396851,0,0,0,0,0,0,0,0,0,0,0,0.0255529953693921,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.115924035028782,0.146473053273914,0.0592572427382064,0,0.0431276408876827,0.333769738702363,0,0,0,0,0,0,0,0,0,0.21707268620901,0,0,0,0,0.170471996090417,0,0,0,0.0130447750826845,-0.0127369971775098,0,0,0,0,0.0542289821547988,0,-0.0579290773040484,0,0,0,0,0,0,0,0,0,0,-0.147273706064388,0,0,0,0,0,0,0,0.0831809507525077,0
X1299.HK.EQUITY,0,0,-0.157929086269457,0,-0.0642992389815461,0,0,0,0,0.249442072785299,0,0,0,0,0,0,0.0260108915144615,0,0,0,-0.106665697418653,0,0,0,0.0470480619409973,0.177156981800881,0.449819316852356,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.042917544936212,0,-0.0500627943495684,0.0285244050622893,0.127845419044828,0,0,0,0.210805427479467,0,0,0,-0.0448623420515475
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000898370916376448,0,-0.186342233834704,0,0,0,0,0,-0.13048636713753,0,0,0,0.148787979375924,0,0,0,0,0.0980335574160906,0.439823112496836,0,0,0,0.053932917422744,0,0,0,0,0,0,0,0,0,0,0.0252107498680455,0.17944064198508,0.184853996770232,0,0,0,0,0.122804428218126,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112532337471075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124202834577461,0,0,0.326514647067921,0.176662682775602,0,0,0,0,0.0714451986231488,0.15416519514859,0,0,-0.246913043761174,-0.159852166554101,0,0.0336834040082335,0,0.307294212247253,0,0,0,0.00784237351220341,0,0
X601658.CH.Equity,0.0898374525736612,0.077213796163765,0,0,0,0,0,0.111879560578187,0,0,0,0,0,0.0869887311605091,0,0.29179920738799,0,0,0.0511715292271086,0,0,0,0.0357999638502967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705708574570397,0,0,0,0,-0.116027102669738,0,0.000102919929651949,0,0.195662461409388,0,0.0383773422743336,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,-8.67361737988404e-19,0.00450300089856781,0,0,0.110068941475359,0,0,0,0,0,0,0.106743660432545,0,0,0,0,0,0,0,0,0,0,0.214858356010701,0.0584784397712479,0,0,0,0,0,0,0.129254338324634,0,0,0,0,0.0513116068139372,0.0162109195268293,0,0,0.0633397202195488,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0259447042631343,0,0,0,0,0,0.199704455945487,0.486936535958771,0,0,0.0413165824592447,-0.0393256449856427,0,0,0.0460773917293753,0,0,0,0,0,0,0,0,0.042390436584166,0,0,0,0,0,0.174308780593584,0,-0.0480467771033935,0,0,0,0.0731697218890987,0,-0.042505297426196,0,0.199709493505579,0,0,0,0
X000001.CH.EQUITY,0,0.0392089300562114,0,0,0,0.566867974962932,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.219514410632275,0.0261576282517828,0.0644014797012015,0.0480871391773885,0.0313292823397641,0,-0.254674432562552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177938112492521
