,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0245474358754356,0,0,0,0,0,0,0,0,0,0.211936061136634,0,0,0,0.508648246866631,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.160884501846652,0,0.491482922521854,0,0,0,0,0,0,0,0,0.0915773839743954,0,0.0231986104325539
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141797095469033,0,0,1.73472347597681e-18,0,0,0,0,0.0376204646942179,0,0.0692632539382029,0.0507983259922513,0,0,0,0,0,0.118627184021461,0,0.049854357185327,0,0,0,0,0,0,0,0.246632205824767,0,0,0,0,0.229008868953793,0.00646425687730033,0,0.033268066068298,0,0,0,0,0,0,0,-0.0127368281318184
X601939.CH.EQUITY,0.272289795675611,0,0,0,0,0,0,0,0,0.0303139715511001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478276521955798,0,0,-0.0822759153601345,0,0,0,0,0,0,0,0,0,0,0,0,0.511029752700186,0,0,0,0,0.0019720023601638,0,0.0209022066572769,0,0,0,8.67361737988404e-19,0.111495872708028
X601288.CH.EQUITY,0,0,0,0,-0.0998356126515661,0,0,0,0.13342910016221,0,0.264848718956541,0.362211733807478,0,0,0,-0.0788135418371766,0,0,0,0,-0.0906861757830581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127920776949337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.125103889669898,0.380328525705734,0,0,0,0,0.179657390923883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380032955562547,0.00132074772968564,-0.138129135426872,0,0,0,0,0,0,0,0,0,0.0920157546317905,0,0,0.219065336279906,0,0,0,0,0,-0.140369102099222,0,0.0963317601676937,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.269790013070362,0,0.034017981633516,0,0.0355555986742219,0,0.0996431833234381,0.117168432995191,0,0,0,0,0,0.0767685374435988,0,0,0,0,0,0,0.0484633311851367,0,0,0,0,0,-0.264123661541488,0,0.136793034767862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831043864634602,0,0
X1299.HK.EQUITY,0,0,0,0,0.286711013837936,0,0,0,0,0,0,0,0,0,0,0,0,0.126980776424801,0,0.0637028678418516,0,0,0,0,0,0.0645016723933718,0,0.121486377504755,0,0.0944506205336045,0,0,0,0,0,0,0,0.308907222887659,0,0,0,0,0,0,-0.206347583153138,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.304444513667411,0,0,0,0,-0.0887142764791601,0,0,0.402693223748216,0,0,0,0,0.0213192183676349,0.0683668635245509,0,0,0,-0.0278101035008579,0.292131544988957,0,0,0,0,0,0,0,0.162944174074357,0,0,0,0,-0.218521977256156,0,0,-0.152247402781318,0,0,0,-0.0380044137339859,0,0,0,0.260419020461911,0,0,0,0,0,0,0.0144796857317437
X601628.CH.EQUITY,0,0.20157589776197,0.0310282205077511,0.0888181441371804,0,0,0,0,0,0,0,0,0,0,0,0,0.225186224385244,0,0,0,0,0,0,0,0.026227671301814,0,0,0,0,0,0,0,0,0,0.257915550718401,0.00537623550985151,0,0,0,0,0,0.0332638574604897,0,0.0835578019083802,0.0810405898990199,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00431571081629687,0,0,0,0,0.758353402219084,0,0,0,0,0,0,0,0,0,0,0,0,0.144291630624444,0,0,0,0,0,0.0370096153554514,0,0,0,0,0,0,0,0,0,0,0,-0.0070721464452869,0,0,0.021006420570312,0,0,0,0,-0.203958924375954,0,0,0.050334805762051,0,0
