,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.26723072691427,0.132419870878882,0,0,0,0,0,0,0,0,0,0,0.183244732787807,0,0,0,0,0,0,0,0,0,-0.310996105018457,0,0,0.905510920639036,0,0,-0.186702258584955,0,0,0,0,0,0,0,0,0,0,0.021335037314615,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.243202799733625,0,0,-8.67361737988404e-19,0,0,0,0.127126070629031,0.106864167881741,0,0,0,0,0.111292489989043,0,0,0.0402498321349736,0,0,0,0,0,0,0,0,0,0,0,0,0.116064803391967,0.0761011368955284,0,0.265916781117536,0,0,0,0,0,0,0,0,0,0,0,0,-0.111849164817791
X601939.CH.EQUITY,0.288839098099154,0,0,0,0.115369540435313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160317416418106,0,0,0,-0.12484039243143,0,0,0,0,0.468705954482459,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.55400151996135,0.216755631295627,0,0.422845442798015,0,0,0,0.433930513020883,-0.149361557248247,0.13833650109628,0,0,0,0,0,0,-0.228773170391774,0,0,0,0,0,0,0,-0.609291397218121,0,0,0,0,0,0,0,0,0,0,0,0,0.119637019541281,0,0.161438882473416,0,0,0,-0.110433450510459,0
X5.HK.EQUITY,-0.0289430663648276,-0.0713953999617994,0,0,0,0.073360355355719,0,0.00718816182282253,0,0,0,0,0,0,0.0908787351148359,0.0582415893874571,0,0,0,0.844837555482544,0,0,0,-0.190692011262137,0,0,0.0691945387760197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137157129879132,0,0,0,0,0.112811595971773,0,0,0,0
X601988.CH.EQUITY,-0.293317459018184,0,0,0,0.416320063029097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649992082989324,0,0,0,-0.0990719235966489,-0.0461820287643845,0,0,0,0,0,-0.446048003558193,0,0,0,0,0,0,0,0,0,0.147205273977048,0,0,0,0,0,0.0978551768092088,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.279831658811191,-0.0695705665609075,0,-0.077686932783125,0,0,0,0,0.685917669767728,0,0,0,0,0,0.105810823566871,0,0,0,0,0,0,-0.0732682575003265,0.314159283618695,0,0.128097969272208,0,0,0,0,0,0,0,-0.246633336300083,0,0,0,0,0,0,0,0,0.00607206652334173,0,0,-0.0803316245768587,0,0,0,0,0,0.0391560072469819
X1299.HK.EQUITY,0,0,0,0,0.278311798695452,0,0,0,0,0,0,-0.0670522991773782,0,0,0,0,0.0211762505613801,0,0,0,0,0,0,0,0,0,0.169100296755441,0,0.10160189174715,0,0,0,0.117246569254354,0,0,0,-0.0139695689381867,0,0,0,0,0,-0.0987342377264589,0,0,0,0,0,0,0,0,-0.0161611698692992
X601628.CH.EQUITY,0,0.0579862731466457,0,0,0,0,0,0,0,0,0.158470991449842,0,0,0.385763266942613,0,0,0,-0.00786257555859087,0.000159942468286445,-0.0178288911316001,0,0,0,0,0,0,0,0,0,0,-0.0662135821509573,0,0,0,0,0.109443443966127,0,0.135925786806528,0.0653393076337071,0,0,0,0,0,0,0.0417305103788555,0,0,0,0,0,-0.10767100435713
X601328.CH.EQUITY,0,0,0.0225228591503287,0.0313435934711124,0,0,0.538328361094022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144776949151996,0,0,0.249780559892903,0,-3.46944695195361e-18,0.226784066968329,0,0,0,0,0,0,0,-0.156529174688525,0,0,0,0,0,-0.0145984863460671,0.109766333251945,0,0,0,-0.144017076033867,0,0,0,0,-0.0420986152673969,-0.171843089640292
