,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601328.CH.EQUITY,0.229338495334852,0,0,0.344366026328442,0,0,0,0,0,0,0,0.0293079463578317,0,0,0,0.143665249713283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796412619276183,0.0255938023933203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105184820666281,0.0650317212726979,0,0,0
X388.HK.EQUITY,0,0,0.294531280924311,0,0,0,0,0,0,0,0,0,0,0.0282105325476773,0,0,0.0323877479029331,0,0.0945608918390565,0,0,0,0.0179600008930452,0,0,0,0,0,0,0,0,0,0.0943214218182944,0,0,0,0,0,0,0,0,0,0,0,0,0.0546324200885611,0,0.0114648139393351,0,0,0,0,0
X601166.CH.EQUITY,8.67361737988404e-19,0,0,0,0,0.435011395178974,0,0,0,0,0.0524479691519131,0,0,0,0,0,0,0.0557356441996027,0,0,0,0,0,0,0,0,0,0,0,0.225368668577877,0,0,0,0,0,0,0,0,0,0,0,0,0.0101532686600585,0.0381359452991853,0,0,0.0106617544434204,0.0488068153098706,0.102187545430765,0,0,0,0
X600000.CH.EQUITY,0.198811110859882,0.0331472586168094,0,0.133997243197247,-6.93889390390723e-18,0,0.0142401933738586,0,0.164824781855204,0,0,0,0,0,0,0,0,0.0496167719761064,0,0.0928595943928358,0.0922960026358381,0,0,0,0,0,0,0,0,0,0,0,0,0.0531066709182416,0,0,0,0,0,0,0,0,0.0529856144035053,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.00401350965464021,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0713977278884521,0.122945836692618,0,0,0,0,0,0,6.93889390390723e-18,0.151388266534603,0,0,0.394017985920565,0,0,0,0.13587112287542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516081462462879,0,0,0,0,0,0,0.25713857001009,0,0,0,0,0,0,0.0440211116904003,0,0.298734097288869,0,0.207618103793207,0,0,0.0820517820874044,0.0731335288259595,0,0,0.0139765559532087,0,0,0,6.93889390390723e-18,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0.00798019285134858,0,0.271587554968315,0,0,0,0,0.0732118678767902,0,0,0,0,0,0,0,0.225677220372179,0,0,-1.38777878078145e-17,0,0.038439520087016,0,0,0,0,0,0,0,0.0677029796950729,0,0.295586781964669,0,0,-0.0559634630020545,0.124422046865789,0,-0.107988305790616,0,0,0,0,0.026146526855707,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.200541238783423,0,0,0.202515460797058,0,0,0,0,0,0,0,0.057445900239177,0.0546972607521236,0,0,0,0,0,0,0,0,0,0.147818527289368,0,0,-4.33680868994202e-19,0,0,0,0.179900300513904,0,0,0,0,0.00172975037800774,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.148579774330729,0,-0.0705480321015031,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.135395816554818,0,0,0,0.116985557192707,0.121167893059549,0,0,0,0,0,0,0,0,0,0,0,0.303647175194559,0,0,0,0,0,0,0,0.224012955522215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0.0441624092190413,0.0983545029386835,0,0.0354918284372441,0.0583178956265765,0,0,0,0,0,0.243418927423738,0,0.00229623685466789,0.153844199853471,0,0,0.199640501666842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667428917949895,0,0,0,0,0,0,0,0,0,0,0,0.0925061323942054,0,0,0,0.0768038030721538,0,0,0,-0.0299624690204217,0,0
