,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.334893689064917,0.318231965054294,0,0.0738426810633581,0,-0.0906993067366687,0,0,0.183767336613085,0,0,0,-0.0405448887809999,0,-0.0819841880049905,0,0,0,0,0,0.03302155161301,0,0,0,0,0.011186671110039,-0.0382064207639552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701318824749984,0,-0.10253748828819,0,-0.0739838978037379
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.193435416759,0,0,0.298910490657755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06886537558765,0,0,0,0,0,0,-0.248745358709617,0.276186979005912,0,0,0.180879177624001,0,0,0,0,0.060392718866711,0,0,0,0
X601939.CH.EQUITY,0.436675265865936,0,0,0.0892525613027309,0.114495906318127,0,0,0,0,0,0,0,0.140309425975837,0,0,0,0,0,0,0,0.132080341749336,0,0.0114198176735158,0.0319489050138097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328096030764047,0,0,0,0,0.00722726018627711,0,-0.174740975434626,0,0,0,0,0,0
X601288.CH.EQUITY,0.413432458816504,0,0.189525217862858,0,0.151899173062898,0.0575089077318942,0,0.0379781480062577,0,0,0,0,0,0.0100684523019991,0,0,0,0,0,0,0,0,0,0,0,0,0.0554388099977043,0,0,0,0,0,0,0.0620188971540998,0,0,0,0.0893887648056257,0.142038619589505,0,0,0,0,0.0603802018479479,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.274836125258231,0,0.078017667476152,0,0,0,0,-0.278435922979191,0,0.251880662972568,0,0,0,0,0,0,0.0933283361076753,0,0.0428119634398444,0,0,0,0.519500068199326,0,0,-0.0403441920903294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777757838518609,0,0,0,0,0,0,0,0,0,-0.313990647169911,0
X601988.CH.EQUITY,0.0758442737119208,0,0.189466895360932,0.140990500123603,0,0,0,0.0828602459970025,0,0.119638463673557,0.256514744228673,0,0,-0.318434138432769,0,0,0,0,0,0,0.0248455402562173,0,0,0,0,0,0.0750982893307662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043748572380714,0,0,0,0.139484174425488,0,0,0,0,0.00868857464487376,0,0.0834383635363518
X600036.CH.EQUITY,0,0.248542479254106,0,0,0,0,0,0,0,0,0,0,0.201920192482392,0,0,0,0.108773841430537,0,0,0,0,0,0,0.111494871904643,0,0,-0.0114127304305435,0,0,0,0,0.204745261919172,0,-0.0163765156503382,0,0,0,0,0,0,0.0992749095864602,0.0740629051517634,0,0,0,0,0.0798604682720727,0,0.13152129574384,0.0626519676022173,0,0
X601628.CH.EQUITY,0,0,0,0.184612698110127,0,0,0,0,0,0.0806178864177018,0,0,0,0,0,0,0,0,0,0.232091840114954,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0825594254953042,0,0,0,0,0,0,0.157475896544304,0,0,0,0,0,0,-0.0813971845224629,0.00564572727192721,0.155689231881324,0,0.0812991494287198
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638774327206707,0,0,0,0.199848008935411,0.0167826944560616,0,0,0.112076919466562,0.187533653778671,0,-8.67361737988404e-19,0,0,0,0,0.346718389212431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697491501746852,0,0,0.019927108834469,0.0228514240572754,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.185400967912706,0.0895716991018048,0.0718278362796687,0,0,0,0,0,0,0.157035903053466,0,0,0,0,0,0,0,0,0,0,0,0.0547521534802887,0,0,0,0,0.401902078908602,0,0.137283649397815,0,0,0,0,0,0.0719915726580852,-0.00222314345835594,0,0,0,0,0,0,0,0,0,0,-0.119655246232171
