,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,3.46944695195361e-18,0,0.236258360940173,0,0,0.0871182403454851,0,0.23898019846451,0,0,0,0,0,0.12800957064616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381497234042494,0,0,0,0.0939290367326411,0,0,0,0,0,0.0225479435091195,0,0,0,0,0,0,0,0.106411196998209,0,0,0,0,0,0
X601318.CH.EQUITY,0.169828941524235,0,0,0,0,0,0,0,0.27686929965656,0,0,0,0,0,0,0,0.25163471164012,0,0.0590104595891955,0,0,0,0.0958043651019052,0,0,0,0,0,0.037949553219249,0,-0.0880524608032402,0,0,0,0.0942061789568441,0,0,0,0,-0.0198575994704053,0,0.0536213080560616,0.0190837953954127,0,0.0587457283649718,0,0,0,0.0610611151557365,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.282513176384534,0,0.0747262772971335,0,0,0,0,0,0,0,0.416034681812833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558683424338909,0,0,0.0735828729647359,0,0,0.00942042867386177,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354603825838222,0,0.0265116842877784,0,0,0.487145808706414,0,0,0,0,0,0,0,0,0.0301665516092323,0,0,0,0,0,0,0.017571233863449,-0.0286099353305783,0,0,0,0,0,-0.000295728141140065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104899304651359,0,0,0,0.00350240814608675,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0333710401211751,0,0,0,0,0,0,0,6.93889390390723e-18,0,-4.33680868994202e-19,0,0,0,0.313545039285857,0,0,0,0,0,0.222610468297237,0.0962221719333959,0,0,0.390812907946885,-1.73472347597681e-18,0,-0.0538141591139409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287330723346534
X601988.CH.EQUITY,0.375574020991437,0,0.000254254302470763,0,0,0,0,0,0,0,0,0.0950876772456142,0,0,0,6.93889390390723e-18,0,0,0.0252049130980465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159779723324543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297303047561196,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.280080589078166,0,0,0,0.320085275463098,0.0712691597337634,0,0,0,0.152054344132088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115670433659575,0,0,0,-0.0532318090008609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335809488382265,6.93889390390723e-18,-0.00574669077690634,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378506543763394,0,0,0.0701670260667545,0.171054176889811,0.0133323539030111,0,0,0,0,0,0,0,0.273546994707909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254267921688042,0,0,0,0,0,0.2746211113476,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,-0.166229126515928,0,0,0,-0.148732243596653,0,0,0,0,0.7468995257547,0,0,0,0,0,0.251802740372915,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652593771508881,0,0,0,0,0,0,0,0,0,0.0649566008801464,0,0,0,0,0,0,0,0.0268981977534775,0,0,0,0,0,0,0,0,0.221549395427112,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.00297196030047749,0,0.386940482574569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338179857406613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044098503927458,0,0,0.229937701610659,0,0,0,0,0,0.0228685443865335
X000002.CH.EQUITY,0.201346595792187,2.16840434497101e-19,0,0.00563841170271041,0,0,0,0,0,0.0129116577961838,0.00695581089410728,0,0,0,0,0,0.0388337645155787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524966487797823,0.00950545161386398,0,0,0,0,0,0.192490851283973,0,0,0,0,0,0,0,-0.17564696354701,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.38896438427683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455808167269106,0,0,0,0.0158461826880727,0.0929093028790379,0.0734156047931696,0,0,0
X388.HK.EQUITY,0,0,0,0.0311033177891661,0.0490970435296783,0,1.73472347597681e-18,0.104775690881415,0,0,0,0,0,0,0,0.117142129067408,0,0,0,0,0,0.322283839486147,0.0625822124812004,0,0,0,0,0,0,0,0.0100138441044636,0,0,0,0,0,0,0,0,0.107689666086467,0,0,0,0,0.0400172365825716,0,0,0,0,0,0,0,-8.67361737988404e-19
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0692012735477844,0,-0.13099539131103,0,0,0,0,0.0664097318102427,0,0,0,0.229101088239327,0,0,0.131328795497059,0,0,0,0,0,0,0,0,0,0.0786419254058788,0.147698680509789,0,-0.0331025879869848,0.0864437359839654,0,0,0,0,0,0,0.0902659757133124,0,0,0,0,0,0.239999797256359,0,0,0,0
