,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0623671696106717,0,-2.16840434497101e-19,0,0,0,0.0237319462535819,0,0,0,0.20528388758449,0,0,0,0.449429894233816,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148610716199603,0.465192039745004,0,0,0,0,0,0,0,0,0,0.0822442736080226,0,0.0304895561362984
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.145591709126981,0,0,0,0,0,0,0,0.100523574639699,0,0.0632776758848105,0.0552506093879645,0,0,0,0,0,0.107694469989027,0,0.00454274878459053,0,0,0,0,0,0,0,0.164724833652024,0,0,0,0.275899576096084,0,0,0,0,0.00915146087858156,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.262341523927662,0,0,0,0,0,0,0,0,0.027431605122725,0,0,0,0,0,-0.0263361050590296,-0.0911440625650934,0,0,0.180471656385592,0,0.135582755666175,0,0,0,-0.153089771432744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474045878303113,0,0,0,0,0,0,0,0,0,0,0.118951272934022
X601288.CH.EQUITY,0,0,0,0,-0.0934038521162869,0,0,0,0.135216018171485,0,0.253839570819036,0,0.0168203755287119,0.363402558006639,0,-0.0992958526418235,0,0,0,0,-0.0908387546215346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.118713053049031,0.398577863915489,0,0,0,0.0106435838071506,0,0,0.135101534833477,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165959484350035,0,0,0,0,0,0,0,0,0.102210903754995,0,0,0.25274860556515,0,0,0,0,0.0768640200680729,-0.120601163430605,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.248121163057703,0,0.0150582029391069,0,0.0869860677022844,0,0,0,0,0.187995089553113,0,0,0,0.143963325028954,0,0,0,0,0,0,0.129728507030128,0,0,0,0,0,-0.16536695782327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131030650182039,0,0
X1299.HK.EQUITY,0,0,0,0,0.232611794690233,0,0,0,0,0,0,0,0,0,0,0,0,0.0715890373160766,0.0689797127998875,0,0,0,0,0,0,0.134910964611373,0,0.133562592492737,0,0.0969757192404219,0,0,0,0,0,0,0.252781372521357,0,0,0,0,0,0,-0.048103746382582,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.215705396896896,-0.0347176439264307,0,0,0,-0.0624188835118125,0,0,0.340699098212071,0,0,0,0,0.0797114869903485,0.10182112229366,0,0,0,0,0.290070922859919,0,0,0,0,0,0,-0.0337306784490385,0.170529362808713,0,0,0,0,-0.186553887629184,0,0,0,-0.139961731694872,0,-0.0429560454031125,0,0,0,0.328649780867355,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.200275769962277,0.0154418873520339,0.0937467881931842,0,0,0,0,0,0,0,0,0,0,0,0,0.237259199219637,0,0,0,0,0,0.0999768489297485,0,0,0,0,0,0,0,0,0,0,0,0.182201390901717,0,0,0,0,0,0,0,0.0278793623681738,0.0903750103869421,0.057181136368646,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0251268372154826,0,0,0,0,0.75104442789958,0,0,0,0,0,0,0,0,0,0,0,0,0.0969974474637424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310763796637056,0,0,0,0.0209512395145756,0,0,-0.147714636617112,0,0,0,0.0244093186244777,-0.000435901185770371,0
