,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0574152710555022,0.137872202917996,0,0,0,0,0,0,0.405655075215163,-0.201903212368323,0,0,0,0,0,0,-0.066933871570948,0,0,0,0,0,0,0,0,0,0,0.650949207761772,0,0,0,0,0,0,0,0,0,-0.0149171246281423,0,0.0346436259109044,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.162042040226977,0,0,0,0,0.0701591332268615,0,0,0,0,0.0746642938701026,0,0,0.0683557966861481,0,0,0,0,0.0799377189946585,0,0.00971571762927383,0,0,0.0172356588375992,0,0.00146884205027246,0,0.200240186585333,0,0,0.24488699214817,0,0,0,0,0,0.0251728250259464,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.301628606519231,0,0,0,0,0,0,0,0,0.0495029922608175,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.100883332477746,0,0,0,0,-0.273752306144726,0,0,0,0,0,-0.0373011993057928,0,-1.73472347597681e-18,-0.0529545409948456,0,0,0.0431435350069661,0.0366653263790979,0,0.600157599236111,0,0,0,-0.0171377353329844,0.0386005870313559,0,0,0,0,0,0.105589279922247
X601288.CH.EQUITY,0,0,0,0,-0.245555295455617,0,0,0,0,0,0.59984415487998,0,0,0,0.0717509706510721,0.146293223390288,-0.278320006701375,0,0,-0.247846704400794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490632888881295,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.0428369957664517
X5.HK.EQUITY,0,0,0,0,0,0.133103656703612,0,0.311981650050693,0,0,0.0340449121959399,0,0,0,0,0.159945275688135,0,0.044015084604687,0.000661317551375856,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.206966475178254,0,0,0,0,0,0,0,0,0.15166001968643,0.227444542377356,0,0,0,0,0,0,-0.086026428983224,0,0,0.0962540065657661,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.374998537966178,0,0,0,0,0,0,0,0,0,0,0.0431892138225121,0.0255966822333189,0.0120213311979343,0,-0.152864144544915,0,0,0,0,0.290616181178515,0,0,0,0,0,-0.337470946730508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154110470660134,0.10761893682271,0,0,0,0,-0.0375317574156054,0
X600036.CH.EQUITY,0,0.190710252654747,0,0,0,0,0,0,0,0.499447586193575,0,0,0,0,0,0,0,0,0,0.196675493770723,0,0,0,0,0,0,0,0.0827422870858305,0,0,0,0,0,-0.282956256941774,0,0,0,0,-0.0302432996243556,0,0,0,0.189969783529861,0,0,1.38777878078145e-17,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.30293573208093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885154874800991,0,0,0,0,0,0,0.234800386325162,0,0,0.00378732181793302,0.0851441766278658,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.129567420578294,0,0,0.0724547923889736,-0.0175994390039654,0,0,0
X601628.CH.EQUITY,0,0.0459555845970172,0.0291656130267196,0.0753437344905019,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.364934744083443,0,0,-0.0217187412649616,0,0,0,0,0,3.46944695195361e-18,0,0.123632370032191,0,0,0,0,0,0,-0.0121858410317289,0,0,0.159035744179787,0,0.0571382441019086,0,0,0,0,0.201256992234696,0.0558789929274743,0,0.0892555139094129,0,0,0,0,0,0,-0.0701771829781783
X601328.CH.EQUITY,0,0,0.153870411417738,0.056183593071899,-0.00747390737544258,0,0.563465920600091,0,0,0,0,0,0,0,0,0,0,0,0,0.246904187753573,0,0,0,0,0,0.251910722547779,0,0,0,0,0,0,0,0,0,0,0,-0.163231048543887,0,0,0,0,0.138832539956402,0,0,-0.448031761443223,0,0,0,0,-0.0185561258934924,-0.162538851035821
