,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.271338497756912,0,0.0567174746922104,0,0,0.300524116628511,0,0,0.0046614064993404,0.104895316841697,0,0,0,0.00412774577335285,0,0,0,0,0,0,0,-0.0248759046063403,0.156429912251268,0,0,0,0,3.46944695195361e-18,0,0.0635822907800706,0,0,0,0.00242744805424703,0,0.114248811686808,0,0,0,0,0,0,0,0,0,0,-0.0221034649508307,0,0,0,-0.0306836407751591
X601318.CH.EQUITY,0,0,0.252570301636165,0,0,0,0,0,0.067581846872812,0,0.0648881309525167,0,0.00852057219545905,0,0.209605758192133,0,0,0,0,0,0,0.0826015607047172,0,0,0,0,0,0.129974221208628,0,0,0,0,0,0,0.00914719984437672,0,0,0,0,0,0,0,0,0,0.106143198146517,0,0,0.0356202516177673,0,0,0,0,0
X601939.CH.EQUITY,0.362942309765009,0.271705984336283,0,0,0,0,0,0.409534338791776,0,0,0,0,0,0,0,0,0,0,0,-0.0557981779629808,0,0,0,0,0,0.0311219317964864,0,0.0289613399279018,0,-0.0228458772250595,0,0,0,0,0,0.0612623425796809,0,0,0,0,0,0.0839950138154287,0,0,0,0,0,0,0,0,0.167434118629392,0,0
X601288.CH.EQUITY,0,0,0.128180459907437,0,0,0,0,0.464130373966176,0,-0.0484395820946063,0,0.0416073507408186,0,0,0,0,0,0,0,0,0,0,0.143052194718851,0,0.0441969319398989,0,0,0.145620563141955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136197541239473,0.021912484506336,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.218175234678449,0,0,0,-0.068447200039578,0,0,0.104234015244612,0,0,0,0,0.15499490452748,0,0,0,0,0,0,0,0.458442578440099,0,0.124325811629242,0,0,0.0589582489249441,0,0,0,0,0,0,0,0,-0.061692815081254,0,0,0,0,0,0,0,0,0,0,0,0,0.0413728805567961
X1299.HK.EQUITY,0,0,0,-0.0863331233319116,0,0,0,0,0,0.185265466586361,0,-0.0530019029676027,0,0,0,0,0,0,0,0,0.0597872860245654,0,0.147893299971092,0,0,0,0,0,0,0,0,0,0,0,0,0.0995445128360694,0,0.147515580403307,0,0,0.134809978271164,0.108966629751554,0.0520598701483321,0,0,0,0,0,0.209368841430797,0,0,0,0
X601628.CH.EQUITY,0.00702993557572043,0,0,0,-0.0284554033925981,4.33680868994202e-19,0,0,0,0,0,0,-0.00366458365963989,0,0,-0.279505395624811,0,0,0,0.254211455404681,0,0,0,0,0,0,-0.0308212729168616,0,0,0,0,0,0,0,0,0,0.642741548951198,0.125685253427237,0,0,0.0193271241692927,0,0,0,0,0,0,0,0,0,0,-0.0622721340661363,0.136122265763252
X601988.CH.EQUITY,0,0,0.0748637651859997,0.441771521951534,0,0,0,0,-0.091656840880679,0,0,1.73472347597681e-18,0,0,0,0,0.280084223731382,0,0,0,0,0,0,0,0.083507006521643,0,0.0452799151278754,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00190963741744015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.220668300668816,0.114326617525148,0,0,0,0,0,0,-0.132133447861165,0,0,0,0,0,0,0,0,0,-0.159009231164993,0,0,0.118546196242621,0.179289059115426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175521155744381,0,0,0.18978861021586,0,0,0,0,0,0,0,0.040601605793593,0,-0.140434979485429
X388.HK.EQUITY,0,0,0,0,-0.177203616623375,0.292211582243441,0,0,0,0,0,-0.0484572071676913,0,0,-0.044390566618496,0,0,0,0,0.457960145473433,-0.117590791598958,0,0,0,0,0,0,0,0,0,0,0.0412575703158029,0,0,0,-0.148311959695288,0,0,0.143518993581586,0,0,0,0,0,0,0,0,0.0766290456557008,0,0,0.135932220368527,0,0
