,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.244214132913865,0,0.13378962845821,0,0.0384533198342892,0,0,0.250281614986223,0.0714565669576659,0,0.10748751527402,0,0,0,0,0,0,0.0598025182751831,0,0,-0.0873099512871837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590457820738455,0,0,0,0,0,0,0,0,0,0.0518220996501615,0.013149347007562,0,0,0,0,0,0
X601939.CH.EQUITY,0.462085434521032,0,0,0.017592973143316,0.000423415327074637,0,-0.0311165469700508,0,0,0,0.192535579024073,0,0,0.226271679442167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.00857679316438598,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232925704869547,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019979175808148,0,0,0,0,0,0,0.152663598154382,0,0,0.0792287041461669,0,0.173923576305147,0.183717057666238,0,0,0,0,0,0
X601288.CH.EQUITY,0.372449131772688,0,0,0,0.371588040956939,0,0,0,0,0,0.0702840789431469,0,0,0,0.0714138518785719,0,0,0,0.0609590576747624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174507537853582,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0525024534198062,0,0.318616135236537,0,0,0,0,0,0,0.181465784261761,0,0.0822084923473444,5.55111512312578e-17,0,0,0,0,0.199311633613388,0,0,0,0,0,0,0.0400622464577148,0,-0.00843518120849834,0,0,0.0784655817236404,0,0,0,0,0,0,0,0,0.0645765347046022,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0210325840011211,0,0,0,0,0,0,0,0,0.413718643106049,0,0,0,0,0,0,0,0,0,0.0529784871734491,0,0,0,0.129785431578302,0,0,0,0,0,0,0,0,0,0,0.0833123517033475,0,0,0.0595002586455015,0,0,0,0,0,0,0,0,0,0.260757858902234,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0197359114875675,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.030556056721109,0,0.178047271704811,0.0698202790839599,0,0,0.0920913230256391,0,0,0,0,0,0,0.130860340678457,0,0,0,0,0.237351568183072,0,0,0,0,0,0,0,0,0,0.0228276174972897,0,0,0,0.208596538584537,0,0,0,0,0
X5.HK.EQUITY,0,-0.190144161673167,0,-0.0923336747661934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22389473759085,0,-0.79475387800249,0,0,0,0.486606273605788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413210742900213,0,0,0,0,0,0,0,0,0,-0.104445270348181,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109519495559187,0,0,0,0,0,0,0,0,0.229454342362145,0,0.121077035644323,0,0.196902180332468,0,0,0,0.0816858011061058,0,0,0,0,0,0,0.0161813096345681,0,0,0,0,0,0,0,0,0,0,0.0460663309996185,0,0,0,0.0522849209618046,0,0
X601658.CH.Equity,0,0,-0.204292899027177,0.30352862779944,0,0,0,0.116324715835955,0.04102696570596,0,0,0,0,0,-0.234335198791976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704664332703346,0,0,0,0,0,0,0,0.0047934661467706,0,0,0,0,-0.100643507179917,0,0,0,0.620942869843711,0.04637072250369,0,0,-0.109172981977812,0,0,0
