,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00571898142425565,0.17068731209654,0,0,0,0,0,0,0,0,0,-0.269702821646269,0,0,0,0,0,0,0,-0.0622262996777302,0,0,0,-0.288952546939013,0,0,0,0,0.770009127251672,-0.122690302289472,0,0.351258997448142,0,-0.0823589816108504,-0.0117999625968096,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152457639607503,0,-3.46944695195361e-18,0.0289108460395307,0,0,0,0,0,0.027385538679924,0,0,-0.0264036962483877,0,0,0,0,0.0226071137158759,0.143402572150849,0,0,0,0,0.0843570904696958,0,0,0,0,0,0,0,0.476732498486365,0.0386410026818321,0,-0.0606601855389508,0.0299184342986126,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.281762844856981,0,0,0,0,0.0146038426645735,0,0,0,0.0401900933506706,0,0,0,0,0,0,0,0,0,0,0,0,0.0432111128808671,0.0935462420166905,0,0,0,0,0.193685371260272,0,0.0862793556261278,0,0,0,-0.107137469351403,0,0,0,0.41020077086777,0,0,0,0,0,0,0,0,0,0,0,0,0.151665772390747
X601288.CH.EQUITY,0,0,-0.00266502058556094,0,0,0,-0.0372463955768427,-0.170342836281566,0.200783503555815,0,0.422808954651452,0,0,0,0,0,0.0407034559682553,-0.0451004088189574,0,0,0,0,0,0,0,0,0,0.0499127981263946,0,0,0,0,0,-0.729669469608361,0,0,0,0,0,0,0,0,0.137833648988788,0,0,0,0,0.286051049685491,0,0,-0.112769288499622,0
X5.HK.EQUITY,-0.180216237984844,0,0,0,0,0,0,0,0,0,0.0128659722307914,0,0,0,0.0404328430051842,0.246331000002252,0,0,0.0942741094967231,0,0.208841280924893,0,0.485278958041438,0,-8.470329472543e-22,0,0,0,0,-0.242498489782254,0,0,0,0,-0.00719421407545469,0,0,0,0,0,-0.0966119341201931,0.192410371350926,0,0,0,-0.13820012421798,0,-0.0886075316523024,0,0.0219382124056172,0,0
X601988.CH.EQUITY,0.207014578154054,0,0,0.582929883316479,0,0,0,0,0,0,0.112419933260885,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244108540284053,0.0549448086196272,0,0,0,0,0,0,0,0,0,0,0.228755892345475,0,0,0,0,0,0,0.0430376088380936,0,0,0,0,-0.0162532174553156,0.0995148522413702
X600036.CH.EQUITY,0,0.413503149899049,-0.0631507665654142,0,0,0,0,0,-0.124449966723076,0.545578418814134,0,0,0,0,0,0,0,0.00387674254526578,0.109681601127852,0,0,0,0,0,0,0.110648762793537,0,0.044826578515076,0,0.339768052194122,0,0,0,0,-0.333817442161483,0,0,0,0,0,0,0.114114451937989,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.00647525531883609,0,0.0889433759224551,0,0,0,0,0,0,-0.0399150117984758,0,0.0539293937777545,0,0,0.149246970114992,0,0,0,0,0,0,0.0439794643227356,0,0.204497082235791,0,0,0,0,0.125117728062077,0.162230998067078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0184628651597703,0,0.0109870554739572,0,0,0,0,0,0,0,0,0,0.272771360746565,0,0,0,0.000867711322097545,0,0,0,0,0,0.0834222147268326,0,0,0,0,0,-0.0114026895039786,0,0,0,0,0,0,0,0.28982700386743,0,0,0,0,0,0,0,0,0,0,0.106049249041185,-4.33680868994202e-19,0,-0.0546942314346283
X601328.CH.EQUITY,0,0,0.0476323965630426,0,0,0.130735396413694,0.247636636683104,0,0,0,0,0.0513863802522681,0,0,0,0,0,0.241344804404141,0.170412508641544,0,0,0.0156996658248086,0,0,0,0,0,0,0,0,0,0,-0.158874542920324,0,0,0,0,0,0,0,0,0,0,0,0.15792750612089,0,0,0,0,0,0,-0.415915164510612
