,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0594293675365019,0,0.131857845991257,0.170347075507865,0,0.348047028692066,0,0,0,0.00236220140994954,0,0.133319270331247,0,0,0,0,0,0,0,0,0,0.0110485764241945,0,0.00474495329964493,0,0,0.11223690961158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.168833274003739,0,0,0,0,0,0,0,0.295345846189369,0,0,0,0,0,0,0.328782318344486,0,0,0,0.0252135459124464,0.0741106683095835,0,0,0,0,0.0767293795040344,0.0176216698217996,0,0,0,-0.0944308784032318,0,0,0,0,0,0.0661305399589311,0,0,0.0280446377691398,0,0,0,0,0,0.0330801045693707,0,0,0,0,0,0,-0.0131563047058555
X601939.CH.EQUITY,0.267983578201707,0,0,0,0,0,0,0,0,0,0,0,0,0.414934258163502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194537967646574,0,0.108782883977602,0,0,0.00680069679130679,0,0,0,0,0,0,0.00387714886506887,0,0,0,0
X601288.CH.EQUITY,0.343781482945102,0,0.0423934875068941,0,0,0.468806164609133,0,0,0,0,0,0,0,0,0.0357118452471743,-1.38777878078145e-17,0,0,0,-0.0109432019222311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112845471420828,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.00515663615183777,0,0,0,0.168843930235327,0,0.155712856079388,0,0,0.358569947598799,0,0,0,-2.77555756156289e-17,0,0,0,0,0.04146107426909,0.687718427893465,6.93889390390723e-18,0,0,0.0233481087835401,0,0,0,0,0,0,0.0870192311864671,0,0,0,0,0,-0.0387545232191621,-0.253744841777087,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.134462865009956,0.0556976870380367,0,0,0,0,0,0,0.113668920995932,0,0.0704631664655386,0,0,0.115570836463084,0,0,0,0,0.0683994435354961,0,0.158398804392966,0,0,0.115073408698412,0,0,0,0,0,0.0231265433180776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11096956769907,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.197053032225869,0,0,0.229187169618895,1.38777878078145e-17,0,0,0,0.17708507180078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149006549287833,0,0.00530075179158916,0.152876065621842,0,0,0.0961322658963247,0,0,0,0,-3.46944695195361e-18,0,0,0.0374014412283254,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.146688088182113,0,0,0,0,0,0,0,0.358922187163254,0.0238552778856296,0,0,0,0,0.18020633440658,0.266882996942838,0,0,0,0,0,0,0.268726370721696,0,0,0,0,0,0,0,0.00967213415499122,0,0,0,0,0,0,0,0,0,0,0,0.0744808537428862,0,0,0,0
X601628.CH.EQUITY,0.306115250744378,0,0,0,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,-0.0171384961375717,0,0,0,0,0.0823781517715766,0,0,0,0.0730168954014885,0,0.267095191930024,0,0,0,0,0.177793416373598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.144914826141677,0,0,0,0,0,0.202762771409358,0,-0.0846202217756315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204719593543941,0,0,0,0,0,0,0,0,0.677130373478228,0,0,0,0,0,0.520817836783178,-0.138391332040155,0,0,0,0
X601166.CH.EQUITY,0,0,0.172787636402314,0,0,0,0.395598908083461,0.0516822932987112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374506100636555,0.00420220154731296,0,0,0,0,0,0,0,0,0,0,0.0251825305011994,0,0,0,0,1.73472347597681e-18,0.090213813860076,-0.112966611017682,0,0,0,0.0502386119685837
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621319337142524,0,0,0.0427401294855579,0,0,0,0,0,0.00463408389900369,0.0700101930744744,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.200305949651063,0,0,0,0.0388719963317469,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0.0317900360880501,0,0.126796572066262,0,0,0,0,0,0.0107668722486223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539579672600568,0,0,0,0,0,0.0212648191982348,0,0.156846034601428,0,0,0,-0.139201881463759,0,0,0,0,0,0,0,0.0552648052329056,0,0
X600000.CH.EQUITY,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.16690847790685,0.405741621258487,0,0,0,0.0557748965983199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116717350336077,0.018411738726753,0,0,0.161292327649213,0,0.0427607692691646,0.0707117221756278,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.121056315006631,0.0361737209452145,0,0,0,0,0,0,0,0,0,0.0687000872762246,0,0,0,0.360338407308693,0,0,0,0,0,0,0,0,0,0.0105420144891322,0,0,0,0,0,0,0,0.0978529034223084,0,0,0,0,0,0,0,0.0900641786387368,0,0,0,0
