,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.26892080093772,0.135779972089539,0,0,0,0,0,0,0,0,0,0,0.186367246913387,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.311959028217347,0,0,0.90481753045273,-0.197539604746045,0,0,-0.00200587162111281,0,0,0,0,0,0,0,0,0,0.0202487752283249,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.22654756391032,0,0,0,0,0,0,0.12003898018982,0.113723306856396,0,0,0,0,0.10589722704695,0,0.0205038637565569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154673133095749,0,0,0,0.256716338122196,0,0,0,0,0,0,0,0,0,0,0,-0.114404576537166
X601939.CH.EQUITY,0.297725884299978,0,0,0,0.167649090238333,0,0,0,0,0.0325879178357194,0,0,0,0,0,0,0,0.0304085928959064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139887776768507,-0.108242448094341,0,0.107140473045275,0,0,0.419476773363436,0,0.0766714967972112,0,0,0,0,0,0,0,0,0,0.0235999106169009
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.517434168904414,0.164024424520494,0.0222026602736418,0.538635688359455,0,0,0,0,0.463888516800923,0,0,0,0,0,0,0,-0.332129208393593,0,0,0,0,0,0,0,0,-0.635371905253685,0,0,0,0,0,0,-0.195892632517218,0,0,0,0,0.322721719975573,0,0.233222483626587,0,0,-0.259882047150961,-0.435854774082544,0
X5.HK.EQUITY,-0.199856395387261,-0.0347031245711636,0,0,0,0,0,0,0,0,0,0,0,0,0.642599075064783,0,0,0.0874165717638584,0,0.374524498508364,0,0,0.232587871601325,0.0774122560390773,0,0,0,0,0,0,-0.109979583921222,0,0,-0.141440928188608,0,0,0,-0.109522839923192,0,0,0,0,0.0356484706945611,0,0,0,0,0,-0.130299497418618,0.0778244214209972,0,0
X601988.CH.EQUITY,-0.10108109605278,0,0,0,0.374966814631664,0,0,0,0,0,0,0,0,0,0,0.0643181031239534,0,0,0.451436700563936,0,0,0,0,-0.110402162367428,0,0,0,0,-0.322344677511833,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0792373650026134,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.225207365718899,-0.0660160909908058,0,-0.125170000427454,0.0308212352524516,0,0,0,0.671648878028599,0,0.0907610594353929,0,0,0,0,0.146470788077421,0,0,0,0,-0.0284041178187659,0,0.325032616599369,0,0,0.129609911940926,0,0,0,0,0,0,-0.230655802567535,0,0,0,0,0,0,0,0,0.0841841427003927,-0.146169512196765,0,0,0,0,0,0,0,0.0956243064303066
X1299.HK.EQUITY,0,0,0,0,0.198415818723665,0,0,0,0,0,0,-0.117383359941856,0,0,0,0.0557791483511816,0,0,0,0,0,0.139095634200741,0,0,0,0.167560872205734,0,0,0,0.0431150992655255,0,0.144386199532374,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.121048600880261,0,0,0,0,-0.00872390845085921,0,0,0,0
X601628.CH.EQUITY,0,0.0491376547269961,0,0.00587163482728571,0,0,0,0,0,0,0.12518265530453,0,0,0.386462610576692,0,0,0,0,0.00653521871141214,-0.0177484851359852,0,0,0,0,0,0,0,0,0,0,-0.0513441360812861,0,0,0,0,0.104394628059403,0,0,0.118707697778958,0.0475522265682085,0,0,0,0,0,0.075902526870241,0,0,0,0,0,-0.114079898025422
X601328.CH.EQUITY,0,0,0,0.0274609214052806,0,0,0.507293930254096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249124451905105,0,0,0.248871400217788,0,0.227744413560086,0.0394422150845411,0,0,0,0,0,0,0,-0.237649402178316,0,0,0,0,0,-0.0218204842497531,0.13462269395126,0,0,0,-0.0506821890733924,0,0,0,0,-0.0550212505966412,-0.216913178644566
X601166.CH.EQUITY,0,0,0,0.262774184260825,0,0,0,0,0,0,0,0.231913403468299,0,0,0.00824543914670134,0,0,0,0,0.0508270117276854,0,0.114582840245904,0,0,0,0,0,0,0,0.157935689543578,0.0660977620843106,0,0,0,0,0,0.0122827541814276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249618762760941,0
X600000.CH.EQUITY,0,0,0.476399803642605,0,0,0,0.335640926355064,0,0,0,0.234125400948352,0,0,0,0,0,0,-0.12282590362893,0,0,0,0.0749543544859245,0,0,0,0.108718903803824,0,0,0,0.045386098645989,0,-0.0393077745439662,0,0,0,0,0.00576174111333713,0,-0.373385873386034,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.089805422028647,0,0,0,0.376372403849565,0,0,0,0,0,-0.07241476048873,0,0,0.155412383846198,0,0,-0.087868713548233,0.00935389408339998,0,0,0,0,0,0,0,0,0.373553285466452,0,0,0,0,0,0,0,0,0.0829747859276397,0,0,-0.110612242082459,0,0,0,0
X601601.CH.EQUITY,0,0.0338674321121562,0,-0.0606831954015499,-0.0800865747390027,-0.158259431049855,0.0350544357482801,0,0.685672265728804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442838787494248,0,0,0,0,0.179749646610427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0298620491536316,0,0,0,0.104832410851566
X000002.CH.EQUITY,0,0,0,0,0.305525270650872,0,0,0,0,0,0,0,0,0.208987546072914,0,0,0,0,0,0,0,0,0,-0.304800002538544,0,0,0,0.156605557841356,-0.170723095784456,0,0.0236229181497822,0,0,0.38458192209272,0,0,0,0,0,0,0,0.151369870477794,0.339124187718589,0,0,0,0.059686924766892,0,0,0,0,0.09860203157873
