,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.483340608068767,1.0842021724855e-19,0,0.436836387532953,0,0,0,0,0.00840635792596589,0,0,0,0,0,-0.0594516963515679,0,-0.050393750001564,0,0,0,0.0124579446573262,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.224118353556656,0,0,0,0,0,0,0,0,-0.100544876082244,0,0,-0.203688267346153,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0583246495654752,0,0,0,0,0,0,0.130436326499945,0,0.160886088049101,0,0,0,0,0,0.0631379887651844,0,0,0,0,0,0,0.0508818050565823,0,0,0,0,0.0883808418326204,0,0,0,0,0,0.378433967636309,-0.0236678083711276,0.0735725199818709,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.136461430351731,0,0,0,0,0,0,0,0.00887636031078538,0,0.0684642078505294,0,0,0,0,0,0,0,0,0,0.122977760688865,0,0,0,0,0,0.405529422991807,0,0,0,0,0,0,0.0672513480275205,0.0922165720008418,0,0,0,0.0160465315229035,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0473537169328996,0,0,0,0.0310092132973143,0,0.0281769678281235,0,0.095535124815115,0,0,0,0,0,0,0,0,-0.00343752896204244,0.381320292621172,0,0,0,0.101312002622512,-0.0172190022256486,0,0,0,0,-0.0505370605639466,0,0,0,0,0,0,0.190973892461205,0,0,0,0,0,0,0,0.0792467746834913,0,0,0,0
X5.HK.EQUITY,0,-0.128479421170893,0,0,0,0,0,0,0,0,0,0,0,0,0.0514085622464367,0,0,0.127657139385376,0,0.369889521113367,0,0,0,0.380877597935179,0,-0.00698676695562099,0,0,-0.254914786934305,0,0,0,-0.0227109785272982,0,-0.012177439064942,0,0,0,0,0,0,0,0,0,-0.0602978192626489,0,0,-0.113009291301279,0,0.222124300220937,-0.0412523706123089,0
X601988.CH.EQUITY,0.160593942839067,0,0,0.473448590594493,0,0,0,0,0,0.0968710090778449,0,0,0.139858863094581,0,-0.0320198270151485,0,0,0,0,0,0,0,0.0680365812788485,0,0,0,-0.0500403647475711,0.0522119269343176,0.0166325377448715,0,0,0,0,0.111020671905277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000959549093689893,0,0.0894353200864214
X600036.CH.EQUITY,0,0.528213038836693,0,0.0364998137835796,0,0,0,0,0,0.0625366148834848,0,-2.77555756156289e-17,-0.187066605421106,0,0,0,0,0,0.0837237437896472,0,0,0,0,0,0,0.188439298655819,0,0,0.0217752893772382,0,0,0,0,0,0,0,0,0,0,0,0,0.282125799204577,0,0,0,0,0.13799592206853,0,-0.226331362302546,0,0,0
X1299.HK.EQUITY,0,0.0057112319933634,0,0,0,0,0,0,0,0,0,0,0,-0.0970707028750608,0,0,0,0.208138528374024,0.114641825170643,0,0.278393604760413,0.281147493722924,0,0.0894702344219983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101374746740101,0,0,0,0,0,0,0,0,0,0,0,0,-0.210340060823462
X601628.CH.EQUITY,0,0.165108193298084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249245739353095,0,0,0,0,0.0371422497699799,0.133181468097985,0,0,0,0,0,0,-0.0646210746605654,0,0,0,0.0308456363653555,0,0,0,0,0.122751676149023,0,0.109295579743311,0,0,0,0,0,0,0,0,0.0882104136084443,0,-0.0176857267408407,0
X601166.CH.EQUITY,0,0,0.162529963736091,0,0,0.239984793533977,0,0,0,0,0,0,0,0,0,0.354082083981449,0,0,0,0,0,-0.196385611574926,0,-0.0253748198628802,0,0,0,0.275468647618039,0,0,0,0,0,0.298046647940502,0.0011975488594898,0,0,0,0,0.1054313950851,0,0,-0.094313527442783,0,0,0,0,0,0,0,0,-0.126222848640622
X601328.CH.EQUITY,0,0,0.132141419603002,0.0178672868657772,0,0.316138842881875,0,0,0,0,0,0,0,0,0.0674504440933174,0,0,0,0,0,0,0.0227439980161053,0.182115105415402,0,0,0.0246313352500263,0,0,0,0,0,0,0,0,0,0,0,0,0.00497141138090479,0,0,0,0,0,0.0882536008252116,0,0.152580568348915,0,0,-1.73472347597681e-18,-0.0217257256749761,0
X600000.CH.EQUITY,0.0621471943077868,0.145120110958938,0,0,0,0,0.104393586824905,0,0,0,0,0,0,0,0,0,0,0,-0.00558431357212943,0,0,0,0.187016656568659,0,0,0.0793627352740197,0,0,0,0,0,0,0,0.0642700143840735,0,0,0,0,0.204128232528403,-0.0303843742287675,0,0,0,0,0,0,0.185646752659608,0,0.00103151138748065,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,4.33680868994202e-19,0.15885125633782,0,0,0,0,0,0,0,0,0,0,0.0685659939800943,0,0,0.118905224495688,0,0,0.116058906271398,0,0,0,0,0.0994292874344136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332246123823841,0.135513429166215,0,0,0,0,0,-0.0169972051062317
