,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.236111110079257,0,1.73472347597681e-18,-0.0365464393595405,0.167188635761944,0.242399275952539,0,0.237589304258361,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119688247902799,0,0,0,-0.00197542691784658,0,0,0,-0.024570770373373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171662257462618,0.0836910890438722,0,0,0,-0.166000740684437,0,0.13201664457109
X002142.CH.EQUITY,0.226118911613558,0,0,0,0,0.0700045190564864,0.00454399419638741,0,0.134317446772217,0,0,0,0,0.032684002864362,0,0,0,0,0,0,0,-0.0358336221965533,0,-0.00659059383891066,0,0,0,0,0,0,0,0.0755731470002643,0,0,0,0.0484456974764802,0,0,0,0,0,0,0,0.224694904530408,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.163785051510318,0,0,0,0,0.0106113914613273,0,0,0.381612952293756,0,0,0,0,0.0148371548700916,0,0.117798772362855,0.0173892737514155,0,0,0,0,0,0.132817599290053,0,0,0,0,0,0,0,0,0,0,0,0,0.016710042036975,0,0.0369476390053685,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.350984814311814,0,0.106027778087726,0,0.104119803149475,0,0,0,0,0.208997384647434,0,0.112562821347917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163314197045586,0,0,0.0639635507726248,0,0,0,0,0,0,0,-0.0598613052909327,0
X600016.CH.EQUITY,0,0,0.0833308840289542,0,0,0,0,0,0,0.405688235954049,0,0,0.170572330917274,0,0,0.0571393510828123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903096468169036,0.434194145977621,0,-0.54512475422424,0,0,0,0,0,0.0318545762851223,0.168691529150431,0.0324866086834422,0,0,3.46944695195361e-18,0,0,-0.0143334306864258,0
X600036.CH.EQUITY,0.0963729984410573,0,0,0,0,0,0.081119306354982,0,0,0.369474247770114,0,0,0,0,0.0960455274431558,0,0,0.170397084874616,-0.0573002128211404,0,0,0,0,0.0229664772168708,0,0,0,0,0,0,0,0.133195473208887,0,0,0,0,0,0.0182001135719311,0,0,-0.213585256227296,0,0,0.0611355484258866,0,0,0.218490551868791,0,0,0,0,0
X600926.CH.EQUITY,-1.73472347597681e-18,0,0,0,0,0.192482457488448,0,0,0.346087139376125,0,0,0,0,0,0,0,0,0,0,-0.0529696712525761,3.46944695195361e-18,0,-0.0971195548720763,-0.10067204339569,0,0,0.128526520439616,0,0,0,0.064629778977668,0,0,0,0,0,0,-0.185264292360669,0,0,0,0,0,0.16919856404983,0,0,-0.0687353160752392,0,0,0.0176383085538984,0,0.127318837226976
X601009.CH.EQUITY,0,0,0,0.27713231540701,0,0,0,0,0,0,0.24868437095242,0.133282524854042,0,0.0627775235862626,0.158243015030994,0,0.0406826294406329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249400500113502,0,0,-0.217769140258777,0,0.030475747747495,0,0,0,0,0,0,0.136427367014762,0,0,0.127809746400384,0,0,0,0,0,0
X601166.CH.EQUITY,0.47828845638167,0,0,0,0,0.120525747813648,0.0280035280661162,-0.0378820357813686,0,0,0,0,0,0,0.329291847288863,0,0,0,0.0549055809808817,-0.0625504419215137,0,0,0,0,0,0,0,0,0,0,-0.119690760909688,0,0,0,0,0,0,0,0.13902350306761,0,-0.14643374750647,0,0,0,0,0,0,0.103022473710559,0,0,-0.0630597154571691,0
X601169.CH.EQUITY,0,0,0,0,0.626060343913074,0.17908261974432,0,0,0,0,0.00391437583450113,0,0,0,0.0936301455413706,0.0656178443955064,0,-0.0671611023699061,0,0,0.219274194698596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141970819168763,0,0.192038617253974,0,0,0,0,-0.21846703281371,0,-0.0310540129748066,-0.0785641026494245,-0.0359417896088227
