,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155441631326751,0,0,0,0,0,0,0,0,0,-0.0951208788963644,0,0.0858860403456524,0.234925861618101,0,0,0.188233802521865,0,0,0,0.0300290261829252,0,0,0,0,0,0,0,0,0,0.180420088370267,0,0,0.329495013959165,0,0,0.125599358406241
X2892.TT.EQUITY,0,0,0,0,0,0,0.00935170331922908,0,0,0,0,0,0,0,0.0503863985405777,0,0,0,0,0,0,0,0,0,0.0341404194043013,0,0.0167331988450876,0.23305195630729,0.102454213890812,0,0.216821003323371,0,0.119943216876545,0,0,0,0,0,0.154017121250817,-0.0110181788014105,0,0,0,-0.120344006245696,0.0205320183870269,0,0,0,0.119664963280356,0,0,0
X5880.TT.EQUITY,0.065996163960927,0,0,0,0,0,0.251169725518882,0,0,0,0,0,-0.219285189400957,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.270570298185466,0,0.00943001721927589,0,0,0,0,0,0,0,0,0,0,0.020387940860313,0,0,0.0423728070646745,0.35623084179109,0,0,0.0563004059219144
X600030.CH.EQUITY,0,-0.109412853176583,0,0.0965921079664351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0777991777955548,0,0,0,0,0,0,0,0,0,0,-0.163453109393513,0,0,0.0349804329320909,0,0.506078357501348,0,0.303493809815206,0,0,0,-0.0753220973813232,0,0,0,0,0,0,-0.0364742499839395,0,0,0.10951813078041,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0699443449194385,0,0,0,0.123580211853696,0,0,0,0,0,0,0.000832119691824961,0,0,0,0,0,0,0,0,0,0,0.149555347830253,0,0,0.165155188153607,0.196274530714376,0,0,0,0,0,0,0.0141491529800251,0,0,0,-0.0636521233409722,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,-0.388799925734897,0,0,0,0,0,0,0,0,0,0,0.0601559610632295,0,0,0.04257836204403,0.237964150981451,0,0,0,0,0.0684703859050431,0,0.102087244235859,0,0.0676665819344473,0,0,0,0.0525809898338492,0.347078548551868,0,0,0,0,0,0,0,0,-0.265229749787589,0,0,0,0,0
X601211.CH.EQUITY,0,0,-1.0842021724855e-19,0,0,0,-0.0328431369446407,-0.0300781425284491,0,0,0,0,0,0,0,0,0,0,0,0,0.238288479836274,0,0,0.0166548686194699,0,0,0,0,0,0,0,-0.0154315546380368,0,0,0,0.712732435325089,0,0.218718332886165,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686071789852406,0
X601688.CH.EQUITY,0,0,0,-0.13296789958641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154729311732379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370820058733767,0.22495054278808,0,0.183195837511965,0,0,0.0765787392037103,-0.00100663437036761,0,0,0,0,0,0,0,0.0551375574646083,0,0,0.0616703608344104
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.168952310421696,0,0,0,0,0,-0.069381531598244,0,0,0,0,0,0,0.373594872285177,0,0,0,0.0509413743384171,0,0,0,0,0,-0.00519070588275405,0,0,0,0,0,0.0355885251793789,0,0,0,0.46837238952884,0,0.0121343990709769,0,0,0.0495956572928907,0,0
X601318.CH.EQUITY,0,0,0.0443815922731632,0,0,0,0,0,0,0,0,0,0,0,0.0370504433854828,0.0615727811674704,0,0,0.0549437777733544,0,0,0,0.019691638703332,0,0,0,0,0,0,-0.111066724772051,0,0,0,0,-0.00766449654988967,0,-0.022450956553224,0,0,0,0,0,0.565664065342202,0,0,0,0,0,0,0,-0.0245420695080888,0
