,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X2885.TT.EQUITY,0,-0.12937376626583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969250743753766,0,0,0,0,0,-0.074858045928232,0,0,-0.0210054236151051,0,0,0,0.098675560441272,0,0.130259836631858,2.16840434497101e-19,0.256304569691818,0,0,0,0,0,0,0,0,0,0,0,0.284459524148676,0,6.93889390390723e-18,0,0,0,0
X601318.CH.EQUITY,0.371135093591512,0,0.0912379448545762,0,0,0,0,0,0,0,0,0.077518806801895,0,0,0,0,0,0,0,0,0,0.0203012764743098,0,0,0,0,0,0,0,0,0,0,0,0,0.118086469913212,0,0,0,0,0,0,0,0,0,0.225586937124648,0,0,-0.103588090904851,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.0301298794347752,0,0,0,0.117555300731086,0,0,0,0,0,0,0.33923139133928,0,-0.0739857925246078,0,0,0,0,0,0.0116170976583414,0,-0.112315919034292,0,0.10891887896043,0,0,0,0.25812604192506,0,0,0,0.0669846473738912,0,0.155397540886088,0,0,0,0,0,0.0413652840843058,0,0,0,0,0,0,0.0880264181404936,-0.0123067265934159
X601336.CH.EQUITY,0,0.25948460105413,0,0,0,0,0,0,0,0,0,0.0147175309136319,0,0,0,0,0,0.0847976587346051,0,0.0352452183929197,0,0.0413132030838414,0.0446406971339449,0,0,0,0.085343298203553,0,0,0,0,0,-0.0311473379422723,-0.179726929354876,0.361520315383041,0,0,0,0,0,0.242384421255833,0,0.0509979909290458,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0.24536829684729,0,0,0,0.049437594055172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0920726845608065,-0.019877509803008,0,0,0,0.0337680552889949,0,0,0,0.369125068376154,0,0.207298090425342,0,-0.0824333968174766,0,0,0,0,0,-0.0277912147852939
X601628.CH.EQUITY,0,0,0,0,0,0,-0.166778814705709,0,0,0,0,0,0,0,0,0,0,0.275279974753332,0,0,0,0,0,0,0,0,-0.372515489027375,0,0,0,0,0,0,-0.0561206710087217,0,0,0,0,0,0.0125752303333805,0,0.483312745216417,0.178554544447009,0,0,-0.121706843473403,0,0.13117171509017,0,0,0,0
X1299.HK.EQUITY,0,0.102650463470578,0,0,0,0,-6.93889390390723e-18,0.245525993283886,0,0,0,0,0,0,-0.0450649532200125,0,0,0,0,-0.0392657439740605,0,0,0,0.0246036281556041,0.315976532272323,0,0,0,0,0,0,0,-0.220949696360266,0,0,0.158968982506878,0,0,0,0.0713088392016552,0,0,0.164661282532927,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.186912767399401,0,0,0,-0.0989288317435558,0,0,0,0,0,0,0,0,0,0,0.0524578401002591,0,0,0,0,0.235977021948745,0,0,0,0,0,0,0,0,0,0,0,0,0.00215844419015821,0,0.381759548747412,0.218477844934914,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550671863713437,0,-0.147327442583651,0,0,0,0,0,0,0,0,0.0271866967102382,0,0.243036074738318,0,0,-0.246199387028651,0,0,0,-0.184988598569722,0,0,0,-0.0343410397862694,0.347493541339169,0,0,0,0,0,0.278516583403684,0,0.604766834778443,0,0,0,-0.0353715944193391
X2883.TT.EQUITY,0,0,0,0,0.0649017017964867,0,0.0356878546626375,0,-0.0610665772012242,0,0,0,0,0,0,0,0,0,-0.0172229705386832,0,0,0,0,0,0,0,0,-0.0668130737383307,0,0.0628134151787379,0,0,0.239562137755866,0,0,0,0,0,0,0,-0.0755019708854479,0,0,0,0.044148105126484,0,0.44893903234754,0,0.452320153052948,0,-0.131523968872219,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100290585239658,0,0,0.193061555751481,0,0.141001907167881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663086831714994,0.338798886140196,0,0.081681501487034,0.0984842021694197,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0394214324794491,0.111844996872724,0,-0.0607308879618112,0.0763153473864198,0.133789327567831,0,0.259964641961733,0,0,0,0,0.0453818441904074,-0.103347032044658,0.409159819755043,0,0.191103940529269,0.0900925348619488,0,0,0,0.0515408908473462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TED,0.167471234466975,0,0,0,0,0,0,0,-0.155153413840747,0,0,0,0,0,-0.203029059937657,0.25681311997961,0,0,0,0,0.747464046885249,0,0,0,0,0.223671784257559,0,0,-1.73472347597681e-18,0,0,0,0,0.200403423283779,0,0,0,-0.689619427280706,0,-0.486938588081798,0,0,0,0.423520709356588,0,0,0,0,0,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,-0.315251863079429,0,-0.21299074045265,0,0,0,0,0,0.148699332636253,0.0265884201040514,0,0.187834217791298,0,0,0,0,0.00708786398414038,0,0,0,0,0,0.0135004063504105,0,0,0,0,0,0,0,0,0,-0.0994432781075402,0,-0.0482558510196478,0,0,0,0,0,0,0,-0.0126156186266512,0
