,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.00362683226656858,0,0,0,0.146846318744359,0.0790436503879523,-1.73472347597681e-18,0,0.449383465285275,0,0,-0.0232425618871451,0,0,0,0,-0.0743055502194514,0,0,0,0,0,0,0,0.0915417022890112,0,0,0,0,0,0,0,0,-0.0516125157662624,0,0.138948032824481,0,0,0,0,0,0,0.160453347204557,0,0,0,0,0,0,0.101986797191051,0.0238766726864814
X002142.CH.EQUITY,0.219745960495322,0,0,0,0,-2.77555756156289e-17,0,0,0.0517283756942963,0,0,0,0,0.053723240801327,0.333864201496371,0,0,-0.0146730744135318,0,0,0,0,0,0,0,0,0,0.22100632369415,0,0,0,0,-0.122513636475308,0,0,0,0,0,0,0,0,0,0,0,0.237317150690826,0,0,0,0,0,-0.159009600265207,0
X600000.CH.EQUITY,0.0253405874747348,0.182833435351248,0,0,0,0.148408928803605,0,0.0794188351986423,0.106846416586541,0,0,0.144045428804398,-2.16840434497101e-19,0.00154941544743281,0,0,0,0,0,0,0,0.0227564727031807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27875519240482,0,0,0,0,0,0,0,0,0,0.0260322818021162
X600015.CH.EQUITY,0,0,0.15357643263902,0,0,0,0.0246294503241642,0,0,0,0,0,0,0.222758662334519,0,0.171590468107044,0,0,0,0,0,0.00696106563160941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156262759687384,0,0,0,0,0,0.00347106505873529,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.135282469466722,0,0,0,0,0,0,0,0.131945040606855,0,0,0,0.314486861608963,0,0,0,0,0.357301637310503,0,-0.125168242179085,0,0,-0.197463792008155,0,0.103291956030258,0,0.0692935801922765,0,0,0,0,0,0,0,-0.0830196039903406,-0.393787161285975,0,0,0.324329959932025,0,-0.124909487795797,0,0,0,0,-0.0861859298860398
X600036.CH.EQUITY,0.157805569140107,0,0,0,0,0,0,0,0,0.331941104422195,-0.144846283913482,0,0,0,0,0,0,0,0.390246055910163,0,0,0,0,0,0,0,0.1438478585493,0,0,0,0,0,0,0.229425464913827,0,0,0,0,0,0,0,0.108713463055363,0,0,0,0,0,0,0,0,-0.0389050224656846,-0.018220627157105
X600919.CH.EQUITY,0.331126931649808,0.0956925426230817,0,0,4.33680868994202e-19,0,0,0.0619088409657093,0,0,0,0,0,0.368816964835914,0,0,0,0,0,0.188118198717846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198232142691615,0,-0.060370950377857,0,0,0,0,0,0,0,0.131653521099225,0
X600926.CH.EQUITY,0,0.220207523391166,0,0,0,0.00910388219117369,0.304445869604926,0,-2.16840434497101e-19,0.0281468543500965,0,0,0,0,0,0,0,0,0,0,0,0,0.248632751956733,0,0,0,0,0,0,0,0.0828176571283613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234029189527809,0,0,0,0,0.0190697193987391
X601009.CH.EQUITY,0,0.441001046984363,0,0,-0.195582841675843,-0.424288408220705,0,0.163152157610027,0,0,0,0,0,-3.46944695195361e-18,0,0.148762153848541,0,0,0,0,0,0,0,0.33623180976901,0,0,0,0,0,0.464577605892497,0,-0.127873526235018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136457590460078,0,0,0.204993111785931,-0.209496089761033
X601166.CH.EQUITY,0.41694047361199,0,0,0,0,0,0,0,0.353117967874577,0,0,0,0.0326671851653689,0,0,0,0,0.116360472353942,0,0.127264200967411,0,0,0,0,-0.113870678811935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20191874978585,0.182242094580678,0,0,-0.133404422153692,0,0,-0.0501988385986858,0,0
