,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601818.CH.EQUITY,0.19940476650014,0,0,-1.38777878078145e-17,0,0,0,0.514744365963632,0,0,0,0,0,0,0,0,0,0.205935282751264,0,0,0,0,0,0,0,-0.089455628277254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623755727051137,0,0,-0.134444187225125,0,-0.051887077565768,0,0.0955448390526865,0.120274334718189
X601939.CH.EQUITY,0,0,0.441488963011578,0,0,0,0,0,0,0,0.0604451503076098,0.354026551744756,0,0,0,0,0.0426819108831209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0276787504050114,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.371900638201681,0,0.260104100159632,0,0.0684732215604098,0,0,0.110840025777341,0,0,0,0,0,0,0,0.110786128241599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357852056861157,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.322559874603929,0,0,0.0322154621406446,0,0,0,0,0,0.0498527653767443,0,0.0651808422021483,0.258688785365869,0,0,0,0.200056723627856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764438062579535,0,0,0,0,0,-0.0642263207916396,0,0,0,0.00893906478157057,0,0,0,0,0,0,0.00821050263540748,-0.002959920687126
X601658.CH.Equity,0,0,0,0.558426876665265,2.77555756156289e-17,0,0.0549180805042096,0.370351618635183,0,0,-4.33680868994202e-19,-0.205146710082076,0,0,0,0,0,0,0,0.841352378838361,0,0,0,0,0,0,-0.229263050364878,-0.219717415794442,0,-0.301606374523342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381667702933516
X601916.CH.Equity,0,0.0458115310443181,0,0.167760545041984,0,-0.271074478812883,0,0,0,0,0,0,0,-0.0573988084894606,0,0,0,0.791038872248402,0.0493746448726448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570684324323074,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.135842861234464,0,0,0.0781079658735808,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0973405896047818,0,0,-0.050280498617299,0,0,0,0,0,0,0.353234464634336,0.0495646928491719,0,0,0,0.0679142999556221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370739443168028,0,0,0.0450102153372455,0,0
X2388.HK.EQUITY,0,0,0,0,0.0443944282505936,0,0,0.0717071546779934,0,0,0,-8.67361737988404e-19,0.0193178791997722,0,0,0.00949018930415717,0,0,0,0,0.481205970258028,0,0.192853046223956,0,0,0.108847285650347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979384824379482,0,0
X5.HK.EQUITY,0,0,0,-1.38777878078145e-17,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.100006564535697,0,0,0,0.528212213698148,0.0708904741829133,0,0.177206417415236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.178109993706212,0,0,0,0,0,-0.0950930579995619,0,0,0,0.619571383483348,0,0.0711849827744132,0,0,0,0,0.190805248995354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695442280757938,0,0,0,0,0.0898652274964793,0
