,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.287391069168952,0,0,0,0,0,0,0,0,0.249225048805952,0,0,0,0,0,0,0,0.0422574316661313,0,-0.0255771777397591,0,0,-1.35525271560688e-20,0.218172550424051,0.0117162595088202,0,0,0,0,0,0,0.219568971149263,0.254052703145448,0,0,-0.344572571643045,0.126619097794502,0,0,0,0,0,-0.0705140319593997,0,0,0,0,0,-0.0498853125449328
X002142.CH.EQUITY,0.165246258986421,0,0,0,0,0,0,0,0,0,-0.00751754001537286,0,0,0,0,0,0.303495904820624,0,0.0346516781882719,0,0,0,0,0,0.0687582521332391,0,0,0,0,-0.0190299971015728,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.10684327700731,0,0.0674220364071639,0,0,0,0,-0.143338739994642,0,-0.060040938564944,0
X600000.CH.EQUITY,0.0485492341887346,0,0,0,0.00338954149618538,0.216011938346071,0,0,0,0,0,0.0520540389323755,0.452252275640643,0,0.0744637769235093,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.115852815962166,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127472340687295,0,0,0,0,0,-0.0109456702053468,0,0,0,-0.0353222825990465,0.0867158378021011
X600015.CH.EQUITY,0.0170181654284528,0,0,0,0,0,0,0,0,0.217605071408766,0,0,0,0,0.467036279224672,0,0,0,0,0,0,0.130936041802248,0,0,0,0,0,0,0,0,0,0,0.143753799157036,0,0,0,0,0,0,0,0,0.0814102739556489,0,0,0,0.0242880227073488,0,0,0.001076467855447,0
X600016.CH.EQUITY,0,0,0.226179750845614,0.106538166108148,0,0,0.0652246574037888,0,0,0,0,3.46944695195361e-18,0.224687203151406,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302678419880478,0.0900960056345649,0,0,0,0,0,0.000549692807457081,0.090880872350609,0,0,0,0,0,0,0.138703432057538,0,0,0,0,0,0,-0.0781657309195951,0.0159687784395466
X600036.CH.EQUITY,0.256005057169693,0.0859891188665348,0.0443779232185965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128526666677188,0,-0.0125591954144608,0,0,0,0,0,0,0,0,0,0,0.0193231667380336,-0.0404308646297138,0,0,0,0.0269723272877245,0.375088207047541,0,0,0,0,0.0368088053926329,0,0.183736120273668,0,0,0
X600919.CH.EQUITY,0,0.0771111969092945,0,0,0,0,0,0.128408155823778,0,0.318278632591649,0,0,0.140342925675307,0,0,0,0.0822889996844192,0,-0.0231283127737431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517479246008034,0,0,0,0,0.0578258946852464,0,0,0,0,0,0
X601009.CH.EQUITY,0.0227885072427095,0,0,0,0,0,0.0832705763966409,0,0,0,0,0,0,0.210808652023824,0.311999249087218,0.165015345545348,0,0,-0.0769793018669017,0,0.0492075370399201,0,0,0,0.027560232655812,0,0,0,0,0,0,0,0,0,0,0,-0.0995265847458423,0,0,0,0,0,0,0,0.0731285961367584,0.0228389480952339,0,0,0,-0.191081579363892
X601166.CH.EQUITY,0.0374606756399147,0,0,0,0,0.518969547426237,0,0,0,0,0,0,-8.67361737988404e-19,0.0997006218489343,0.0873252932594607,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0831614024721712,0,0,0,0,0.260208297727255,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.212275397650034,0.614149449443823,0,0,0,0,0,0,0,0,0,0,0,0,0.142349601479925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135946655858365,0,0,0,0,0,0,0,0.00961428546700232,0,0
X601229.CH.EQUITY,0.259793330657397,0,0,0,0.0928039782337535,0,0,0,0,0,0,0,0,0.29164269174988,0,0.116223977555001,0,0,-0.243175956530563,0,0,0,0,0,-0.1037996812819,0,0.0915020751361725,0,0,0,0,0,0,0,0.250443882726465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.171444873096607,0,0,0.510123351862098,0,0,0.201064625869547,0,-0.00574465790456859,0,0,0,0,0,0,0,0,0,0.297547605838739,0,0,0,0,0,0.00989043235040769,0,0,0,0,0,0,0,0,0,0,0.0347558027774046,0,0,0,0.0494698455981121
X601328.CH.EQUITY,0,0,0.169185184476381,0,0.142367773387081,0,0.109139666081546,0,0.0523667277045822,0.210412440980903,0,0,0,0,0,0,0,0.206568552172319,0,0,0.00204321284233625,0.0999638955901535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396459563977017,0,0.0568992064117506,0,0,0,0,-0.0180468948310479,-0.135841153257015,0,0
X601398.CH.EQUITY,0,0.153210991086335,0,0,0,0,0.179219698739176,0.114157002183755,0,0,0,0.128253200791402,0.287570876890467,0,0,0,0,0,0.0931733005860068,0.0696593385661391,0,0,0,0,-0.0375287861267625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212615791886454,0,0,0,0,0.221957558024779,0,0
X601818.CH.EQUITY,0.111764775632916,-0.0638222964524751,0.187962659949521,0.221052560894235,0,0,0.0410339614350092,0.129378612854713,0,0,0,0,0,0,0,-0.162154104300398,0,0.371245348675419,0.0580204625789675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289485195511371,-0.139971508981818,0,0,0,0,-0.0924849051041644,0,0,-0.0786279704163352,0,0,0.0664228573472164
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0351143934594308,0.380787759200137,0.0880824298644919,0,0.370527721820753,0,0,0.137038041164871,0.158623575071715,0,0,0,0,0,0,0,0,-0.0202204946198312,0,0,0,-0.011957048778126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148282957508171,0,0,0.057620173612062
X601988.CH.EQUITY,0,0,0,0,0,0,-0.01567390960788,0,0.135563126219999,0,0,0.348461065860659,0.15457126027086,0,0,0.109322239792224,0,0,0,0,0,0.0513458081837489,0,0,0,-0.193167188451288,0,0,0,0,0,0,0.0412722353522928,0,0,0,0,0,0,0,0,0,0,0.20065455041773,0,0,0,0.114054653668433,-8.67361737988404e-19,0
X601998.CH.EQUITY,0,0,0,0.308120796053933,0.379249491768515,0,0,0,0,0,0,0,0.0635147221101912,6.93889390390723e-18,0,0.0322109419585228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0650382858208664,-0.230360730527809,0,0,0,0,0,0,0,0,0,0.00761854672972654,0,0.0714847952934528,0,0,-0.00706764074876505
X601077.CH.Equity,0.121900202893243,0,0.0840494365709969,0,0,0.0237663004759635,-0.287546110889355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842393818810649,0,0,0,0,0,0,0.0820299109082016,0,0,0,0.133929342440584,0,0,0,0,0,0,0,0,0,-0.379840609719802,0.0637511866932513,0,0.0220760594288979,0.171582022591203,-0.0413490749882449,0.111554398336257
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.156829179793402,0,0,0.0642007434156169,0,0,0,0,-0.000541429587163155,0,0.193974721386163,0.216677639721906,0,0,-0.00662551094176493,-1.35525271560688e-20,-0.107674207675441,0,0,0,0,0,0,0,0,0,0.0967214208602706,0,0,0,0,0,0,0,0.276160768309456,0,0,0,0,-0.11349769288965
X2388.HK.EQUITY,0,0,0,0,0,0,0.0504897913587908,0,0,0,0,0,0.110291668790395,0,0,0,0,0,0,0.366059778041287,0,0.250829430436772,0,0.143440438104063,0,0,0,0,0,0.144192239555465,0,0,0,0.0500784094708963,0,0,0,0,0,0,0,0,0,0,0.173658285519381,0,0,0,0.138382186160549,0
