,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601229.CH.EQUITY,0,0,0.156077659366133,0,-0.0982568969266772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911796661999631,-0.100399916229298,0,0,-0.0168263749280545,0,0,-0.07702361466722,-0.0504025020615685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188814518415991,0,0,0,-0.0180885189131556,0
X601288.CH.EQUITY,0,0,-0.0759367139964208,0,0,0,0,0,0,0,0,0,0.185393236887666,0,0,0,0,0.0201234386328123,0,0,0,0.632490960650578,0,0,0,-0.0348711779917651,0,0,0,-0.0607299349225333,-0.0461421910274531,0,0,0,0,0,0,0,0,0,0,0.162199807804123,0,0.0793761051098642,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,-0.0615411824368753,0,0,0,-0.0811119968226777,-0.0345188121905239,0,0,0,0,0,-0.0269468963463953,0,-0.0323235464682192,0,0.964903863677545,0,0,-0.0636833296925098,0,0,0,0,0.0531125228558586,0,0,0,0,-0.0734172172148623,0,0,0.0306970262053415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,-0.163673455128839,0,0.052944645924225,0,0,0,0,0,0,0,0,0,0,0.0244178909880231,0.771995213656053,0,0,0,0,0,0,0,0,0.130307700838869,0,0,0,0.00616268558913374,0,0,0.113868933901669,0,-0.102364460988872,0,0,0,0,0,0,0.0255450083816923,0,0,0,0,0,0,0,0,0,-0.210260383438084,-0.0296534487774567
X601577.CH.EQUITY,0,0,0.461190735197392,0,0,0,0,0,0.271479878505752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757072962808639,0,0,0,0,0,0,0,0,0,0,0,0,0.0727224421152982,0,0,0,0,0,-0.0427105471227258,0,0,0,0,0.0632387436624861
X601818.CH.EQUITY,0,0,0,0,0.592165260342985,0,0,0,0.169380922917596,0.0774091118731353,0.0853081258022609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602147194535768,0,0,0,0.0461401347540759,0,0.0117779996743986
X601838.CH.EQUITY,0,0.243643952668953,0,0.0448862067321073,0.106847622486514,0,0,0.185587344343515,0.426482946024636,0,0,0,0,0,0,0,0,0,0,0,0.0591597163572439,0,0,0.0522265849457768,-0.0449582343565634,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176155540460284,0,0.080506248008656,0.0166817844673527,-0.228067788471123,0,0,-0.14566603471837,0,0.28507395837847,0,0,0,0
X601939.CH.EQUITY,0,0,0,-1.0842021724855e-19,0,-0.0138959039591078,0.0145776168435419,1.0842021724855e-19,0.0468210496724916,0,0,0,0,0.871513764175517,0,0,0.0737376400059155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664881685687477,0,0,0.0302818251955328,0.0134673645792755,0,0,0,0,0,0.0189968433435267
X601988.CH.EQUITY,0,0,0,-0.0234760739717212,0,0,0.110279011746167,-0.0297871691011183,0,0,0,0,0.818220767001153,0,0.0593450413930761,0,0,0,0,0,0,0,0,0.0220783912523715,0,0,-0.0383258791209385,0,-0.0311092694993851,0,0,0,0,0,0,0,0,0.0716347400772293,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165039359211812
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.171967119409769,0,0,0,0,0,0,0,0.0953335450544713,0.0548868025776798,0,0,0,0,0,0,0,0.154364598762075,0,0.0391778119415746,0,0,0,0.214496629977355,0.02583347150896,0.00808252896402531,0,0,0,0.147931633105399,0,0,0.0040377158769947,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0.0226293787578983
