,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.195020129605741,0.0140598822398925,0.124909696449619,0,-1.73472347597681e-18,0.161712553668961,0,0,0,0.120877939858514,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.00338587600080864,0,0,0,0,0.0191030343300802,0,0,0,0,0,0,0,0,0.0555815557946529,0,0.0991633812061665,0,0,0.0785085074934546,0.0493598790966788,0,0
X002142.CH.EQUITY,0,0,0,0.196427470769475,0,0,0,0.22820369330123,0,0,0.218815601457232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185300240841993,0.161258300428454,0,0,0,0,0,0,0,0,0,0,0,0.0677510368137364,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0353362626358544,0,0,0,0.139131075031997,0.218778569536257,0,0,0,0,0,0,0.157019741712319,0,0,0,0,0,0,0,0.0216043294000373,0,0,0,0,0.0072673020377632,0,0,0,0,0,0,0,0,0,0,0,0,0.0222444727572818,0,0.0768290202568892,0,0,0.115787909371944,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.607621217601645,0.0660653569070233,0,0,0.100460257079695,0,0,0,0.0507642527504977,0.0516331514189308,0,0,0,0,0,0,0,0,0.0527770160904565,0,0,0,0.00183519187563974,0,0,0,0,0,0,0.0212887517116566,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.112728268012247,0.258331802683581,0,0,0,0,0.328865311929471,0,0,0,0.00624078483251972,0,0,0,0.105257982307008,0.0606379777320397,0,0,0,0,0,0.104240306226674,0,0,0,0,0,-0.0282222282561234,0,0,0,0,0,0,0,0,0,0,0.0362532148810952,0,0,0,0,0,0,0,0,0.0081089325479613
X600036.CH.EQUITY,0.422152766406174,0,0.259272295110754,0,0,0,0,0,0,0,0,0,0,0,0.101938573908632,0,0,0,0,-0.0448515802851818,0,0,0,0.0624894216433305,0,0,0,0,0,-0.00767648504483692,0,0,-0.0221321566716552,0,0,0,0,0,0,0,0.0316962823488635,0.123424567053161,0,0,0,0.018498918678121,0,0,0,0.0541472632712191
X600919.CH.EQUITY,0,0,0,0.264106791238991,0,0,0,0,0,0,0,0,0,0,0,0,0.274039425728653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875368256486414,0,0.202275294339314,0,0,0.0340571529978628,0,0,0.0515836254076681,0,0,0.0143283169922447,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.230553585943154,0,0.215895024321889,0,0,0,0,0.369413292880922,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619268067243026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335105901939597,0,0.261134422078952,0,0
X601166.CH.EQUITY,0,0.0106081259600977,0,0,0.0472473621622281,0.170504440647789,0,0.0620342600526887,0,0,0,0,0.125946966423505,0,0,0.143279483957685,0.0704823777830683,0,0,0,0,-0.0527918992490113,0,0,0,0,-0.000722085707346656,0,0,0,0,0,0,0,0,0,0,0,0.0574965608757224,0,0,4.33680868994202e-19,0.155508465713487,0,0,0,0.0972571062634717,0,0,0
X601169.CH.EQUITY,0,0,0,0.0357053496413215,0,0.0544119372906404,0,0,0,0,0,0,0.0124850140786405,0,0,0,0.200251332369399,0.153442326629562,0,0,0,0,0,0,0,0.0996035235966098,0,0,0.0512297827999975,0,0.0976399483941631,0,0,0,0,0,0,0.0745990329556949,0,0,0.0672282127633762,0,0,0.0675049908335512,0,0,0,0,0,0
