,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601838.CH.EQUITY,0,0,0,0.0176688235381431,0,0.1725962992919,0,0.322589973972209,-0.223176124848009,0.198063031667013,0,0,0,0,0,0.147091315576888,0,0,0,0,0.118676780069067,0,0,-0.0896066761285226,0.187532789528116,0,0,0,0,0,0,0,0,0,0,0,-0.1215898938343,0,0,0,0.0709102106710776,0,0,0.0169462534982574,0,0,0,0,0,0,-0.0199965364505813,0
X601939.CH.EQUITY,-0.0758124541185513,0.152205392468618,0,0,0,0,0,0,0,0,0.0784248486746729,0,0.116623411666137,0,0.373335757244354,0,0,0.030855480581782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038306401878687,0.0165836814118015,0,0,0,0,0,0,0,0,0.152977527253802,0,0,0,0,0.157099182474989,0,0
X601988.CH.EQUITY,-0.122070839503367,0,0,0,0.0181124634007713,0,0,0,-0.335998986605362,-0.0130033639998089,0,0,0.169186281792447,0.450615449245102,0.11465535580559,0,0,0,0,0,0,0.0625028861195643,0.0133757865629764,0.231365722534732,0,0,-0.0482803393663897,0,0,0,-0.0187795817175013,0,0,0,0,0,0,0,-0.0321766222727241,0,0.150344657264038,0,0,0,0,0,0,0,-0.0510722083637396,0,-0.0385222593859203,0
X601997.CH.EQUITY,0,0,0,0,0,0,0.0211848235985894,0,0,0.149882633441653,0,0.37463531820557,0.13475655349766,0,0,0.0809076573632412,0.0554950534934709,0.144742116634842,0,0,0,0,0.0125856034849147,0,0.198721569995842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11387633712899,0,0,0,0,0,0,0,0.00730297148590441,0
X601998.CH.EQUITY,0,0,0,0.126428081802868,0,0,0.134726937618829,0,0,0,0.186538453289265,0,0,0.0943331709778274,0.114849629124993,0,0.0940804256228609,0,0,0.187601158103288,0,0,0,0,0.165477121619798,0,0,0,0,0,0,0.0744900199753615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102379440119231
X601658.CH.Equity,0,0,0,0,0,0,0,0.0199752883429236,0,0,-0.0304254349522494,0,0,0,0.0411030317383198,0,0,0,0,0.097343009421418,0.395355347219066,0,0,0.334394220484959,0,0,0,0.103015188958923,0,0,0,0,0,0,0,-0.0215963850544207,0,0,0.05026990192696,0,0,-0.0961582010567951,0,0,0.0627648088797704,0,0.115275482072118,0,0,0,-0.0949335744194986,0
X601916.CH.Equity,0,0,0,0.0850209523097714,0,0,0.0609498899443567,0,0.0105914775092665,0,0,0,0,0,0.190010156009552,0.121100732921309,0,0.0332984747625259,0,0,0,0,0.110881382402778,0,0.00875731739367096,0,0,0,0,-0.00530854977543841,0,0,0,0,0,0.044564385904188,0,0,0,0.131661360280107,0,0,0,0,0,0,0,0,0,0,-0.159599159431227,0
X601077.CH.Equity,0,0,-0.112845293900996,0,0,-0.29707873083391,0,0,-0.0146488675865942,0,0,0,0,0.16983781964124,0,0,0,0.0350738106257073,0,0,0,0.264908840088208,0,0.316717655661507,0,-0.0621786653307676,0,0,0,0.0299246344747984,0,0,-0.0932965735581742,0.119999753566739,0,0,0,0,0,0,0.697487732036154,0,0,0,0.174856019108664,0,0,0,0,0,0.0861229892235313,0.0783412664985862
X11.HK.EQUITY,0,0,0,0,0.370291880271871,0.118912435795215,-0.190438201249942,0,0,0,0,0,0,0,0.0620039276953282,0,0,0,0,0,0,0,0,0,0,0,0.0413107159462991,0.0190005398360885,0,0,0.0410179836297163,0,0,0.252498377940294,0,0,0,0,0,0,0,0,0.0252367931778325,0,0.0107188754416017,0,0,0,0,0.0692276447411683,0,0.168517164002429
X2388.HK.EQUITY,0,0,0,-0.0382931945334468,-4.33680868994202e-19,0,0,-0.0133466444261407,0,0,0.126655757386198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348800121679894,0,0.143509076738731,0.0204527167974528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139764335482302,0.0596768870607001,0,0,0,0.0709628559470186,0,0.210333945748729,0
