,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0191012581405658,0,0,0.415835855849186,0,0,0,0,0,0,0,0,0,0,0,0,0.0854101635319887,0,0,0,0,0,0,0,0.286856666456769,0,0.143471986090017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891393418281719,0,0.0178795268702543,0.0181569411626136,0,5.42101086242752e-20,0,0,0,-0.0681953140951983
X002142.CH.EQUITY,0.0335823172941954,0,0,0,0.1221731290358,0.313184366026163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166432944120132,0.235670356555763,0.0900087187862937,-0.133636310563894,0,0,0,0,0,0,0,0,0,0,0,0.193195635451553,0,0,0,0.0249521615215611,0,0,0.265781233028286,0,0,-0.265959174276497,0,0,0,-0.0904386518279509,0
X600000.CH.EQUITY,0,0,0,0.299073994700421,0,0.264172733369832,0,0,0,0,0,0.034151035974677,0,0,0,0,0.362066788211287,0,0,0.109472268223538,0,0.0428398535917603,0,0,-0.0944299473588158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15855240051667,0,0,0,0.0508871244068847,0,0,-0.124183903493848,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.511352644951,0,0,0,0,0.0481107006399249,0,0,0,0,0.309808994203724,0,0,-0.0528821395803714,0,0,0.196710506548121,0,0,0,0,0,0,0,0,0,-0.120772298054266,0,0,0,-0.034865937260269,0,0,0,0.0663863728397201,0,0,0,0,0,0,0,0.0542893547208458,0,0,-0.0204382215412853
X600016.CH.EQUITY,0,0.211756132521644,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0898426502184822,0,0,-0.041458347336142,0.722254473411244,0,0,0,0,0,0,0,0.0247978032411671,0,0,0,0,0,0,0.0409888355865977,0.00979324777320532,0,0,0,0,0,0,0,-0.250825811054219,0,0,0,-0.0264256090082995
X600036.CH.EQUITY,0.010582325070119,0.091125518899455,0.131065358309066,0,0,0,0,0,0,0,0.375332808807161,0,0,0,0,0,0,0,0,0.0859053953575318,0.0405854072553072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270394470350684,0,0,0,0,0.0200942823644808,0.0479547619258842,0,0.0175342747879089,0,0
X601009.CH.EQUITY,0,0,0,0.810079801021194,0,0.0773541592105198,0,-0.105004238777661,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641929558916289,0,0,0,0,0.0774054397685381,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169974869168361,0,0,0.113519842398558,0,0,0.0581959859240545,-0.00639069105703226,-0.015835295544703,0,0,0
X601166.CH.EQUITY,0,0,0.0699268382334621,0,0.0681226122888885,0.106056187768159,0,0,0.291295872816263,0,0.0209777809990706,0,0,0.019278788354697,0,0.281916838584173,0.0523471276491045,0.0400691308002455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261847389426512,0,0.0376211668579849,0,0,0,0.0568583725649236,0,0,0.0475157386561684,0,0,0,0.0323066152133966,0
X601169.CH.EQUITY,0,-0.0520624236478912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760359701959113,0.119981179749261,0,0,0,0,0,0,0,0,0.00827562468559644,0.0438473614263619,0.0490675333579369,0,0,0,-0.0244259550072399,0,0,0,8.67361737988404e-19,0,0,0,0.00306216849666611,0,0,0,0,0,0,0.0704063414343525,0,0,0,0,-0.0229017220355033
X601229.CH.EQUITY,0,0,0,0,0,0.0639752467058738,0,0,0,0,0,0,0.887814304781822,0,0,0,0,0,0,0,0.346505615624175,-0.0199817451633554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482040406007248,0,0,-0.0228964827236763,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.270399010701625,0.0156801547368561,0.121540401899725
