,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.215420384076029,0,0,0,0,0,0,0.156128502410012,0.170035402502178,-8.67361737988404e-19,-0.166273847337288,0,0,0,0.125199626763209,0,0.0203958252710876,0,0,0.189113609530347,0,0,0,-0.0496417804437959,0,0,0,0,0,0,0,0,0,0,0.203005236598278,0.161729581345408,0,-0.254302207360558,0,0,0,0,0,0,0,0,0,0,0.0821962053748605,0,-0.155557857026054
X002142.CH.EQUITY,0.175939886816018,0,0,0,0,0.151428317657021,0,0.0969910916997504,0,0,-0.0593195035579356,0,0,0,0,0,0,0,0,0,0,0,-0.0165022285024462,0,0,0,0,-0.145916573304779,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0505090836069871,0.050273376289571,0,0.261705938442501,0,0,0,0,0,-0.0411529126219693,-0.125863496871726,-0.140498160016619
X600000.CH.EQUITY,0.0563199163224584,0,0,0,0,0.160703093630805,0,0,0,0,0,0,0.404084366214278,0,0.153988538058614,0,0.0790914281774119,0,0,0,0.018723042965114,0,0,0,0,0,0.182142243097511,0,0,0,0,0,0,0,0,0.0492296435100932,0,0,0,0,0,0,0,0,-0.0270309682384497,0,-0.0509937659480197,0,0,0,0,0.0596375022979327
X600015.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0.0379646723344188,0,0,0.125941336923391,0,0,0,0,0.122371516379755,0.114357117510093,0,0.015169981775559,0,0,0,0,0,0,0,0,0,0,0,0.0230227522971857,0,0,0,0,0,0,0.0788364898936102,0.0408072079547704,0,0,0,0,0,0.299905510774945,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.103642695341001,0,0.157356425640169,0,0.291570921084015,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0670699882621996,0,0,0,0,0,0,0.342534395603904,0,0,0,0.0113146711507625,0,0,0,0.115708090688533,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.188115431505896,0.0598841940240942,0.176300893872812,0,0,0,0,0,0.0590311197924667,0,0,0,0.078031538952695,0,0,0,0,0,0,0,0,0,0,0.0346832107019738,-0.108735828353133,0,0,-0.0726313840050604,0,0,0,0,0.0896698765222851,0.013252024803138,0,0.0250608091612353,0,0,0,0,0,0.0616592677783556,0,0,0,0,0.262211383634293,0,0.0620804836125735,0,0,0
X600919.CH.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0.151476279500429,0.188336334320223,0.106317628259275,0,0,0,0,0.0392675750215039,0,0.100261092072408,0,0,0,0,0,0,0,0,0.0499498130185685,0,-6.93889390390723e-18,0,0.105276575663226,0,0,0,0,0.00526916577564223,0,0,0,0,0,0,0.0394648997300399,0.00862776123704418,0,0.108106225520223,0,0,0,0,0,0
X601009.CH.EQUITY,0.207731134560139,0,0,0.26350886854743,0,0,0.0850923650280566,0,0,0,0.177261858692614,0.0328278192744288,0,0.0493137993253817,0,0,0,0,0,0,0,0,0.101827611148655,0,0,0,0,0.052770882724607,0,0.0881673187348193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805958210420752,0,0,0,-0.14277661121879
X601166.CH.EQUITY,0,0,0,0.117285516920014,0,0.348891347847849,0,0.150594052226572,0,0.0678963419176528,0,0,0,0,0,0.0936461684216275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888284929632041,0,0,0,0,0.156572916545995,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0210999404824833,0.296462585944473,0.380185711829227,0.14027478377721,0,0,0,4.33680868994202e-19,0,0,0,0.255879061990843,-0.0450977114235635,0,0,0.0412139662958365,0,0,0,0,0,0,0,0,0,0.0211094794901444,-0.115227518782182,0,0,-0.02329222784708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531391081109258,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0.0452524695452094,0,0.0343045842667645,-4.33680868994202e-19,0,0,0,0,0,0.327833488209802,0,0.158331473488048,0,0,0,0,-0.186869137064776,0,0,0,0,0,-0.099671129236863,0.225681992834798,0,0,0,0,0,0,0,0.0175533941145057,0.34713547677565,0,0,0,0,0,0,0,0,-0.0260913454613846,0,0,-0.138561375447976,0,0.040172417593919,0
