,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.10088451966951,0,0,0,0.107657835604136,0,0,0,0.0516436459415634,0,0,0,0,0,0,0.0257009347400326,0,0,0,0,0,0.15865151854772,0,0,0,0,0,0,0,-0.0590624535658836,0,0,0,0,0,0,0,0.00904973332424452,0.450399359022754,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.122996579064235,0,0,0,0,0.125640473915267,0,0,0.201708518516563,0,0,0,0,0,0,0,0.32180297924127,0,0,0,0,0.0098338954856946,0,0,0,0,0,-0.313354078576736,0,0,0.183721520275932,0,0,0,0,0,0,0,0,0,-0.105294554980055,0,0,0.165925263415566,0.127853509700725,0,0,0,0,0.0389400129769257,0
X600000.CH.EQUITY,0.109971146949913,0,0,0.245232811316296,0,0,0,0,0,0.0785747465933056,0,0,0,0,0,0,0,0.153058752836968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819573843057516,0.0537568948480918,0.0532998791686219,0,0,0,0,0,0.068463074439992,0,0,0,0,0,0
X600015.CH.EQUITY,0.194082215010306,0,0,0,0,0,0,0.0581663454051931,0.138149484307973,0,0,0,0,0,0,0,0,0,0,0.0410959492156158,0,0,0,0,0.316346762896334,0,0,0,0.0670463149798466,0,0,0,0,-0.0842752033197006,0,0,0,0.0263609631401205,0,0.0179255916751413,0.146524996755678,0,0,0,0,0,0,0,-0.150109811694463,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.053533751932157,-0.401569167359524,-1.73472347597681e-18,0,0,0,0,0,0,0.0709839759595468,0,0,0,0,0,0,0.352160116314669,0,0,0,0.00496411564581578,0,0,0.037961697844733,0,0,0,0,0,0,0,0,0.172517940159485,0.209399699433078,0,0,0.1719672184626,0,0,0,0,-0.0498839867014081,0.285366424206886,-0.0128877002502761
X600036.CH.EQUITY,0.149773320931706,0.0939582625687981,0,0.112373761495208,0,0,0,0,0.195248717764398,0,0.0255177068535318,0,0.242666291741188,0,0,0,0,0,0,0,0,0,0.038357007788525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.080112732080456,0,0,0,0,0.101446210693127,0.127779974151955,0,0.00722861027535776,0,0,0,0,0,0,0.143364712629506,0,0,0.297153447384841,0,0,0,0,0,0.0334774263288071,0,0,0,0,-0.251963024362513,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0354430909727703,0,0,0,0
X600926.CH.EQUITY,0.0664720027480155,0,0.0408430250474618,0,0,0,0,0,0.123665162148899,0.122415887144864,0,0,0,0,0,0.0351542938315668,0,0.286827909309027,0,0,0,0,0,0,0,0,0,0.0222839008629395,0,0,0,-0.059330657324807,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20109388834514,0,0,0,0,-0.0393355116921679
X601009.CH.EQUITY,0,0.0796504847912356,0,0.228735013780026,-0.00479825449038273,0,0,0.34610487469742,0,0,0,0,0,0,0,0,0,0.0554146744950147,0,0,0,0,0,0,0,0,0,0.0811011032304554,0,0,0,-0.101912594537122,0,0,0,0,0,0,0.0611735021007323,0,0.0675875707391568,0,0,0.0160396218390961,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.551396110337682,0.0712032556973691,0,0,0.0977749032844726,0.205656704804354,0,0.139430788349403,0,0,0,0,0.0690695787821953,0,0,0,0,0,0,0,0,-0.0994379781995516,0,0,-0.182496682967361,0,0,0,0,0,0,-0.10434674167775,0,0,0,0.03674255467986,0,0,0,0,0,0,0,0,0,0,0.0529861114537203,0,0,0,0
