,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601318.CH.EQUITY,0.0274849068220407,0,0,0.146517745601892,-1.73472347597681e-18,0,0,0.231233254043549,0,0.185521039257514,0.142952324161493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809315770507097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.195250260885634,0,0,0,0,0,0,0.226302461516719,0,0,0,0,0,0,0,0.043391806200818,0,0,0,0,0,0,0,0.139167664483388,0,-6.93889390390723e-18,0,0,0,0,0,0,0.249648562039823,0,0,0,0.0775390320389572,0.0444499842018896,0
X601336.CH.EQUITY,0.22539086401437,0.0407990397364394,0,0,0,0,0,0,0.0460130434773657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114623434153985,0,0,0.131043736939906,0,0.081258861669584,0,0,0,0,0.0454377124538271,0,0,0.178486503634862,0,0,0.0983848360562162,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.121136740488712,0,0,0,0,0.0838058610295849,0,0,0,0,0,0,0.00179421921765727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473936819590207,0.0295612792262963,0,0,0.0890795047081414,0.0999697651580084,0.0527600066668599,0,0
X601628.CH.EQUITY,0.0647044686386424,0,0,0,0,0,0,0,0,0,0.137153223423609,0,0,0,0,0,0,0.222913157875994,0,0,0,0,0,0,0,0.0764189173996612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263995105933254,0,0.0778444532276238,0,0,0,0,0,0
X1299.HK.EQUITY,0.236343169089707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230644592757775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191234611035376,0,0,0,0,0,0,0.167564001771039,0,0.149901588114794,0.122190946564609
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265544867457025,0.0837845368658899,0,0,0,0,0,0,0,0,0,0,-0.0217336265442816,0,0,0,0,-3.46944695195361e-18,0,0,0.168286687653595,0,0.0922287297832281,0,0.259704783908821,0,0.173329502967638
X2882.TT.EQUITY,0,0,0,0,0,-0.133292004294462,0,0,0,0,0,0,0.0639506579753698,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.129215519651519,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.093509549435345,0,0,0,0,0,0,0,0.204005432926445,0.226133182980245,0,0,0,0.651896168261694,0,-0.0878456476773381,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641564355676276,0,-0.0980659131783448,0,0.28617958436816,0,0.0966019285391966,0.136667563084218,0,0,0,0,0,0,0,0,0.0156011543055941,0,0.0399880339169047,0,0.0554692265404715,0,0,0.116245751336963,0.131760478374784,0,0.293538983126062,0,0,0,0,0,0,0,0.0878190459353096
macro_return_add,0,0,0,0.059079114149719,0,-0.0505090430726622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436845775552479,0,0.0947943452728965,0,0,0,0,0,0,0,0,0,0,0.122670784695273,0,0,0,0,0,0,0,-0.10503954529635,0,-0.0329563860216138,0,0,0,0
