,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.059419073779338,0,0.131877953996112,0.170358367729679,0,0.34805063391223,0,0,0,0.00235581923851064,0,0.133312809844969,0,0,0,0,0,0,0,0,0,0.0110416236875793,0,0.00474119758730232,0,0,0.11223268586915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.168833274003739,0,0,0,0,0,0,0,0.295345846189369,0,0,0,0,0,0,0.328782318344486,0,0,0,0.0252135459124464,0.0741106683095835,0,0,0,0,0.0767293795040344,0.0176216698217996,0,0,0,-0.0944308784032318,0,0,0,0,0,0.0661305399589311,0,0,0.0280446377691398,0,0,0,0,0,0.0330801045693707,0,0,0,0,0,-0.0131563047058555
X601939.CH.EQUITY,0.267983308340238,0,0,0,0,0,0,0,0,0,0,0,0,0.414928788558303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194537854738796,0,0.108785922016148,0,0,0.00680223830502805,0,0,0,0,0,0,0.00387936390377813,0,0,0
X601288.CH.EQUITY,0.343765421518258,0,0.0424035654350109,0,0,0.468810971294653,0,0,0,0,0,0,0,0,0.0357117183645564,0,0,0,0,-0.0109326525906034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112837411617133,0,0,0
X5.HK.EQUITY,0,0,0,-0.00515356328825418,0,0,0,0.168843462555107,0,0.155712222881844,0,0,0.35857022854253,0,0,0,2.77555756156289e-17,0,0,0,0,0.0414608574377451,0.687720546314014,0,0,0,0.0233477239686892,0,0,0,0,0,0,0.0870161859184502,0,0,0,0,0,-0.0387555787894498,-0.253743886533575,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.13445365476272,0.0556948195256945,0,0,0,0,0,0,0.113652642760097,0,0.0705062014349363,0,0,0.115533111711182,0,0,0,0,0.0684172551988831,0,0.158384964326432,0,0,0.115089246224725,0,0,0,0,0,0.0231116662614456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110984933032529,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.197053032225869,0,0,0.229187169618895,1.38777878078145e-17,0,0,0,0.17708507180078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149006549287833,0,0.00530075179158916,0.152876065621842,0,0,0.0961322658963247,0,0,0,0,-3.46944695195361e-18,0,0,0.0374014412283254,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.146691825307932,0,0,0,0,0,0,0,0.358916945698429,0.0238560254399276,0,0,-1.73472347597681e-18,0,0.18021019501705,0.266887931773544,0,0,0,0,0,0,0.268725094822121,0,0,0,0,0,0,0,0.00967618763645048,0,0,0,0,0,0,0,0,0,0,0,0.0744800863471465,0,0,0
X601628.CH.EQUITY,0.306115250744378,0,0,0,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,-0.0171384961375717,0,0,0,0,0.0823781517715766,0,0,0,0.0730168954014885,0,0.267095191930024,0,0,0,0,0.177793416373598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.26793764074266,0,0,0,0,0,0.150515652786457,0,0,0,-0.0946399971640244,0,0,0,0,0,0,0.233904627608782,0,0,0,0,0,0,0.12635742361434,0,-0.145021370437903,0,0,0,0,-0.0099950871913019,0,0,0,0.802522303128074,0,0,0,0,0,0.355590439194565,-0.228190094748873,0,0,0
