,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0181126730096441,-0.0376065428867164,0.213821135911166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200777196227386,0,0,0,0,0,-0.306956231362565,0,0,0,1.73472347597681e-18,0,0.78720752566322,0.212541002568961,-0.175337842050437,0,0,-0.0825264186757923,0,-0.000116035383685813,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.137840581457473,0,0.125934426341891,0,0,0,0,0.0173522679335213,0.0517189534539892,0,0,0,0,0,0,0,0,0,0.0777482590515139,0,0,0,0.0931889162548647,0.0190199267613088,0,0,0,0,0,0,0,0.309450104974891,0,0,0,0,0.0344682529456741,0,0.0215329059985054,0,0,0,0,0,-0.0233826532088557
X601939.CH.EQUITY,0.287230548378811,0,0,0,0,0.0101246661518739,0,-1.35525271560688e-20,0,0.0336099022872855,0,0,0,0,0,0,0,0.0696393201616449,0,0.0288974693689154,0,0,0,0.0399631426244295,0,0,0,0,0.143689238416379,0.0942461384611792,0,0,0,-0.129357474982455,0,0,0,0,0.42551641081811,0,0,0.0202301579571873,0,0,0,0,0,0,0,0,0.141275908692513
X601288.CH.EQUITY,0,0,0,0,0,0.110845289138102,0,-0.216787124543534,0.193897119652302,0,0.455753532144671,0,0,0,0.137549010658214,0.0725412685774547,-0.19864799389815,0,0,0,0,0,-0.0345506475942667,0,0,0,-1.73472347597681e-18,0,0,0,-0.687772675687386,0,0,0,0,0,0,0,0,0,0.295276801565135,0,0,0,0,0,0,0.107265126831794,0,0,0
X5.HK.EQUITY,-0.131952968366683,-0.0364035375805163,0,0,0,0,0,0.150878301011559,0,0,0,0,0,0,0.422937623709293,0,0,0,0,0.330142287028827,0.186560034630167,0,0.170712140062064,0,0,0,0.0308423451664792,0,0,0,0,-0.17017275739785,0,0,0,0,0,0,0,0,0,-0.171416853348729,0.208229885182158,0,0,0,-0.0259574122308974,-0.114019370872368,0,0,0
X601988.CH.EQUITY,0.128830411961408,0,0,0.101644473878452,0,0,0,0,0,0,0.231027429191783,0,0,0,0,0,0.170114298230724,0.118241480838724,0,0,0,0.0123055492582295,0,0,0,0,0,0,0,0,0,0,0,-0.0258797621799377,0,0,-0.0591826499854128,0,0.151820214642181,0,0,0,0,0.175296234985865,0.191881677184876,0,0,0,0,0,0.0532239759515453
X600036.CH.EQUITY,0,0.18309079425582,-0.0475652328828662,0,0,0,0,0,-0.253477405385423,0.476471219318583,0,0.35180201815029,0,0,0,0,0,0,0,0,0,0,0.0785067526400753,-0.0888926989452342,0,0,0,0.0724669275654635,0,0.065272057011425,0.102304615729277,0.137603357219538,0,-0.133844424718062,0,0,0,0,0,0,0,0,0.176607080866842,0,0,0,0.0267853572766431,0,0,0,0
X1299.HK.EQUITY,0,0.103350707013242,0,0,0.0735665225824289,0,0,0,0.0987045728552593,0,0,0,0,0.0400535918835206,0,0.176539104160498,0,0,0,0,0,0,0,0,0,0.0837748339065794,-0.0118875960332911,0,0,0,0,0,0.240432031778243,0,0,0,0,0,0,-0.0632142934505563,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0633451037007793,0.0404423549465954,0.0586215729840026,0,0,0,0,0,0,0,0,0,0.338732196547533,0,0,0,0,0,0,0,0,0,0.0521844171635104,0,0,0,0,0,0,0,-0.0546428213370825,0,0,0,0.0788740084281866,0,0.199207472553821,0.0957756603017331,-0.069337067205696,0,0,0,0,0,0,0,0,0,0,-0.110565035684739
X601328.CH.EQUITY,0,0,0.0161483304023267,0,0,0,0.230654226035404,0,0,0,0,0.238370987087333,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.273766949693496,0,0,0.139796260453006,0,0,0,0,0,0,0,0,0,0,-0.198184384266268,0,0,0,0,0,-0.0443165788495972,0.108416295603739,0,0,0,0,0,0,-0.241994596934312
