,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0959756539646866,0,0.421800708121918,0,0.0461279742266316,0,0,0.236537701406736,0,-5.55111512312578e-17,0.151839707017968,0,0,0,0,0,0.0143774081136457,0,0.0112497779632679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580930347935315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.526529465635509,0,0,0,0,0,-0.111430405886474,0,0,0.0352394148413949,1.38777878078145e-17,0,0.380733357488677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167682382518129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729179555293128,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0147350655436668,0,0,0,0,0,0,0.377698113114843,0,0,0,0,0,0,0,0,0.0511522771723613,0.0497901174913422,0,0,0.0276141655557445,0,0,0,0,0,0,0,0,0,0.0264797842929361,0,0,0,0.077438326590139,0.18149302183794,0,0,0,0.00817291796473271,0,0,0.121461914096077,0,0,0,0,0
X601288.CH.EQUITY,0.335442138186969,0.0827396918518568,0,0,0.396701231047965,0,0,-0.0481318857372072,0,0,0.0425938684660326,0,0,0,0,0.09860238405046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205122904445313,0,0,0,0,0,0,0,0,0,0.032550421464792,0,0,0,0,0,0,0,0,0,0,-0.0188788425350052
X601988.CH.EQUITY,0,0.0529656066422974,0,0.319535944500421,0,0,0,0,0,0,0.183372298795523,0,0,0.0833279609637566,0,0,0,0.202480533843612,0,0,0,0,0,0,0,0,-0.0082968173793278,0.0411561442844353,0,0,0.0791308681650333,0,0,0,0,0,0,0,0,0,0,0.0644365784191311,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.171655247924829,0,0,0.00834646890412564,0,0.551752689391075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426108880374299,0,0.052940180152417,0,0.0791902432763946,0,0,0,0,0.108987387727962,0,0,0,0,0.0567934539182795,0,0,0,0,0,0,0.10428650180919,0,0,0.0654316682706733
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349399085795839,0.0943502151723142,0,0,0,0,0.163944223799802,0,0,0.0716361358619918,-3.46944695195361e-18,0.118643017841024,0,0,0,0,0,0,0.0529595428469787,0,0.139708076362058,0,0,0,0,0,0,0.056318165771887,0,0,0,0,0,0,0.196947992626572,0,0,0
X5.HK.EQUITY,0,0,0,-0.0914279599065185,0,0,0,0,0,0,0,0,0,0,0,0.225033898037355,0,-0.568716636412255,0,0,0,0,0,1.13905896443562,-0.827949468326228,0,0.311390462060774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154849878067437,0,0,0,0,0,0,0,0,0.478073681259944,0.107851893118059,-0.163632652841146
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.146829447866491,0,0,0,0,0,0.173835846907858,0,0,0,0.104830185019319,0.175127614452383,0,0,0,0,0,0.0513119980500154,0,0,0,0,0,0,0.0478026803740264,0,0,0,0,0,0,0.124832560589982,0,0,0,0,0,0,0,0.0608027828681576,0
X601658.CH.Equity,0,0,0,0.343475648793019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394321438539393,0,0,0,0.327635164332514,0.625699263054378,0,0,0,0,0,0.0293874792041306,0,0,0,0,0,-0.107388079817239,0,0,0,0,0,0.124972106805984,0,0,-0.531755421672171,0,0
