,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.126294631414486,0,0,0,0,0,-0.0745072946809094,0,0,0,0,0,0,0,0,0,0,-0.0590786370851188,0,0.00411105586034202,0.233575165172852,0.503697410203777,-0.110238359385417,0,0,0,0.205971578547169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510912126034685
X601318.CH.EQUITY,0,0,0,0.00470266419637649,0,0,0,0,0,-0.0260640557376407,0,0,0.0271502875807491,0,0.0555482392654132,0,0.0160529333055313,0,0.498080314907203,0.0193270911039083,0,0,0,0,0,0,0,0,0.118181992972968,0,0,0,0,0,0,0.0652381735292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.107519066743093,0,0.75544328446409,0,0,0,0,0,0.024693493591307,0.0874618024260401,0,0,0,0.0270302435058346,0,0.0181578851289671,0,0,0,0,0,0,0,0,0,0,0.0580010104096235,0,0.007437009381157,0,0,0,0,0,0,0.0159188783977454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.975092030444331,0,-0.0231545672348562,0.029340389705879,-0.0643985517136006,0,0,0.0197377791860374,0,0,0,0,0,0.00224281536893902,0,0,0,0,0,0,0,0,0,0,0,0.0386938086003082,0,0,0,0,0,0,0,0,0,0,0.0227167223515519,0,-0.0494007954014509,0,0,0,0,0.060084981098846,0,0,0,0,-0.114204092973203,-1.73472347597681e-18
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.027559209746788,0.301708131479555,0,0.268563944959841,0,0,0,0,0,0,0.437181291532872,0,0,0,0,0,0,0,0,-0.0751052243301664,0,0,0,0,0,0,0,0,0.0358070540077014,0,0,0,0,0,0,0,0,0.129207109486633,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.333933809883509,0,0,0,0,0.0775057553631868,0,0,0,0,0,0.0209518389591173,0,0.0309647336049982,0.13808325466661,0,0,0,0,0,0,0,0,0,0,0.1167601122776,0.159357256764483,0.0399704806426824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345814331546578,0,0,0.0551784862757992,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0201370020592057,0.338805844271245,0,0,0,0,0,0,0,0,0,0,0,0,0.285382295512374,-0.0493384579681228,0,0,0.102278826997604,0,0,0.0108384458775899,0.0750441616477077,0,0,0.0693998720557369,0,0,0,0,0.00851267235466993,0,0,0.0447855777649961,0,0.0942284237276229,0,-0.00731608891584291,0,0,0,0.224999924450669,0,0
X601988.CH.EQUITY,0,0,0,0.0644075305556556,0,0.00940829982722467,0,0,-0.0552985164329646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728495787338558,0,0,0,0,0,0,-0.0241203057119147,0,0,0,0,0,0,0,0,0,0,0.000210576341949725,-0.134331446782203,0,0.99951616213339,0,0,0.000791437284860915
X5.HK.EQUITY,0,0,0,0,0,0,-0.0339040148021717,0,0,0,0,0,0,0,0,0,0,0,-0.124043155000338,0,0,0,0,0,0.157740831077083,0,0.378078353299174,0,-0.0275799392483403,0,0,0,0,0,0,0,0,0,0.0345881945672164,0,0,0,0,0.163465395121046,0,0,0,0,0,-0.272531027598702,0.254817910861956,-0.0281949842691497
X388.HK.EQUITY,0,0,0,0,0.222972953945089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127148604740463,0,0.256021590544302,0,0,0.115458537267363,-0.00877310124696259,0,0,0,0,0,0,0.111297827986948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17741791503717,0,0,0,0.281785662958037
X601658.CH.Equity,0,0.0262019108052462,0.303311180509258,-1.73472347597681e-18,0.0491881891427196,0.0135156399014645,0,0,0,0,0,0,0,0,0,0,0.0254925767351725,0.024978191994748,0.17277905490953,0,0,0,0,0,0,0,0,0,0.0878070328995462,0,0,0,0,0,0.0222419127737632,0,0.0204590302734877,0,-0.0614370909504388,0,0,0,0.0554388652116133,0,0.0724688311997699,0,0.0205257300260248,0.0524045977280097,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0290873633055493,0,0,0,-0.0218852946317991,0.0810889286918674,0,0,0.334617217765692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222297444667927,0,-0.0288710873972034,0.0936322583364945,0.0926642090110936,0,0,0,0,0,0.253570597968232,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.0107921794150215,0,0,0,0,0.72698333475474,0,0,0.0395219595630426,0,0,0,-0.0548842547953527,0,0,0,0,0,0,0,0,0,-0.0161924946569474,0,0,0,0,0,0.0555205761208054,0,0,0,0,0.0434965318290538,0,0.0648713789294074,0,0.00843336954212483,0,0,0,0,0,0,-0.0106555376856578,0
