,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.0251296139784281,0,0.11341075447223,0.143265397706467,0,0.327379804063854,0,0,0,0,0,0.128782469923131,0,0,0,0,0.0658919622085517,0,-0.00738970914958035,0,0,0,0,0,0,0,0.174577669897956,0,0,0,0,0,0,0,0.00189733112224639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0949326539449791,0,0,0,0,0.0792399141315537,0,0,0.206071136495206,0,0,0,0,0,0,0,0.114699108943262,0.124797345895247,0,0.0900361474358361,0,0,0,0,0,0,0,0,0,0.0961861122780431,-0.0858051939693741,0,0,0.0708030899510281,0,0,0.154488489496122,0,0.0667792666810694,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183183636145163
X601939.CH.EQUITY,0.0775625247456532,0,0,0.096131919357359,0,0,0,0,0,0,0.3042603752867,0,0,0,0,0,0,0,0,0,0.011593042193051,0,0,0,0,0,-0.111079096745926,-0.0218835550651619,0,0,0,0,0,0,0,0,0.208505222150398,0.0363078567420445,0,0,0.100466767764559,0,0,0.256426290792411,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.343809437556482,0,0.0266041813257331,0,0,0.489633786441107,0,0,0,0,0.0072001633881077,0,0,0,0.0353812014642052,0,0,0.00914161064805616,-0.025616862694049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100450286094807,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.227250331970294,0,0.236045952741509,0,0.0836396437870219,0,0,0.669980776090278,0,0.0580678684946976,0,0,0,0,0,0,0.233894769211594,0,0,0,0,0.083425910270706,-0.502958169917343,0,0,0,0,0,0,0,0,0.189722391570309,0,0.288176473807859,0.00146522792813376,0,0,0,0,0,0,0,0,0,0,0.203199823771369,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0565095621018149,0,0,0,0,0.280588512660118,0.0734057635448439,0,0,0,0,0,0.37215206514838,0,0,0,0,0,0,0,0.0575734734234217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600315551302616,0,0,0,0.0107780064819442,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.158439509901476,0,0,0.256754621159119,0,0,0,0,0,0.138334776525814,0,0,0.0182991700414004,0,0,0,0,0,0,0.0176988177741805,0,6.93889390390723e-18,0.138416277639904,0,0.149510717197881,0.137918650396408,0,0,0,0,0.0443159433333492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0,0.103673635604006,0,0,0,0,0,0,-1.38777878078145e-17,0.406767875699777,0,0,0.186298777091117,0,0,0,0.167867188101789,0,0,0,0,0,0,0.293909266948732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.371672797882212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458796123854834,0,0,0,0.0932022789100459,0,0,0,0.214522104692266,-0.0478414323837469,0,0,0.0147908181943254,0,0.260497686511826,0,0,0,0,0.116952525415018,0,-0.132597105045844,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.0940318329904667,-0.170544456349071,0,0,0,0,0,0.210848425366892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969934218538612,0,-0.139992276861439,0,0,0,0,0,0,0,0.789600985277283,0,0,0,0,0,0.280172017298358,0,-0.292664481156346,0,0,0
