,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.237816910768927,0,0,0.0875578937851905,0,0.239727121712048,0,0,0,0,0,0.128698329749492,0,0,0,0,0,0,0,0,0,0,0,0,0.0383112561943408,0,0,0,0,0,0.0939607275212002,0,0,0.0234635403712686,0,0,0,0,0,0,0,0,0,0.107453659482013,0,0,0,0,0
X601318.CH.EQUITY,0.19208661568676,0,0,0,0,0,0,0,0.269846703229829,0,0,0,0,0,0,0,0.367489428799847,0,0.132182426520972,0,0,0,0,0,0,0,0,0.0311260507976664,0,0,-0.0613300792481567,0,0,0,0,0.0448153734276951,0,0,0,0,0,0.00207738061863832,0,0.0335087884426522,0,0,0,0,0,0.0339849119215692,0,0
X601939.CH.EQUITY,0.0609702675704105,0,0,0.271786378036767,0,0.0510904638940449,0,0,0,0,0,0,0,0.429006888467538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445719264160604,0,0,0.066771907071676,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.352278578961128,0,0.0262682413438221,0,0,0.48809633394957,0,0,0,0,0,0,0,0,0.0301243972948605,0,0,0,0,0,0,-0.0290155507560768,0.0174352096514564,0,0,0,0,-0.000305779139981944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101462187947952,0,0.00344747707406156,0,0
X5.HK.EQUITY,0,0,-0.0936113377128524,0,0,0,0,0.0344210652445366,0,0,0,0,0.00267724621565172,0,0,0,0,0,0,0,0,0,0.426427690829313,0,0,0,0,0.0767865652958475,0.415042730292786,0,0.00607611345782521,0.253580439953405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441427136751566,0.188618317901434,0
X601988.CH.EQUITY,0.372394215877738,0,0.000254108993899773,0,0,0,0,0,0,0,0.0954309575344933,0,0,0,0,-6.93889390390723e-18,0,0,0.0246144816746067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158491828321915,0,0,0,0,0,0,0,0,0,0,0,0.302629369933951,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.220672339225371,0,0,0.26383575530326,-1.38777878078145e-17,0.0680181833226665,0,0,0,0.174481029156324,0,0,0,0,0,0,0,0,0,0,0.00913959972157238,0,0.114280521342236,0,0.07445536686821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0601618292635722,0,0,0,0.470460900065855,0,0,-1.73472347597681e-18,0.122785518184648,0,0.106553985568283,0,0,0,0,0,0,0,0.26941187583575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.227187595685631,0,0,0,0,0,0,0.079841376766972,0,0,0,6.93889390390723e-18,0,-6.93889390390723e-18,0,0,0,0.0549516858783497,0,0,0.068406142658387,0,0,-1.38777878078145e-17,0,0.126455623815268,0,0,0,0,0,0,0.264700077894305,0,0,0.115744827775163,0,-0.14653536851208,0,0,0,0,0,0,0,0,0,0,0,0.135069978793312,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.30457275866619,0,0,0,0,0,0.20544050977385,0,0,-0.241372460385165,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0.0602093189919512,-0.0975556491057212,0,0,0,0,0,-0.0271262663284568,0,0,0.753580370467674,0,0,0,0,0,0.623824974046384,-0.0864349043303181,0,0,0,0
