,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.135072851751607,0,0.0165963090961192,0,0,0,0,0,0,0.27578105444342,0.244712724152908,0,0,0,-0.0878595892686292,0,0,0,0,0,0,0.0202118082786612,0,0,0,0,0,0,0,0,0.0222689776748941,0,0.261118451836083,0,0,0,0,0.0409218397362487,0,0,0.0551892305714706,0,0,0,0.0199031066575464,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.261780472192431,0,0,0.139940885148839,0,0,0,0.0412645032678885,0,0,-0.0311536693065694,-0.130488350261378,0,0,0,0,0,0,0,0,0,0,0,0.187139951957982,0,0,0,0,0,0,-0.312392510181157,0,0.309611827868724,0.0558452477026945,0.267612123900993,0,0,0,0.0217093795517623,0.0823306754957247,0,0,0
X601939.CH.EQUITY,0.492559530464794,0,0,0,0,0.18286086985923,0,0,0,0,0,0,0,0.069168821661133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37293335858026,-0.113394911134136,0,0,0.0443391388694986,0,0,-0.0482317778559472,0,0,0,0,0
X601288.CH.EQUITY,0.612803564914511,0.0831501168666179,0.114567176634275,0,0.0467332266126548,0.0198900602276902,0,0,0,0,0,0,0,0,0.00618594168538124,0,0,0,0,0,0,0,-0.0388421583968913,0,0,0,0,0,0,0,0,0,0.117990701546804,0,0.0353674830632741,0,0,0.0529833370170817,0.180780501661593,0,0,0.0314628331328359,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0141174901576726,-0.0439989637797658,0.115468089970897,0.038264843716946,0,0.069860321166436,0,-0.131286683701802,0,0,0.051540599271938,0.284556215900353,0,0,0,0,0,0.709277218554521,0,0,0,0,0,0,0,0,-0.167118446756382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933671580842066,0,0,0,0,0
X601988.CH.EQUITY,0.133286139421527,-1.73472347597681e-18,0.203880271985944,0.06636902784952,0,0,0,0,0.0773535065393355,0.105227626950353,0.103725909124972,0,-0.277168427356532,0,0,0,0,0,-0.0165025514717467,0,0,0.211767886872367,0,0,0,0,0.163254783531801,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0101021726471305,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0.05957004365171,0,0,0,0,0,0.224915684310945,0,0.166249819855136,0,0,0,0,0,0,0,0.112943472116334,0,0,0,0,0,0.00337646901384587,0,0.143116705597863,0,0,0,0.0371925698529038,0.0988784961937739,0,0,0,0.032001248009536,0,0,0,0,0,0.0377091164867353,0,0,0.0151313828180268,0
X1299.HK.EQUITY,0,0,0,0,0,8.67361737988404e-19,0.183430448941784,0,0,0.0346691593245132,0,-0.0996772097266633,0,-0.0498617996728884,0,0,0.272198798590944,0.262995860340108,0,0,0,0,0.121476151464847,0,0,0,0.137264251193113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17851958103119,0,0
X601628.CH.EQUITY,0.255132510522923,0.354288844092798,0,0.102877850786824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040401046162742,0,0,0,0,0,0,0,0.00960932438778155,1.0842021724855e-19,0,0,0,0,0.0503764542166888,-0.127866407554941,0,0,0,0,0,0,0,0,0,0,0,0.102405118635085,0,-0.253157795764462,0.0993764979186804,0,0.231534842557212
X601166.CH.EQUITY,0.204369420745888,0,0,0,0,0.0107534541294395,0.433415134282038,0,0,0,0,0,0,0,0,0.429286421024227,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0339881408324841,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0.00241598724397213,0,0,0,0,0,0,0,0.058289785034519,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.036049278100421,0,0,0.0483741641398401,0.0995050055361921,0,0,0,0,0,0.243750685526224,0,0,0,0,0,0,0.0334756656148371,0.17121692126096,0,0.134204921337925,-0.140232194200156,0.0831405354130928,0.0615194974951183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141015681331428,0,0,0,0,0,0,0.0332795998464502,0
