,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X11.HK.EQUITY,0,0,0,0,0.139351432645502,0.140849357478395,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0477988080503772,0,0,0,0,0,0.504158691405108,0,0,0,0,0,0,0,0.069774846728993,0,0,0.140724182616476,0,0,0.222197169955883,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170500204946318,0,0,0,0,0.0577200176788954,0,0,0,0.0153384748111258,8.67361737988404e-19,0.601699597561726,0,-0.00370522549920656,0.0621841550340064,0,-0.0581070936199527,0,0,0,0.0141901827680086,0.0496648096125677,0,0,0,0,0.0864824956021304,0
X601601.CH.EQUITY,0.135461534215367,0.130278908705993,0,0,0,0,0.0284549828479166,0,0,0,0,0,0,0,0.0757355070975553,0,0,0,0,0,0.00595845932357467,0,0,0,0,0,0.0594908397873398,0,0,0,0,0,0,0,0,0,0.477918386579348,0,0,0,0,0,0,0,0,0,0,0,0,0.0389247629173203,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0756315668585416,0.217935026341473,0,0.404164300805774,0,0.0971470993714846,0,0,0.126310427457308,0,0,0,0,0,0,0.184239647924997,0,0.123039628471661,0,0,0,0,0.0117337308452787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,-0.0053536461949486,0,0,0,0,0,0,0.00934244477718481,-0.0249201385472117,0,-0.367907337140875,0,0,0,0,0,0,0,0,0,-0.111496157853299,0,0,0,0,0.246968213725492,0.190662885038569,0,0,0,0,0,0,0.33067124067359,0,0.181526935644181,0,0,-0.187534871948762,0.51856796755502,0,0,0,0,0
X2388.HK.EQUITY,0,0.181898807438695,0,0,0.245487360344794,-0.474946682906445,0,0,0,0,0,-0.204055473898145,0,0,0,0,0,0.52861059427971,0,0,0,0,0,0,0,0.222953340616956,0,0,-0.159166553057843,0,0,-0.123028689852729,0,-0.176608739815835,0,0,0,-0.0291628469987716,0,0,0.310099402615452,0,0,0,-0.0860323261378777,0,0,0,-0.0552790178373169,0,0
X600016.CH.EQUITY,0,0,0,0.0755380987008758,0,0,0,0,0,0.0743887339357661,0,0,0.21645556692446,0,0,0,0.107608664179062,0,0,0,0,0,0,0,0.0769051019613667,0,0,0.0430878793741236,0,0,0,0,0,0.0604025001636713,0,0,0,0,0,0.162000724914909,0,0,0,0.195758760257559,0,0,0,0,0,-0.00756282128236879,0
X688.HK.EQUITY,0,0.0442457691213916,0,0,-0.04595260736904,0,0,0,0,0,0,0,0,0,-0.0754904547475828,0,0,0,0.0977371940041765,0,0,0,0,0,0,0,0.392113525310845,0,0.172516168391796,0,-0.190289498595695,0,0,0,0.107607169767568,0,0,0,0,0,0.129542496075194,0,0,0,-0.197888538130788,0.145429370812378,0,0,0,0,0.126738389780484
X601998.CH.EQUITY,0,0,0.056645765897179,0.0163004477757685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583792653478348,0,0,0,0,0,0.299824287279901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074921459174761,0,0.143554457803388,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.123796099725738,0,0,-0.0513663387284049,0,0,0,0,0,0,0.0480451863649997,0,0,0,0.0885858015227527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666834934949138,0,0,0,0,0,0.178581745109575,0,0,0.361759487587852,0,0,0,0.130220662897531,0,0,0,0,0.0414773611651261,0,0,0.0066853368253362
X000001.CH.EQUITY,0,0.0307908811295124,0,0,0,0.0865772120862858,0,0,0.140790017527048,0,0,0,0,0,0,0,0.0822486165833047,0,0,0,0,0,0,0,0,0,0,0.0585128326865738,0,0,0,0,0,0.137896913851027,0,0,0,0,0,0,0.134585687576805,0,0,0.0562046607406045,0,0,0,0.0617818522686839,0,0,0
X2007.HK.EQUITY,0,0.124251611442121,0,-0.115818055502318,0.0589639991330585,0,0,0,0,0,0,0,0,0,0.200281802218561,0.0478897226908318,0,0,0.054484427339789,0.103188417653056,0,0,0,0,0,0,0.0935828494482282,0,0.101708845580928,0,0,0,0.284485616694962,0,0,0,0,-0.04059456208661,0,0,0,0,0,0,-0.210088014874007,0,0,0,0,0,0
X1109.HK.EQUITY,0,-0.0447561673067888,0,0,0.135508564105985,0,0.0940594912599328,0,0.0753023416418578,0,0,0,0,0,0.0113416379888043,-8.67361737988404e-19,0,-6.93889390390723e-18,-0.27402134325665,0,0,0.543559344274588,0,0,0,0,0,0.41057635885518,0,0,0,0.0796812758340604,0,0.0757692676428216,0,0,0,0,0,0,0,0,0,0,-0.121830470436962,0,0,0,0,0,-0.299395928652769
X601818.CH.EQUITY,0,0,0.0522083986217051,0,0.016504669503589,0,0.158110252442087,0,-0.0234548706041215,0.249696088668413,0,0,0,0,-0.0965905804153901,0,0,0,0,0,0.40312703017943,-0.0851642182212262,0,0,0,0,0.129535840942765,0,0,0,0.0399052440773365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229702085800717,-0.0570182058925593,0,0,0
X1113.HK.EQUITY,-0.266186802766979,0.0172932969736663,0,0,0,0,0,0.10662189861349,0,0,0,0,0,0,0,0.122909509500191,0,0,0,0,0,0.00509667703926937,0,0,0,0.15562355491613,0,0,0,0,0,0,0,0,0,0,0,0.099534294080533,0,0,0,0,0,0,-0.0518661602690471,0.273638322639478,0,0,0,0,-0.0487055758408005
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.011215944226951,0,0,0,0,0,0,0,0,0,0,0,0.641549662737873,0,-0.0223927451257491,-0.0309120444161602,0,0,0,0,-0.0124528045642203,0,0.0233713258502778,0,0,0,0,0.0964740479511981,0,0,0,0,0,0,0,0.156404580090803,0,-0.0753598902316514,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.157807359226412,0,0.52539189885669,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,-0.13268874536979,0,0,0,0,0,0,0,0,0,0,0,0,0.284705956913284,0,0.549793346337155,0,0,0.378585546952036,0,0,0,0,0,0,0,0,0.0852313555859075,0,0,0,0,0.0662223263109736
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.246119290853468,0.0499746029865637,0,0,0,0.125975060808326,0,0,0,0,0,0,0,0,0.0410980211413676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352232082560299,0,0,0,0,-0.0209467060147098
X601066.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.166890470655371,-0.300754965893593,-0.0671295974660091,-0.0567374812780995,0,0,0,0.360375780656822,0,0,0,0,0,0,0,0,0,-0.123649121367914,0.179237988694593,0,0,0,0,0,0,0,0,0.0126635890139054,0,0,0,0.386668549084119,0,0,0,0,0,-0.0368165391371741,0,0
X001979.CH.EQUITY,0.159050849053857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329439076790094,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0302038517035719,0,0.0649235053084769,-0.0517717793911358,0,0,0,0,0,0,0.0388682070376733,0,0,0,0,0,-0.0339213537970381,0,0.167872497120798,0.18270186823411,-8.67361737988404e-19,0,0
X600048.CH.EQUITY,0,0,0.252288408655013,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0116457046621854,0,0.137965519763427,0,0,0,0,0,0,0.143440124778263,0.0441129789007614,0,0,0,0,0,0,0,0,0,0,0,0.0645461409868937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195397119943442,-0.146530527357492
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.0906886605923424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499778939489015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197755234474721,0,0.11811514227704,0,0.00199426310799546,0,0,0.259590248975301,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.119709530912658,0.0866136948895627,0,0,0,0.301579179558735,0,0,0,0.0952703969535782,0.0384841776249034,0,0,0,0,0,0.120298359308015,0,0.200937971673294,0,0,0,0,6.93889390390723e-18,0.0727424288734918,0,0,0,0,0,0,0,0,0,0.0307488544241278,0,0,0,0,0,0,0,0,-0.0151278901587521,0.0389924266041682
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0562525636650416,-0.16663230419508,0.46836476448366,0,0,0,0.0799891822711785,-0.0263594360787263,0,0,0.0547198448204337,0,0,0,0.294039076746439,0,0,0,0,0.1448927431145,0.212039320382182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252994353867541,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0239201642394325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582471628066211,0,-0.00598754459965713,0,0,0,0.152613031195327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286289849836067,0
X601229.CH.EQUITY,0,0.0270860859964978,0,0,0,0,0.271138935296291,0,0,0.00136889718941883,0,0,0.364959835533045,0,0,0,0,0.0379462088265888,0.0738837426561677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381371386225619,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0.184939941103708,0,0,0,0,0.237003192518239,0,0,0.0180782363249284,0,0,0,0,0,0,0,0,0,0.197049398626179,0,-0.0145814523865525,0,0,0,0,0,-0.181186741091131,0,0,0,0.103420529067103,0,0,0,0,0,0,0,0,0,0,0.241468853869943,0,0,0
X601169.CH.EQUITY,0,0,0,0.0185931006292337,0,0,0.321154847527139,0,0.0549844008215273,0.115478480162972,0,0,0,0.0552119093993077,0,0,0,0,0,0,0,0,0.143894637984328,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0258461302287654,0,0,0,0.125010785204783,0,0,0,0.128645743279906,0.024102771892068,0,0,0,0,0,0
X000166.CH.EQUITY,0,-0.114481666114207,0,0.0292886225456458,0,0,0,0,0,0,0,0.216233837092813,0,0,0.124602971121366,0,-0.0179248266363401,0,0,0,0,0,0,0,0,0,-0.080930694175996,0,0,0.0901021869647805,-0.0220787229133719,0,0,0,0,0.471361489657526,0,0,0.106452268807639,0,0,0,0,0,0,0,0.251097642894047,0.0628346562283481,0,0,0.0698346649527166
X600015.CH.EQUITY,0.137086129434065,0,0.0235493400653394,0,0,0,0.203184157313317,0,-1.38777878078145e-17,0,0,0,-0.449388387229886,0,0,0,0,0,0,0,0,0,0.469615988004198,0,0,0.00109294277962053,0,0.357069448350144,0,0,0,0,0,0,0,0.129222163815906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154408645668927
X2882.TT.EQUITY,0.228667631410603,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.212419066560056,0,0,-0.0208110560730874,0,0,0,0,0,0,-0.112437269658297,0,-0.186807571510887,0,0,0,-0.031249371424054,0,0,0,0.255763513861411,0,0,0,0,0.114558449714708,0,0.996780663343035,0.107649314558406,0
X17.HK.EQUITY,0,0,0,0,0.193888538042788,0,0,0,0,0,0,0,0,0.195506111672116,6.7762635780344e-21,0,0,-6.7762635780344e-21,0.0261440603454502,0.00772694535671626,0,0.00982694363773467,0,0,0,0,0,0,0,0,0,0.0534409120620567,0.261087752496798,0,0,0,-0.000447684599965793,0.374950829895339,0,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0448242722460763,0,0,0,0,0,0,0,0,0,0,0,0.0258077878482287,0,0,0,0,0,0.326118201196437,0,0,0,0,0,0,0,0,0,0,0,0.032895927867764,-4.33680868994202e-19,0,0,-1.73472347597681e-18,0,0,0.400356915066535,0.07891999486775,0.00963507467533206,0,0,0,0.0881088894358764,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135405550793569,0,0,0,0.0194895099429458,0,0,0,0,0,0.148328447430298,0,0,0,-0.000279246729640127,-0.0269550930453262,0.533845145989516,0,0,0,0,0.0212119558409511,0,0.330447502349162,0,0,0,0,0,0,-0.00891313089386193,0
X2881.TT.EQUITY,0,0,0.122851713904776,0,0.0274406186131292,-0.174601232329088,0,0,0,0,0,0,0,0,0,0,0,-0.0552106463256585,0,0,0,0,0,0,0,-0.0560714447362468,0,0,0,0,-0.208145964966713,0.0200848389854148,0,0,-0.125210389562184,0,0.135918047767217,-0.0603580053816806,0,0,0,0,-0.0121632572604264,-0.00862795040294769,0.88962556691265,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,-0.13156867329444,0,0,0,0,0,0,-0.144998472487655,0.415547468289503,0.150469951835914,-0.124012017977207,0,0,0,-0.239369928927128,0,0,0,0,0,0,0,0,0,0,-0.420132950041217,0,0.395564984206336,0,0,0,0.166558333265591,-0.190581186326562,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
CN2YR,0.225497892844145,0,0,0,-0.208346142558561,0,0,0,0,0,0,0,0,0.00147541651672632,0,0,0,0,0,0,0,0.165605585305235,0,0,0,0,-0.30598477510207,0,-0.00503799889804929,-0.0749496926977493,0,0,0,0,0,0,0.355440285759236,0,0,0.00567063400053133,0,0,0,0.223651750785798,-0.107047663485722,0,0,-0.261759629245215,0,0,0
