,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.276793781292871,0,0.396945647135681,0,0,0,0,0.0195084317847036,0,0.115662217789137,0,0,0,0,0,0,0,0,0,0,0.0524374977461511,-0.0763001640688348,0,0,0,0,0,0,0,0.0221552972325579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787822298909594,0,0.0929450166693524,0
X601939.CH.EQUITY,0.395760844929436,0,0,0.200691022336477,0,0,-0.115703812621395,0,0,0.00720656760321631,0,0,0.20801970696696,-0.0522941372184989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.219315590028848,0,0,-0.0263742166789684,0
X601318.CH.EQUITY,0.0239099001249385,0,0,0,0,0,0,0,0,0,0.256875082890452,0,0,0,0,0,0,0,0,0,0,0.178573242913943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192624115099439,0,0,0,0,0,0,0.0600121912904836,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.286798431586868,0.165503226761881,0,0,0.117814025807717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163984552756907,0,0,0,0,0,0,0.00520937572842596,0,0,0,0.0359931110347471,0,0,0.0272091792435,0,0,0,0.108536088166071,0,0,0.0790225906046934,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0740016133915325,0,0.438067666681668,0,0,0,0,0,0.270428205481796,0,0,0,0,0,0.100070197287444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14711172209941,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0177177721532958
X600036.CH.EQUITY,0,0,0.0351430871785414,0,0,0,0,0,0,0,0,0.371481624957815,0,0,0,0,0,0,0,0,0,0,0.03544999812625,0.0244643090093834,0.124077614794073,0,0,0,0,0,0,0,0.0131113616504476,0.0876362123104178,0,0,0,0,0,0,0.054647650100939,0,0,0,0,0,0,0,0.280636370209183,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.118235181193218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399495801891867,0.203437120815566,0,0,0.0731218884079154,0,0,0.188291112562508,0,0,0,0,0,0,0,0,0,0,0,0.195052332591051,0,0,0,0,0
X5.HK.EQUITY,0,-0.132038586356244,0,-0.16425466845415,0,0,0,0,0,0,0,0,0,-0.0137401638814431,0,0,0,0,0,0,0,0,1.15007770139951,-0.76733487403499,0,0,0.491599468823807,0,0,0,0,0,0,0,0,0,0,0,0,0.462795438149208,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0.100122546327485,0
X601628.CH.EQUITY,0.113562184602329,0,0,0,0,0,0,0,0,0,0,0.123265706203088,0,0,0,0,0.148853473307572,0,0,0,0,0.104420158092205,0,0,0,0.0549949137111919,0,0,0.124958638327673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133330633729778,0,0,0,0,0,0,0,0.0586985872222554,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127834597766143,0,0.264202362893268,0,0,0.400664132398174,-4.33680868994202e-19,0,0,0,0,0,0.129972865668712,0,0,0,0,0.089175087555149,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0
