,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.123308629563704,0,0,0,-0.187597252885939,0.251895841115936,0,0,0.0923298084419715,0,0,0,0.273960924783142,0,0,-0.126315426832145,0,0,0,0,-0.136102391827853,0,-0.194814565369264,0,0,0,-0.223822334541365,0,0,0.823800073690781,0,-0.0511085807802908,-0.0807730861711446,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.139951086018146,0,1.38777878078145e-17,-4.33680868994202e-19,0,-0.01035101562701,0,0.095460043120316,0,0,0,0,0.0875486431144021,0,0,0.0652130140221885,0,0,0,0,0,0,0,0,0,0.0728028748728302,0,0,0.418530528975972,0,0.153671190406779,0,0,0,0,0,0,0.0467065208389871,0,0,0,0,0,0,-0.11215972132316
X601939.CH.EQUITY,0.169151598417934,0,0,0,0,0,0,0,0,0.22917841179729,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.108086108068217,0,0,0,0,0,0,-0.0872686943924716,-0.174842521041304,0,0,0.0916905083007537,0,0.0564684862710114,0,0.496745409452971,0,0,0,0,0.11291031850603,0,0,0,0,0.0759148223002309
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.836101680096461,0,0.139559148198932,0.264176891151342,0,0,0,0.41162839705026,-0.00246821006213389,0.338977243532532,0,0,-0.567311353551019,0,0,0,0,0,0,0,0,0,0,0,0,-0.450226362965399,0,0,0,0,0,0.0649536371402529,0,0,0,0,0,0,0,0.619688405161634,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.147231004417472,0,0.213160567837665,0,0,0.0226996514168548,0,-0.0132990145079896,0,0.103040131362942,0.0569624240058622,0,0.0104337033032261,0.0432988423661628,0,0.0524816083759709,0,0,0,0,0,0,0,0,-0.0278789446979273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117556998843427,0,0,0,0.213003444166154,0,0,0
X601988.CH.EQUITY,-0.0113855749947723,0,0,0,0.53093460392744,0,0,0,0,0,0,0,0,0,0.109263572426187,0,0,0,0,-0.123799807196917,0,-0.120728750054014,0,0,0.215050631545782,0,0,0,0,-0.354397511371204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109727702018342,0,0,0.0325864562766639,0,0
X600036.CH.EQUITY,0,0.0299876412204704,0,0,0,0,0,0,0,0.672715771923772,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.203707632247306,0,0,0,0,0,0,0,0.0621665757264224,-0.0347062294764058,0,0,0,0,-0.181127054631304,0,0,0,0,-0.000278873435021067,0,0,0,0,0,0,0,0,0,0,0,0.0744151673181586
X1299.HK.EQUITY,0,0,0,0,0.149355439262969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154667578500484,0,0,0,0,0,0,0.254254141084395,0.003083965612232,0,0,0,0.13290740318418,0,0,0.0427199085128771,0,0,0,0,0,0,0,0,-0.0977048445344375,-0.0329032169577572,0,0,0,0,0,0,-0.0415878253564731
X601628.CH.EQUITY,0,0.161819764373525,0.0236530125990296,0.0556087230208642,0,0,0,0,0,0,0,0,0,0.164812586494233,0,-0.0873155909238942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056786560653347,0,0,0.25175061850852,0.197905286948693,0,0.034945010499967,0,0,0,0.233213192285471,0.134321495049819,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0777018227092839,0.0854985205273468,0,0,0.611320085934936,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.199003268058514,0,0,0.00168611637162771,0,0,0.217053684815354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311871777917008,0,-0.312054745197646,0,0,-0.0676339988165216,0,-0.13875670541222
