,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,-0.15520372936079,0,0,0,0,0,0,0,1.73472347597681e-18,0.521134962150072,0,0,0.0191752965389927,0,0.0191480008684016,0,0,0,0,0,-0.189524345283769,0,0,0,0,0,0,0,0,0,0,-0.30813547027497,0,0,0,0,0.700486349950613,0,-0.154897238104486,0.0589370228707546,0,0,0,-0.0527184713258937,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.189908417097204,0,0.025821171165003,0.0299465781485741,0,0,0,0,0,0,0.0276655521069854,0.124961719801644,0,0,0,0,0,0,0.0493371761009614,0,0,0,0,0.0991884336765051,0,0,0,0,0,0,0,0.0381879498998911,0.530595557085185,0,0,-0.111002240791635,0,0,0,-0.0331843177473033,0,0,0,0,0
X601939.CH.EQUITY,0.330617418142137,0,0,0,0,0,0,0,0.0285094071408403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181776177803217,0,0,0,0,0.160797297052937,0,0.0594346366458488,0,0,0,-0.18158964045892,0,0,0.360484712866605,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0414377638815918,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.230437500813063,0,0,0,0.0124705769062897,0,0,0.0527281975300944,0,0,0,0,0,0.0589060976650744,0,0,0,0,0,0,0,0.129393911098585,0,0,0,0,0,0,0,0,0,0,0,0.311980934204403,0,0,0,0,0.167051251384846,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0576404916468985,-0.136257374292301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350237627542795,0,0,0.205891210886644,0,0.175162606757129,0,0.309208211263665,0,0,0,0,0,-0.108735766524172,0,0,0,0,0,0,0,0,0,0,0.197296281947823,-0.0768229874167458,0,0,0,0,-0.085986720812088,0,0,0,0
X601988.CH.EQUITY,0.280245176059096,0,0,0.571858453692608,0,0,0,0,0,0,0.0998405421314638,0,0.103744686398404,0,0,0,-0.0773538015315732,0,0,0,0,0,0.00400448435892598,0,0,0,0,0.084255603883535,0,0.0340164185928555,0,0,0,0,0,0,0,0.0140958413350855,0,0,0,0,0,0,0,0,0,0,0,0,0.0462802802972919
X600036.CH.EQUITY,0,0.581308189120552,0,0,0,0,0,0,-0.00487722555230304,0,0,0,-0.0882588362685785,-0.141445347988437,0,0,0,0,0,0,0,0,0,0,0,0.255165728273596,0,-0.125898079950849,0,0,0.0201943632987126,0,0,0,0,0,0,0,0,0,0.172371885155706,0,0,0,0,0.132206155252423,0,0,0,0,0
X1299.HK.EQUITY,0,0.168189492704897,0,0,0,0,0,0,0,0,-0.169791956300416,0,0,0,0,0.258022367254112,0,-0.122277583906169,0.0645741714952756,0,0,0.14356790465255,0,0,0.357700018561398,0.0368142952958954,0,-0.0248430449944895,0,0,0,0,0,0,0,0,0,0.145539941645258,0,-0.133424908180262,0,0,0,0,0,0,0.0566946492844207,0,0,0,-0.126673825772172
X601628.CH.EQUITY,0,0.177612083347691,0,0,0,0,0,0,0,0,0,0,0.0261460920171707,0.272815286167374,0,0,0,0,0.00375032476088287,0,0,0,0,0,0.105875262947644,0,0,0,0,-0.0403197506209389,0,0,0,0,0,0,0.0211156000029529,0,0.172903897070568,-0.0554096362832697,0,0,0,0,0,0,0,0,0.117716369470617,0,-0.00473869446048419
X601328.CH.EQUITY,0,0.134138339045593,0.157493718358523,0.371366275882704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329470380364005,0,0,0.00114460839971313,0.0188481775690482,0,0.0195733499436874,0,0,0.272812058135625,0,0,-0.0200127447544827,0,-0.0843250848305079,-0.112651208000979,0,0,0,0,0,0,0,0,0,0.0573158598011204,0,0,0,0,-0.0190481230554076,0,-0.298536383307494
