,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601319.CH.EQUITY,0,0,0,0,0,0,0.0454609793169681,-0.510331724828602,0,0,0,0,0.214064226182214,0,0.131585092310729,0,0,0,0,0,0,0,0,0.584861128631096,0,0,0.277496615974026,0,0,0,0,0,0,0,0.257613834572994,0,0.0214808126166933,0,0,0,0,0,-0.291035795810882,0,0,0,0,0,0,0,0.226901073550555
X600000.CH.EQUITY,0,0,0.216632930764936,0,0.126033291254708,0,0.0406331871101319,0,0,0,0.501492559649695,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.084598227187008,0,0,0,0,0,0,0,0.115648103457701,0,0,0,0,-0.139192855741864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0253234459991082,0.208648012633972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786984150542004,0,0,0,0,0,0.155558950132415,0,0,0,0.554694719022179,0,0,0,0,0,0,0,0.181931524844649,0,0,0,0,0,0,0.109709149088701,0.159333123305089,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0485658957995218,0,0,0,0,-0.251495264395507,0,0,0,0,0,0,0,0,-0.075954251436224,0,0.07312645998831,0,0.25145005599777,0.246965457338475,0,0.164417634483524,0,0,0,0.583896557456681,0,0,0,0,0,0,0,0,0,-0.136288644303726,0,0,0,-0.0560459879100951
X000002.CH.EQUITY,0,0,0,0,0,0.0233307378295962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155580596159593,0,0,0,0.532158620669715,0,0,0,0.0322300678440343,0,0.161977661775412,-0.0159746979945042,0,0,0.0202110377623423,0.0246880432354778,0,0,0,0,0,0.0893073621235013,0
X601601.CH.EQUITY,0.0615446948538107,0.102203322895739,0,0,0,0,0.0484027399406544,0,0.145569429551092,0,0.0785141437801446,0,0,0.0548170846698421,0,0,0,0,0,0,0,0,0,0,0.0143864588586702,0,0,0,0,0,0,0,0,0,0,0,0,0.308361118173389,0,0,0,0,0,0,0,0,0,0,0,0.0145169138447712,0
X388.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0.393301314083045,0.234239862326403,0,0,0,0.300866232549357,0,0,0,0,0,0.156150636494097,0,0,0,0,0,0,0,0.0831768904977206,0,0.0180626272624841,0.0820459033928427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.408138527814526,0,0,0,0,0,0,0,0,0,0,0,0.717302405743666,0,0.0101875419399508,0,0,0,0,0,0.409050111340396,0,0,-0.162216038015676,-0.214007686730025,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0531635789587514,0,0.0339426897634636,-0.0173344482540505,0,0.0388689845088375,0,0.0545874131583069
X267.HK.EQUITY,0,0,0,0,0.0636553993331214,0,0,0,0,0,0,0,0,-0.0100350494780116,0,0,-0.467666629270191,0,0,0,0,0,0,0,0,0,0,0,0,0.188194401331623,0,0,0,0,0.243907617862749,0,0.125910180721591,0,0,0.305708207585073,0.178173401381472,0,0,-0.292421132185946,0,0.38494954613072,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0.187902798172964,0,0,0,0,0,0,0,0,0,0,0,0,0.0945678478127477,0,0,0,0,0,0,0.312569297288526,0,0,0,-0.135239807353893,0,0.0676351787632307,0,0,0,0,0,0,0,0,0.0386734694181135,0,0,0,0.021155260434024,0,0,0,0,0.0200682422263831
