,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600999.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.227923398314005,0,0,0,0.356601265778685,0,0.00489395081220554,0,0.0153802961041003,0,0,0,0,0,0,0,0,0,0,0,0,0.260281233871969,0.0270608479901036,0,0,0,0,0,0,0.0885977243980026,0,0.0710569604681396,0,0,0,0,0,0,0,0,0,0,0,0,-0.100459172569302,0,0.0231257336395276,0,0
X601318.CH.EQUITY,0,0,0,0.0791728745680498,0,0,0,0,0.176638947082163,0,0.00527189161946751,0,0.0880368650393753,0.117944643341155,0,0,0,0,0,0.309209222933181,0,0.0607117163024391,0,0,0,0.114561626385394,0,0,0,0,0,0.0504129023706733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661233313042813,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.185150135725266,0,0,0,0,0,-0.0537559197053292,0.13977683395496,0,0,0,0.125631450118459,0,0.0760278050726468,0,0,0,0,0,0,0,0.424737061365486,0,0.0823684513434011,0,0,0,0,0,0,0,0,0,-0.137275151112212,0,0,0,-0.0300984859279894,0,0,0,0,0,0,0,0,0.0313006606726193
X601939.CH.EQUITY,0.51404003504997,0.0974058358190832,4.33680868994202e-19,0,0,0,0,0,0.134954891683049,0,0.165164290282368,0,0,0,0,0,0.0100724284829421,0.117352399105089,0.0601347997545797,0,0,0,0,0,0,0,0,0,0.18633537775975,0,0,0,0.047130948472999,0,0,0,0,0,0.0644747676133627,-0.0901463363743427,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0364859863311641,0,0.129733359761201,0,0,0.0295450450671612,0.468106692295441,0,-0.0215878654866592,0,0,0,0,0,0,0,0,0.0450505006063054,0,0,0,0.0615063067745003,0,0.0205925221963978,0,0,0,0.0108225729003277,0,0,0,0.0100284768935496,0,0,-0.0503850163727163,0,0,0,0,0,0,0,0,0.130574786416218,0,-3.46944695195361e-18,0.0671940355330647,0,0,0,-0.0656492676678338
X1299.HK.EQUITY,0,0,0,0,-0.082554592204792,0,0,-0.0512909293049279,0,0.184431072826427,0,0,0,0,0.0706825276492919,0,0,0,0,0,0,0,0.125127313344766,0,0,0,0,0,0,0,0,0,0.0953911433137515,0,0.0179837244004484,0,0,-8.67361737988404e-19,6.00135042048095e-05,0.162161254811987,0.156074488107795,0,0.0924084750714664,0,0,0,0,0.293419129469149,0,0,-0.117061636301096,0
X601628.CH.EQUITY,0,0,-0.0213834612673357,0,0,0,0,0,0,0.200881867192148,0,0,0,0,0.0795370773996836,0,-0.0530503741250525,0,0,0,-0.0609890179776785,0,0.173526071088544,-0.068446241426497,0,0,0,0,0,-0.0196790053005957,0,0,0,0.0440756482980053,0,0,0,0.355652144871499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0433025538110412,0,0,0,0.46221092365301,0,0.0298574093736596,0,0,0,0,0.051313874895877,-0.0285875147828683,0,0,0,0,0.184221966669099,0,0,0,0,0,0,0.0284893480669073,0,0,0,0,0,0,0,-0.117699239728539,0,0,0,0,0,0,0.112523381005286,0,0,0,0,-0.0347273329174918,0.145511503349572,0,0,0,0,0,-0.0750781760025468
X5.HK.EQUITY,0,0.153240747570854,0,0,0,0,0,0,0,-0.150077127845727,0.0661223038148129,0.0937075854256592,0,0,0,0,0,0,0,0,0,0,0.183773488615841,0.00924918308881461,0,0,0,0.159805557724516,0,0.0498766743556044,0,0,0.10360189083,0,0,0,0,0,0.262053090202767,0,0,0,0.136851879403002,0,0,0,0.0552502965033923,0,0,0,0,-0.0794966994405285
X388.HK.EQUITY,0,0,-0.105223677668452,0,0,0.0395698692994269,-0.132384046010022,0,-0.207981858148026,0,0,0,0,0,0,0,0,0,0,0,0,0.141050986680556,0,0,0.0363597838398808,0,0,0,0,0,0,0,-0.162950301154184,0,0,0,0,0.216208115767109,0,0,0,0,0,0.244769897585926,0,0.028919117060541,0,0.0730790603801178,0,0,0.0879150955016602,0
