,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.420971214516688,0,0,0.366119686615857,0,0,0,0.220101417639231,0,0,0,0,-0.060537021555651,0,-0.0784248658477825,0.0575987686620812,0,-0.00486595116766894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221156767659446,0,0,0,0,0,0,0,0,0,-0.0924679646762486,0,-0.0244657931452252,-0.258876486097659,0,-0.0414983021930291
X601318.CH.EQUITY,0,0,0,0,0,0,0.135464837153106,0.0870001564501401,0.068122187299834,0,0.0955231625400142,0,0,0.119709396596294,0,0,0.232189210052369,0,0,-0.202141133541442,0,0,0.0651108475907191,0,0,0,0,0,0,0,0,0,0,0.00618571880713898,0,2.16840434497101e-19,0,0,0,0.344809122124805,-0.0449130792346859,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.140078379882689,0,0,0,0,0,0,0,0,0.0767611089598943,0,0,0,0,0,0,0,0,0,0,0.132702715315809,0,0,0,0,0.417371111376631,0,0,0,0,0,0,0,0.0609199958267651,0.0873657381113497,0,0,0,0.0153061305198908,0,0,0,0,0.00931784659691951,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0585772119219229,0.0452980957015794,0,0,0,0.0908129649920744,0,0,0,0.0961463427847407,0,0,0,0,0,0,0,0,0,0,0.0933416979471484,0,0,0,0,0.0615250478896846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174522062159229,0,0,0,0.288469998700542,0,0,0,0.00796098687193961,0,0,0
X5.HK.EQUITY,0,-0.0793652724584457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250182224739848,0,0.129050830296454,0.227067053740161,0,0,0,0.433562290730962,0,0,0,0,-0.0447520598867051,-0.310965862669399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111279682806824,0,-0.124479693896799,-0.0256239896121197,0.13574996991311,0
X601988.CH.EQUITY,0.190836353360784,0,0,0.402809075184166,0,0,0,0,0,0.0256404285857589,0.123228379511797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00816008070729573,0,0.172519297791922,-0.00200889524675383,0,0,0,-0.0750165941069557,0,0.0398502681291335,0,0,0,0,0,0.0361423682534327,0,0,0,0,0.0169176808873886,0,0,0.0156296499374442,0,0,0.145005153049416
X600036.CH.EQUITY,0,0.278113117651913,0,0,0,0,0,0,0,0,0,0.126611065187559,0,0.0553616120382519,0,0,0.0160311557025172,0,0,0.0319448685288842,0,0,0,0,0,0,-0.0513614640017633,0,-0.0178996616474143,0,0,0.228006897056182,0,0.117554828763217,-0.17892302638488,0.0433635966079947,0,0,0,0.206166252000648,0,0,0,0,0,0,0,0,0,0.20472126417655,0
X1299.HK.EQUITY,0,0.0232687060004711,0,0,0,0,0,0,0,0,0,0,0,-0.0835450579282483,3.46944695195361e-18,0,0,0.29692378141433,0,0.145246042417097,0.302999640381967,0,6.93889390390723e-18,0.215698331182815,0,0,0,0.0387712559974228,0,0,0,0,0,0,0,0,0,0,-0.126637777856633,0,0,0,0,0,0,0,0,0,0,0,-0.18812467463627
X601628.CH.EQUITY,0,0.232937840383566,0,0,0,0,0,0,0,0,0.0407133380922694,0,0,0,0,0,0.158660068429896,0,0,0,0.0422053775886526,0,0,0.130501347645008,0,0,0,0,-0.0111599131927759,0,0,0,0,0,0,0,0,0.16890966884805,0,0.0694488282083426,0,0,0,0,0,0,0,0,0,0.0568718417980243,0
X601328.CH.EQUITY,0.0733061152124722,0,0.0842255793722758,0.0485297946964792,0.0584089692464341,0.270916693404358,0,0,0,0,0,0,0,0,0,0.0135245879863152,0,0,0.0382825480757961,0,0,0.209366629148556,0,0,0.0169614704667648,0,0,0.0573069743763067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055308418196446,0.0832121454944924,0,0.116230692003158,0,0,0.0215267795290326,0
