,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.14608003718654,0,0.086228462224314,0,0,0,-0.050239680913602,0,0,0,0.413314072982266,0,0,0,-0.0993234445030701,0,0,0,0,0,0,0,0,0,0,0,0,0.124252073705944,0,0,0,0,0,0,0,0,0.169167961183363,0,0,0,0,0.121571339619364,0,0,0,0.0239859731300027,-0.0454109595066342,0,0,0,0.0457038281015687
X601318.CH.EQUITY,0,0,0,0,0,0.132559394196043,0,0,0.125691998003682,0,0.0901353916578434,0,0.0570545046007138,-0.110114914403577,0.102213513983089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960964888726192,0,0,0,-0.204880250296071,0.169219545198023,0,0.137481731940965,0.12161564919861,0,0,0,0,0,0.280053200126532,0,0
X601939.CH.EQUITY,0.320231793328258,-0.00991797994510973,0,0.205356203083008,0,0.190063143037701,0,0,0,0,0,0,0,0,0.157937468891276,0.041507002152633,0,0,0,0,0,0,0,0,0.0504274847270424,-0.10161173599784,0,0,0,0,0,-0.0376824984809979,0,0,0,0,0,-0.0779663639323507,0,0.322139173196107,0,0,0,0.00733671083518154,0,0,0,0,0,0.0272314673583027,0,0
X601288.CH.EQUITY,0.424948021634393,0,0.141107869068289,0,1.73472347597681e-18,0.186227224885935,0,0,0.0410966990857379,0,0,0,0,0,0,-0.0882835736050741,0.0469740847597282,0,0,0,0,0,-0.0321225230378061,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.164683598324567,0,0,0,0,0,0,0,0,0.204714259277333,0,0,0
X5.HK.EQUITY,0,-0.128677501952557,0.0399172136767088,0.296600124648464,0,0,0,-0.253738126536431,0,0,0,0,0.164326645139064,0,0,0,0,0,0,0,0.535803177568986,0,0,0,0,0.281603549237068,0,-0.02418734040429,0,0,0,0,0,0.0245926484852637,0,0,0,0,0,0,0,0,0,0,0,0,0.210469213323522,0,-0.0792533468892452,0,0,0
X601988.CH.EQUITY,0.215789183527815,0.00780902244963963,0.246805876603087,0.0354796955878535,0,0,0,0,0.0793442868447099,0,0.0726000457716006,0,0,-0.267209111992475,0,0,0,0,0,0,0,0,0.0572504247904965,0,0.19049179953514,0,0,0.157309875828386,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.131248517685007,0,0,0,0,0,0,0,0.0852533191357422
X600036.CH.EQUITY,0,0,0,0,0.111900241567955,-0.0522514224484194,0,0.2611043608484,0,-0.0419525732077332,0.0109440454238879,0,0.345786395635985,0,0.246111250580021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773318333764721,0,0,0,0.0846568825670465,0,0,0.140516384351965,0,0,0.0388022902440831,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0744655292140441,0,0,0,0.233788980472989,0,0,0,-0.162899720489768,0,0,0,0,0,0.443631901889535,0,0.0829677793223776,0,0,0,0,0.239578576104383,0,0.0562103712938902,-0.114255300843615,0,0,0,0,0,0,0,0,0,0,0.0414426287061139,0,0,0,-0.0197848307914982,0,0,0,0,0,0
X601628.CH.EQUITY,0.202034809095176,0.317924561860987,0,0,0.0120048527281657,0.0361485492814452,0,0,0,0.0375583234848017,0,0,0,0,0,0,0,0,0.0705559829165561,0,-0.12105958465009,0,0,0,0,0,0,0.0209955472127323,0,0,0,0,0,0,0,0,0,-0.167915481388541,0,0,0,0.0752769581884937,0.151046558601557,0,0,0,0.104632767708278,0,0,-0.107428980363349,0,0.104877872843248
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437657479838662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
