,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0455894186296331,0.565337555729777,0.0385771355211354,0,0,0.11168112317887,0,0,0,0,0,0.16329978575305,0,-0.0371891923025358,0,0.0901534417463692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249837407115892,0,0,0,-0.0327147127129372,0,0,0,0,0,0,0,0.00128139993754351,0,0,0,0,0,0,0,0.0786919300590597
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0400031714719994,0.318047885985751,0,0,0,0,0,0,0,0.288867664599425,0,0.0787994864726766,0,0.0654922530116646,0,0,0,0,0.119113050806561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462898031331089,0,0.00990444468368278,0,0,0,0.0348535796794826,0,0,-2.71050543121376e-20,0,0
X601939.CH.EQUITY,0.104701992468138,0,0,0.518189824747905,0,0.0764748591919314,0,0,0,0.0349694718544359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062492272770071,0,0,0,0,0.107321944828488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219003792742173,0,0.00788367906204909,0.018142126641201
X601288.CH.EQUITY,0,0,0.223047923820324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214248979678067,0,0,0.149256377332879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237613910704807,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0638164512803732,0,0,0.225711336007839,0,0.238349939619162,0,0,0,0,0,0.157519218680609,0,0,-0.020786444240972,0,0.204089962066192,0,-0.278417810500165,0,0,0,0,0.0352464864652295,0,0,-0.0548689068215604,0,0,-0.0217947092052911,0,0.180881895435652,0,0,0,0,0,0.16816560053983,0,0,0,0,0,0,0,0.17776978227594,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.215035252334178,0,0,0.233537896246362,0.0999483986519632,0.251827398354312,0,0.0917317227099814,0,0,0,0,0,0,0,0,0,0,0,0,0.0237404238374698,0,0,0,0,-0.144572038484359,0,0,0,0,0,0,0,0,0,0,0,0.168016300270742,0,0,0,0,0,-0.104512087902577,0,0.02905453663499,0.0888012718716238
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427922959956291,0,0,0,0,0.0543112295597483,-0.0255033761489528,0,0,0,0,0,0.780237889942136,0,0,-4.33680868994202e-19,0,0,0.160182990974619,0,0,0,0,0,0,0,0,0,0,0,0.0973059549313327,-0.0844460765079597,0.0762102586960349,0,-0.00454649570016643,0.0533895786326663,0,0,0.0671222186311825
X1299.HK.EQUITY,0,0,0,0,0.275985951736802,0,0,0,0,0,0,0,0.0514499919285221,0,0,0,0,0.083904485002728,0,0,0,0,0,0,0,0,0.0727550077660057,0,0.225970143906046,0,0,0.266974660471948,0,0.00993464901138585,0,0,0,0,0,0,0,0,0,0,-0.072994039348205,0.0221004029522409,0,0,0,0,0
X601628.CH.EQUITY,0,0.0902272788990242,0,0.0946991634789548,0,0,0,0,0,0,0,0,0,0,0,0,0.0803442746988919,0,0,0,0,0,0,0,0.153330465337822,0,0,0,0,0,0,0,0,0,0,0,0.10496449994234,0.33853459370205,0,0,0.0760103763559629,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.163965455715503,0,0.245951064404279,0.0548639111181288,0,0,0,0,0,0,0,0,0,0.390097897900142,0,0,0,0,0,0,0,0.0627498256616059,0.0162461824760431,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.01065629831496,-4.33680868994202e-19,0,0.200370347954413,0,0,0,0,0.0478263586174487,0,0,0
X601166.CH.EQUITY,0,0,0.345007060135277,0,0,0,0.130456979582334,0,0,-2.71050543121376e-20,0,0,0,0.22713944542018,0,0.044527346334471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756771395630898,0.0167309066576329,0,0,0,0,0,0,0,0,0.0093264797306602,0,0,0,0,0,0,0,0.018297724016552,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.0116329168089959,-0.520100679179993,0,0,0,0,0,0.279691056248121,0,0,0,0,0,0.115644713849678,0,0,0,0.190018876447797,0,0.0551516814719595,0.314675444366839,0,0,0,0,0,0,0.0518799513026268,0.341626146895706,0,0.262017444175659,0,0,0,0,0,-0.304937484214129,0,0,0,0,0,0,0,0.227363322460143
X11.HK.EQUITY,0,0,0,0,0.141143805613919,0.164050346401269,0,-0.101714836717456,0,0,0,0,0,0,0,0,0.0939946897685324,0,0.0102516368887888,0.121462375141806,0,0,0,0,0.13130726368243,0.115286834552382,0,-0.19613012790868,0,0.459621756191203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181720223473848,0,0.249904736934129,0,0.112781637256859,0,0,0
X600000.CH.EQUITY,0,0,0.108662413022213,0,0.227603043646838,0,0,0,0,0,0.320364874661702,0,0,0,0,0,0,0,0,0,0.0193118797915437,0,0,0,0,0,0,0,0.264378014797978,0,0,0,0,0,-0.103414838435175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
