,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601166.CH.EQUITY,0,0.125047353576549,0,0.0668199932573693,0.0504738524042121,0,0,0,0,0,0.0098169662345277,0,0,0,0.467502234092092,0,0.0111147217449855,0,0.11103065386745,0,0,0,0,0.0386241745919137,0,0,0,0.0117249777373139,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114428744753984,0,0,0,0,0,0,0,0,-0.00279453049205738,0
X601328.CH.EQUITY,0.264598306136247,0,0,0.181772464435981,0,0,0,0,0,-0.00323789269405793,0,0.0663750916316313,0,0,0.036445193209131,0,0,0,0,0,0.330709606736886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987363144828657,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0356519791665502,0,0,0,-0.0156916115488919,0.0462065744681203,0,0
X600000.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0.0516981223227687,0.00737910960115735,0.0423259813410404,0.00711346916483767,0,0,0.610437473103034,0,0,0,0,0,0,0,0.0802291627073617,0,0,0,0,0,0,0.0109033439753539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,-0.0121711922850026,0,0,0.0230720334184585,0,0,0.383978515261316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575170309929307,0,0,0.201437188144597,0,0,0,-0.0355935605968813,0,0.186158333359936,0,0,0,0,0,0,0,0.00782108334361298,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0209624846804477,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130862331597954,0,0,0,0,0.104776195085443,0,0.00488662033502652,0,0,0,0.192144264129193,0,0.0871990451562681,0.202937472563306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153743645229805,0.0836670833162979,0,-0.0232041496493859
X601319.CH.EQUITY,0,0,0,0.249652948402758,0,0,0,0,0,0,0,0,0,0,0,0,0.0754885252795794,0,0,0.0840819704283179,-0.0235103800800038,-0.0229648881244443,0,0.0040061713846288,0,-0.00821821043550335,0,0,0,0,0,0,0.041583260655412,0,0,0,0,0,0,0,0.294523142101558,0,0,0.0642842188471967,0,0.258983660721491,0,0,-0.0447732054533954,0,-0.0538955935304558,-0.0468819968968372
X000001.CH.EQUITY,0,0.112426232757301,0,0,0.193512090212206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18348442255082,0,0,0,0.0506858737635653,0,0,0,0,0,0,0,0,0,0.273744712984306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676621831478972,0,0,0.0889852488077474,0
X601601.CH.EQUITY,0,0.860189048779101,0,0,0,0,0,0,0,0.0139325763134803,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0825890501061645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771937602467139,0,0.143260476367314,-0.0724255273980515,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0977649461683623,0.105829988543282,0,0,0,0,0,-4.33680868994202e-19,0,0,0.267739642936173,0.0525454633381496,0,0,0,0,0,0,0.206982865903387,0,0.0161030839952302,0,0,0,0,0.00341836502216727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109830183057431,0,0,0,0,0.0651267745534616,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.133461981032538,0,0,0,0,0,0,0,0,0,0,0,0,0.154953110102165,0,0,0,3.46944695195361e-18,0,0,0,0.158839445272552,0,0.0605771497290673,0,0,0,0,0,0,0,0,-0.264107008507756,0,0,0.428790058230932,0,0,0,0,0.311364668872006,0.0450526342455119,0,-0.0673573116944035,0
