,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.027370672396856,0,0.0366833921284673,0,0,0,0,0,0,0,0.406184009162616,0,0,0,-0.0568755927879503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563690756336427,0,0,0,0.135788211827341,0,0,0,0.151461914134752,0,0,0,0,0.0312134368995238,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0835723486555286,0,0.22045957591211,0,0,0.139779500648637,0,0.154806520270773,0,0,-0.0702343130982529,0.0321576090972147,0.115771372085338,0,0,-0.00548040810828371,0,0,0,-0.0954256073906528,0,0,0,0,0,0,0,0,0,0,0,0.145038940095381,0,0,0,0,0.363783350316856,-0.204906663730652,0,0.30740800751613,0,0.127894922716995,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328069180619636,0,0,0.257895812589213,0,0.134008501084623,0,0,0,0,0,-3.46944695195361e-18,0,0,0.122397385163533,0,0,0,0,0,0,0,0.0772783845303574,0,0,-0.0653018755124138,0,0,0,0,0,-0.0251952884722227,0,0,0,0,0,0,-0.100002967537345,0,0.369776781286121,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.263433616253924,0,0.226365262525254,0,0.126810052847801,0.284143658721767,0,0,0,-0.16415872145006,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0894682607000184,0,0,0,-0.172289819742186,0,0,0,-0.0222228958376326,0,0,0,0,0,0,0,0,0,0,0,0,0.151192765759147,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0434811374146994,0.204031330968166,0,0.148169938251184,0,-0.376628504361885,0,0,0,0,0.0643790029669226,0,0,0,0,0,0,0,0,0.387781585286466,0,0,0,0.456035093115179,0,0,0,0,0,0,0.0705155348224955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188728991470452,-0.085201653760472,0,0,0
X601988.CH.EQUITY,0.224980242726052,0.0840994181918941,0.325990996858538,0,0,0,0,0,0.114315894599716,0,0,0.14483942810474,0,-0.222100893631149,0,0,0,0,-0.109369002408426,0,0,0,0,0.140923212085284,0.0799777271929361,0,0.134635153757952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320797428465951,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0193296408698942,-0.011635625713731,0,0.0960601800222597,0,-0.0252878877341158,0.0284186738119874,0,0.318234599719104,0,0.26541904779289,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0531368534096797,0.0697929856934888,0,0,0.0757444324620895,0,0,0.091033181666289,0,0,0,0.114090246904571,0,0,0,0,0,0,0.0634405417642839,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0434184428405175,0,0,-0.0134323797309665,0,0.0177994959880079,0,0,0,0.336615163921342,0,0.109738868117652,0,0,0,0,0.152234370645629,0,0,0,0,0,0,0,0,0,0,0,0.0204862338016822,0,0,0,0.125221801239619,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0301252128727799,0.284499452334842,0,0,0.13766074444499,0.115895983240714,0,0,0,0,0,0,0,0,0,0.021904505858376,0,0,0.127681533002702,0,0,-0.146427164128188,0,0,0,0,0.147486436822941,0,0,0,-0.146995616717197,0,0,0,0,0,0,0,-0.153216102238519,0,0,0,0.0933501729574436,0,0,0,0,0.0662096078325053,0,0,0,0.127046965305612
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190710531863081,0,-0.138068863813298,-0.0575149424810328,0,0,0,0,0,0,0,0.244400287667594,0,0,0,0,0,0.0943682028563758,0,0,0,0,0,0.384708864819667,0,0,-0.15837315155033,0,0,0,0,0,0,0,-0.0556248629710709,0,-0.247003585589773,0,0
X601166.CH.EQUITY,0,0,0.114906694219089,0,0,0,0.524272021539863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522357837632467,0,0,0,0,0,0,0,0.0222918205010311,0,0,0,0,0,0,0,0,0,0,0,0,0.0819144590725989,0,0,0.0164282638262108,0.12632779158132,0,0.0139138917672667,0,0,0,0
