,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.155118589734025,-1.38777878078145e-17,0,3.46944695195361e-18,0,0,0,-0.0305662327389106,0,0,0,0,0,0,0,0,0,0,0,0,0.0382121335284293,0.358192780975274,0.304099214590582,0,0.192635786969042,-0.195956161947237,0,-0.0445337661186667,0,0.016007273125337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.218901535696039,0,0,0,-0.086875327488671,0,0,1.38777878078145e-17,0.000738285012812034,0,0,0,0.0530096641478449,0,0,0,0,0,0,0,0,0,0,0,0.0792018578695615,0.194605295087509,0.0355470526698299,0,0,0,0.225212219226999,0,0.11548357003363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294907599559251
X601939.CH.EQUITY,0,0,0,0.802140151329178,0,0,0,0,0,8.67361737988404e-19,0.000991961132550344,0,-0.0393835499834844,0,0,0.0418737089278105,0,0.118037239909419,0.0502755404829171,0,0,0,0,0,0,0.0363221099312956,0,0,0,0,0,0,0,0,0,0,0,0.0453324953548354,0,0,0,0,0,0,0,0,0.00492339652091994,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.913968972267622,0,-0.0865537628878029,0,0,0,0,0,0,0,0,0,0,0,0.0214746806060372,0,0.160263615309253,0,0,0,0,0,0,0.0226785976722076,0,0,0,0,0,0,0,0,0,0,0,0,0.00706468804297049,-0.0506561553746042,0,3.46944695195361e-18,-0.0793245961784196,0,0,0.0409525838997406,0,0,0,0,-0.0458064936605793,0
X601628.CH.EQUITY,0.0115536116966639,0,0,0,0,0,0,0,0,0.301111076907487,0,0.214834174071627,0,0,0,0,0,0,0,0.0404341339992177,0,0,0,0,0,-0.0118499662574937,0,0,0,0,0,0,0,0,0,0,0,0.51795032650461,0,0,0,0,0,0,0,0,0.20981597724986,0,0,0,0,0.121192710241175
X600036.CH.EQUITY,0,0,0.323486437282912,0.0828129963683449,0,0,0,0,0.0698248074738057,-0.0088277774419383,0,0,0,0,0,0.0866964016893443,0,0.103731622921945,0,1.73472347597681e-18,0,0,0,0,0,0.0432423815700547,0.0245991196082744,0,0,0,0.104251879055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0152394354353221,-0.153748327703542,0.0603748526872794,0,0.0659063417168388,0,0,0,0,0,0,0,0,-9.6739635697958e-05,0,0,0,-0.0572308488993694,0,-0.0168408004610998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102127114749454,0,0,0,0,0,0,1.05283819956934,0.012729160834319,0
X1299.HK.EQUITY,0,0,0,0,0.0368019996453812,0,0,0,0.0188017086247245,0.156677477358393,0,0,0.0845358957020968,0,0,0,0,0,0,0,0,0,0.21487249946163,0,-0.14647615968921,0.0598294380696717,0,0,0,0.266290252603843,0,0.180329416097267,0,0,0,0,0,0,0,0,0.120450601051963,0,0,0,-0.056063078809614,0,0.1668169602699,0,0.0712264115968197,0,0,0.0374417755077254
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190948336647941,0,4.33680868994202e-19,0,0,0,0,0.224553082279302,0,-0.0557947351248234,0.480416747135432,0,0,0,0,0,0,0,0,-0.0459860520239146,0.0480116694227133,0,0,0,0,0.0348904767489706,0.0563756900288565,0,-0.118036254224688,0,0.0468640226882309,0,0.101238896346698,0
X388.HK.EQUITY,0,0,0,0,0.148856442188634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329517172700264,0,0,0,0,0.202314595428448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154349469748852,0,0,-0.232398794724482,0,0,0.261390568113132
