,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.363151658088624,0,0,0.0971328010945219,0,0.314046264068437,0,5.55111512312578e-17,0.106707146626616,0,0,0,0,0,0.0904349161810668,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0152540728535027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.421350267713847,0,0,0.0415378890216618,0,0,0,-0.11395361333312,0,0.046873692048954,0,0,0.431418939956599,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487535970413943,0,0,0,0,0,0,0,0,0.0481094870439695,0,0,0,0,0,0,0,0,0,0,0.0270763266433803,0,0,0.0392676372728998,0,0
X601318.CH.EQUITY,0,0,0,0.0482030706682916,0,0,0,0,0,0,0,0.366296129604997,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0150537296777936,0,0,0,3.30348004132976e-05,0,0,0,0,0,0,0,0,0,0,0,0.0791230575275648,0,0.0607991820564004,0.170572387826035,0,0,0,0,0,0.152529328036066,0,0,0,0,0,0
X601288.CH.EQUITY,0.415456708252546,0,0,0,0.400647854681949,0,0,0,0,0,0.0655642770864381,0,0,0,0,0.0697623144059504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340498285413838,0,0,0,0,0,-0.0145423825993882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.277444591106858,0,0,0,0,0,0.00163121527068446,-1.0842021724855e-19,0,0,0,0,0,0,0.136267225563598,0,0.135308061669144,0,0,0,0,0,0,0,0,0.00148978108413653,0,0.0662358509858689,0,0.0119101198582506,0,0,0,0.0468176670152504,0,0,0,0,0,0,0,0.165851911665835,0,0.149480229734454,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.312476135246071,0,0,0,0,0,0,0,0,0,0,0,0.0205986134695389,0,0.0649538977855373,0,0.147577757129962,0.133760215063608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379489978938366,0,0,0,0,0,0,0,-6.93889390390723e-18,0.120278306573566,-0.0512426746927479
X600036.CH.EQUITY,0,0,0.0284392086503994,0,0,0.0493971890388913,0,0,0,0,0,0.333139097270635,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250573895682046,0,0,0.0897878362019839,0,0.00155906909198993,0,0,0,0,0.132536331357317,0,0,0,0,0,0,0.0718292843377208,0,0,0,0,0,0,0,0,0.275816144149298,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0251760121861187,0.0607580485855796,0,0,0,0,0,0,0,0,0.280336350256415,0,0,0,0,0,0.149278075031565,0,0.0570029059155807,0,0,0,0.136495161866653,0,0,0,0,0,0,0,0,0.204397976531698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.113546998371195,0,0,0,0,0,0,0,0,0,0,0.0281655204049634,-4.33680868994202e-19,0,0,0,0,0.195204810993861,0,0,0.0384972176139024,-3.46944695195361e-18,0.235795316837435,0,0,0,0,0,0,0,0.059220205575561,0,0,0,0,0,0,0,0,0.131956241751748,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0224633002262736,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110743395493732,0,0,0,0,0,-5.55111512312578e-17,0,0.0461964527394061,0,0,0,0,0,0,0.430520435967269,0,0,0.200244326106306,0,0,0,0,0,0,0.0594737797897187,-0.394417500406011,0,0,0,0,0.737816883132525,0,0,0,-0.0208910116093186,0
