,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0871410898731587,0,0.394144869562554,0,0,0.101944677749252,0,0.10910039737988,0,0,0,0,0,0,0.189493154417141,0,0,0,-0.0718648670202201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872326834278389,0,0,0,0,0,0,0,0,0,0,0,0.0662106210019025,0,0,0
X601939.CH.EQUITY,0.223565530522861,0,0,0.0350001842074617,0.0743288679316108,0,0,0,0,0,0,0.0695265515463552,0,0.33437657026014,0,0.206721689358999,0,0,0,0,0,0,0,-0.0514983801267419,0,-0.0867988172595877,0,0,0,0,0,0.063692168873117,0,0.0262619544438767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.388517253006511,0.0307983433990386,0,0,0.354855053487342,0,0,0,0,0,0.0990307068148398,0,0,0,0,0,0,0.0516099658751359,0,0,0,0,0,0,0,0,0,0,0,0.0195889244053425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032244295491249,0,0
X601988.CH.EQUITY,0,0,0,0.271868716232533,0,0,0,0,0,0,0,0,0,0.0883259488377595,0,0.100864306441984,0,0,0,0,0.268029826022815,0,0,0,0.00322780101913205,0,0,0,0,0,0.0383751305740711,0.0509441765503883,0,0,0.122850202227119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.13389298957021,0,0,0,0,0.299471710805132,0,0.176999520323656,0,0,0,0,0.239318977180205,0,0,-0.223315975244341,0,0,0,0.0920551291994453,0,0,0,0,0,0,0,0,0,0.174826923565374,0,0,0,0,0,0,0,0,0.123843161635546,-0.0781171952452889
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.18494415196373,0,0,0,0,0,0,0,0,0,0,0,0.20709297618936,0,0.130955180890747,0,0,0,0.0961166291428648,0,0,0,0.0762604340770748,0,0,0,0,0.147011556397902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.0531823314154744,0,0,-0.100053551533541,0,0,0,0,0,0,0,0,0,-0.0122269249647083,-0.0750765835041605,0,0,0,0,0,0,0,0,0,0,0.217925477874474,0,0,0,0,0,0,-0.510148169117564,0,0,0,0.52923853274395,0,0,-0.109220120815511,1.01893189569637,0,0,0,0,0,0,0,-0.0855813824417016
