,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X600606.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.147739409997095,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538994531643208,0,0.431731691965797,0.327185932907136,0.0126374134567764,0,0,-0.0793816811488265,0,0,0.201993538505008,0,0,0,0,-0.276959500249879,0,0,0,0,0,0,0,0.0743065486396847,0,0,0,-0.34687221247624,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.184942485490213,0,0,0,0,0,0,0,0,0,0,0,0.0939653272611719,0.0530884520126823,0,0,0,0,0,0,0,0,0,0.00417442034655281,0.0197945321673408,0,0.0682042153581229,0,0,-3.46944695195361e-18,0,0.237071383132421,0,0,0,0,0.0755053042433773,0,0,0,0,0,0,0,0.216615535490024,0,0.104867423863234
X601939.CH.EQUITY,0,0.0676787044785506,0,0.806941363490787,0,0,0,0,0,0.00207291821197219,0,0,0,0,0,0,0.0829636060572962,0.0179261963472677,0.0571255154345886,0,0,0.00324765774040135,0,0,0,0,0.0105774679445521,0,0,0,0.0100200133040838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.03775249838982,0,0.896411611032499,0,-0.0778467281577081,0,0,0,0,0,0,0,0,0,0,0.0422863143717378,0,0.134372465035239,0,0,0,0,0,0,0,0,0.0237099565581554,0,0,0,0,0,0,0,0,0,0,0,0,-0.0885787207290479,0,-0.027055049031068,0,0,0,0,0,-0.0228464441066704,0,0,-0.0481382507495174,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0712090664509156,0,0.414627737059724,0,0,0,0,0,0,0,0,0,0.0969715781573621,0,0,0,0,0,0,0,0,0,0,0,0,0.3446209563708,-0.0823598053139422,0.0394221465961012,0,0,0,0,0,0,0,0,0,0.123174787910777,0,0,0,0.0796051165384918,0.124294742877409
X600036.CH.EQUITY,0,0,0.381993087543159,0,0,0,0,0,0.0199637522631083,0,0,0,0,0,0,0,0.125575930546504,0,0,0.00150399145147807,0.00716183059361498,0,0,0,0,0,0.191282518918149,0,0,0,0.178540609078233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196149056862299,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0,-0.0587538039627445,0.14188081012982,0,0,0,0,-0.0493020915385842,-0.0785928080254925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108203855717603,0,0,0,0,0,0,0,-0.0456182964344271,0,1.06593779415369,0.0107350868656082,0
X1299.HK.EQUITY,0,0,0,0,0.228099275036233,0,0,0,0,0.207000511046337,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.235061096576981,0.0767208351713094,0,0.439410279273039,0,0.172152189522346,0.188104183126489,0,0.115357910721737,0,0,0,0,0.0299919676822804,0,1.38777878078145e-17,0,0,0,0,0,-0.1053333783573,0.0343106627362784,0,0,0,0,0.0725782646883512,0
X5.HK.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0642039925460023,0,0,0,0,0,0,0,0,0,0.416898280593816,0.360003895799154,0,0,0,0,0,0,0,-0.0637439579686448,0,0,0,0,0,0,0,0,0.0145903228637613,0,0,-0.0607530643971331,0,0,0,0.206724451528839,-0.11594800609993
X388.HK.EQUITY,0,0,0,0,0.29039798151049,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171513288491765,0,0,0,0,0,0.429115971874114,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.05161194088659,0,0,0,0,0,0,0,-0.115653370840755,-0.0929560881487983,0.0537751763372827,0.243325596267809,0,0,0,-0.125680811037747,0.0402963436105265
