,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0261047976396239,0,0,0,0,0,0,0,0,0.184874578063896,0,0,0,-6.93889390390723e-18,0.481787639880874,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.1469520631891,0,0,0.487671502244257,0,0,0,0,0,0,0,0,0.0678662864757867,0.0240994250105996
X601318.CH.EQUITY,0,0,0,0,0,0,0.15047530193267,0,0.271692203297333,0,0,0,0,0,0,0,0,0.28040720019488,0.0779167913498683,0,0.0412393674176746,0,0,0,0,0.102570064840212,0,0,0,0,-0.0116230188636493,0,0,0,-1.73472347597681e-18,0.0601104401020364,0,0,0,0,0.0208350714490123,0,0,0,0.00121286381829555,0,0,0.0270234932324027,0.0186189399488289,0,0
X601939.CH.EQUITY,0,0,0,0.667801253703754,0.0438765883954811,0.0420687119291359,0,0,0,0.244423843207911,0,0,0,0,0,0,0,0,0,0,0.0938245146622573,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.00200941279897758,0,0.0152880770525921,0,0,0,0,0,0,0,0,0,0,0.0790028422075901
X601288.CH.EQUITY,0,0,0,0,0,0,-0.412180061287827,0,0.0300856239029236,0,0.942787921037506,0,0,0,0,0,0,0,0,-0.143758846109653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151935986183147,0,0,0,0,0,0,0,0,0,0,0.0491760580084967,0,0,0
X5.HK.EQUITY,0,0.043887642573955,0,0,0,0.137094012100775,0.349967919449709,0,0,0,0,0,0,0,0.0591950058309448,0,0,0,-2.16840434497101e-19,-0.0105012826408566,0,0,0,0,0,0.00101680176544885,0,-0.216575233172435,0,0,0,0,0,0,0,0,0.114922097170738,0.00839203432826543,0,0,0.318551305466795,0,0,0,0,0,-0.119947075933323,0,0.040760045155476,0,0
X601988.CH.EQUITY,0,0,0,0,0.322195237996361,0,0,0,0.0233535956502154,0,0,0,0,0,0,0.10601395972958,0.110323716752321,0,0,-0.0699468983450618,-0.0523076261074327,0,0,0,0.230932379172889,0,0,0,0,0,-0.239553291606049,0,0,0,0,0,0,0,0,0.0572084909684051,0,0,0,0,0,0,0,0,-0.0135106654959198,0.130451117634993,0
X1299.HK.EQUITY,0,0,0,0,0.232735382881415,-0.00260184586255588,0,0,0,0,0,0,0,0,0,0,0.194701453983982,0,0,0,0,0,0,0,0,0.0347456887931178,0,0.0397755313950319,-0.116321133244229,0.0914395275629964,0.0457862414362276,0,0,0,0,0,0.527330439164792,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00867037507838074
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.418434495713253,0,0,0,0,0,0,0,0.261130048409579,-0.0417820790091481,0,0,0,0,0,0,0,0,0,0.00732492728999801,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,-0.00467168658140669,0,0.210989706283238,0,0,0,0,-0.108275506469101,0,0,0
X601628.CH.EQUITY,0,0.0276381637654998,0,0.00384598288158309,-0.0406349789903437,0,0,0,0,0,0,0.0908680477115471,0,0,0,0,0,0.165661860609309,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.407101406346233,0,0,0,0,0,0.208210226105849,0.106730148496205,0,0.0862117265125762,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.102654218436246,0,-0.0542344902407711,0,0,0.415384017342811,0,0,0,-0.0401406327301623,0,0.460657966215364,0,0,0,0,0,0,0.139907937040883,0,0.0937824076914841,0,0,0,0,0,0,0,0,0,-0.0897947739687973,0,0,0,-0.0902786975704514,-0.191387822005725,0,0,0,0,0,0,-0.0595162632939812,0,0,0,0,0,0
X601166.CH.EQUITY,0.107022612345659,0,0,0.253588779376411,0,0,0,0,0,0.0951495715107754,0,0,0,0.266718569656606,0,0,0,0,0.0439872601692606,0,0,0,0.0204866188039305,0,0.0653016445809102,0,0,0,0,0,0,0,0,0.02421348642255,0,0,0,-0.107760836615736,0,0.0547227518716017,0,0,0,0,0,0,0,0,0,0.059128566576812,-0.0197091938621048
X601319.CH.EQUITY,0,0.032746717503987,0,0,-0.323026640187964,0,0,0,0,0,0,0,0,0,0,0.0623259772940621,0,0,0,0,0.0220992939486526,0,0,0,0.10146113045745,0,-0.141923700430846,0,0,0,0,0,0,0,0,0,0,0.102746573026801,-0.0558499419080039,0,0,0,0,0.431828279101644,0,0.119376253963603,0,0,0,0,0.0565028057059301
