,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.100356048141131,0,0,0.361173647057591,0,0,0,0,0,0.200620421968751,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197713643884717,0,0,-0.157546170820961,0.0620072346810557,0,0,0,0,0.125508257185089,0,0.0538726952208207,0,0,0,0,-0.132608230345773,0,0,0,-0.0256632526428529,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.129320817020535,0,0,0,0.0186073743593833,0,0,0.21685096638771,0.0154736852764335,0.0279827532173224,0,0,0,0,0,0,0,0.054548133898328,0,0,0,0,0.0443906727568889,0,0,0,0,0,0,0.00534242651825204,0,0,0,0.516256815470639,-0.0679511293773644,0,0,0,0,0.0864810430620096,0,0,0,0,0
X601939.CH.EQUITY,0.236196613644349,0,0,0,0,0,0,0,0.0399392660282837,0.0200099510631116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386680171278661,0,0,0,0,0,0,0.0956267774747026,0,0.0134688123759164,-0.0491790835854361,0,0,0.0215158692237981,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.232829598250247,0,0,0,0,0.00875319269297671,0,0.0903044919061926,0,0,0,0,0,0,0,0.121752332959809,0,0,0,0,0.160694547669888,0,0,0,0,0,0,-0.0857645257994001,0,0,0.0225361553299609,0,0.0430063788073419,0,0.214402317780752,0,0.118747226333,0,0,0,0,0,0.0596897856229856,0,0,0
X5.HK.EQUITY,0,-0.206215791352415,0,0.0888281451764969,0,0,0,0.157654677636386,0,0.106128214820185,0,0,0,0,0,0.319803565057714,0,0.236736814044929,0,0.247116474436609,0,0,0,-0.226640973835887,0.373720726869066,0,-0.0298071477400357,0,-0.271706017142974,0,0,0,-0.0574134423499617,0,0,0,0,0,0,0,-0.0513070204992708,0,0.138302262697699,0.177475911997948,-0.0513408896057026,-0.0144278881725965,0,-0.192166986252319,0,0.0470229096435723,0
X601988.CH.EQUITY,0.190902253119336,0,0,0.409454472329232,0,0,0,0,0,0.108313923091788,0,0,0.148311762628604,0,0,0,0,0,0.0270968600321279,0,0,0,0,0,0,0,0,0.00886293230051377,0.0219025963755948,0,0,0,0,0,0,0.12391896910097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131443702278122
X600036.CH.EQUITY,0,0.66586213533019,0.0172053125345144,0,0,0,0,0,-0.0605127078024913,0,0,0,-0.105768444012959,0,0,0,0,0,0.172374177586115,0,0,0,0,0,0,0,0,0,0.0573195636516486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238593996243023,0,0,0,0,-0.0675854202503597,0,0.172013813427686
X1299.HK.EQUITY,0,0,0.00742997102687726,0,0,0,0,0,0,-0.0982517449859327,0,0,0,-0.130444985492015,0,0,0,0.243785444409056,0.056314905467597,0,0.24989960369681,0,0,0.326534071363905,0,0,0.0850009944282985,0,0,0,0,0,0,0,0,0.0359891125978213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157982184569263
X601628.CH.EQUITY,0,0.160773724979377,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0032992800837424,0,0.273234028936214,0,0,0,0,0,0.00731734182126226,0,0,0.163856377812441,0,0,0,0,-0.0515694938484337,0,0,0,0,0,0,0,0,0.14036004889448,0,0.0983222509717227,0,0,0,0,0,0,0,0,0.109693514415673,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.284136840146012,0.250747898566726,0,-6.93889390390723e-18,0,0,0,0,0,0.400890855576924,0,0,0,0,0,0,0,0,0,-0.0628310470060708,0,0,0.00705286706764253,0,0,0.377895407245652,0,-0.0737467279930546,0,0,0.325257180216253,0,0,0,0,0,0,-0.117964181582993,-0.192798878696986,0,0,0,-0.0352523551576968,0,0,0
