,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.368637301984831,0,0.297481575396684,0.00314943495958322,0,0.172797955836468,0,0.128380872545527,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.107702211135859,0,0,0,0,0,0,0,0,0,0,0,0.104503386143439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212743126385301,0,0,0
X601939.CH.EQUITY,0.369708115240732,0,0,0,0,0,0,0,0,0,0,0.0757484197632716,0.307434515261892,0,0,0,0,0.102139480427647,0.0709167815606062,0,0,0,0,0,0,0,-0.10672664627695,-0.0122628125773598,0,0,0,0,0,0,0,0,0.0130894157221644,0,0,0,0,0,0,0,0,0,0.0298798433538892,0,0,0.0326418526504184,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0589403624058073,0,0,0,0,0.279113464753969,0,0,0,0,0,0,0,0,0,0,0,0,0.0398139369779153,0,0,0,0,0,0,0,0,0.0946199948898837,0,0,0,0,0,0.421717441267614,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421465174682589,0.0478707455746226,0,0,0.33229238600957,0,0,0,0,0,0.10712226541192,0.0107660063290473,0,0,0,0,0.0353308537053911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.264741847188022,0,0,0,0,0,0,0,0,0,0.019845514558182,0,0,0,0,0.16537913943531,0.170935014541058,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0668597440647932,0,0,0.0240594300916142,0,0,0,0,0,0,0,0,0,0.180960496766083,0,0,0.0979416832664163,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.176711213858261,0,0,0,0,0,0.00668064032356855,0,0,0,0,0,0,0,0,0,0,0,0.424428382464695,0.145087487472751,0,0,0,0,0,0,0,0,0,0.0695129586039372,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.444931493073684,0.0485509534770829,-0.0581953047653161
X600036.CH.EQUITY,0,0,0,0,-0.0102702647815614,0,0,0.145067762399609,0,0,0,0.480430862382529,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0988991461231042,0.119896978949427,0,0,0,0,0,0,0,0,0.109704750174162,0.149865135023177,0,0.170572345564323,0,0.0515845325016281,0,0,0,0,0,0,0,0,-0.066926299509566,-0.0373688869071118,0.034254135955449
X1299.HK.EQUITY,0.0280706137939612,0,0,0,0,0.039954720226292,0.070764817341229,0,0.0709143036292733,0,0,0,0,0,0,0,0.347542658520883,0,0,0,0.222806141376143,0,0.193691250477839,0,0,0,0,0.0911756824201965,0,0,0.140275671231846,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.132362513044049,0.0404334054540753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39807920357083,0,0.0522686852503551,0,0,0,0,0,0,0.136813870587358,0,0,0,0,0,0,0,0,0.0272767826469464,0,0,0,0,0,0,0,0,0,0,0.0361240317564068,0
X601658.CH.Equity,0,0,0,-0.138800594777913,0,0,-0.240420496225112,0,0,0,0,0,0,0.00171324996750992,0,0,-0.0454307684470537,0,0,0,0,0,0,0,0,0,0,0,0,0.412692011968374,0,0,0,0,0,0,0,0,-0.391351589628167,0.624956821735425,0.0336908535666814,-0.163299939021951,0,0,0,0,0.685381780466762,0,0,0,0,-0.079146677649987
