,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.203195788500993,0,0.23577279411325,0,0,0,0,0.0561580840808089,0.0653563925227181,0,0,0,0,0.0376556242234457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080267936333211,0,0,0,0,0.0817810764972661,0,0,0,0,0,0.117454208536962,0,0,0,0,0.0264018180154246,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.110547552552649,0,0,0.161046638338762,0,0,0,0.202467927654715,0,0,0,0.155164340190058,0,0,0,0,-0.122598554659438,0,0,0,0,-0.0694136994580194,0,0,0,-0.0383353105125706,6.93889390390723e-18,0,0,0,0.127056926025271,0,0,0,0,-0.213777390561275,0.27501880103901,0.196906769492849,0.0775087391328977,0,0,0,0,0.0159059758784824,0.140233249169014,0,0
X601939.CH.EQUITY,0.294831105780056,0,0,0,0,0,0,0,0,0,0.0823804214953506,0,0.187081501973114,0,0,0,0,0,0,0,0,0,0,0,0.0724173372271222,0.0425204975716204,0,0,0,0,0,0,0.171052599996432,0,0,0,0,0,0,0,0.0943774838185591,0,0,0,0,0.0774685439012958,0,0,0,0,0,0
X601288.CH.EQUITY,0.398362881404119,0,0,0,0,0.267683696865319,0,0,0,-0.026270730947628,0,0,0,0,0.0528487184535937,0,0,0,0,0,0.0199133273092023,0,0,0,0,0,-0.0193847466110327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204444351848259,0,0,0,0,0,0,0,0.00786895800739277,0.0935521712929366,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0421445549510216,0,0,0,0,0,0,0,0,0,0.384167638149652,0,0,0.13279626410699,0,0,0,0,-0.0862513603922651,0,0,0,0,0.584686293400707,0,0,0,0,0,0,0,0,0.0500918665368536,0,0,0,0,0,0,0,-0.166040441700702,0,0,0.0354859639291894,0
X601988.CH.EQUITY,0.153222022537513,0.148421278138657,0.258373763385755,0,0.0236545050859782,0,0,0,0.0261301894415524,0,0,0,0,-0.112896722362968,0,0,0,0.0611681948033116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158355635102561,0.0270389262687166,0,0.0232128359581641,0,0,0,0,0,0.17564968756248,0,0,0,0,0,0,0.0445343491423679,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.18896569928881,0,0,0,0.0205942034974229,0,0.0809486262653111,0,0,0,0,0.546213159076576,0,0,0,0,0,0,0,0,0.0524431665469634,0,0,0,0,0,0,0,0.0642778508958072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41457638715664,0,0,0.128091577093193,0,0,0.0213763201107408,0,0,0,0,0.0468436244007282,0,-0.0238905108448424,0.410032194891174,0,0,0,0,0,0,0.0252898564897916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587959498763023
X601628.CH.EQUITY,0.13735925920186,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0368394571696914,0,0,0,0,0,0,0,0,0,0,0,0.0185663533744699,0,0,0,0,0.212567565386315,0.113649356525783,0,0,0,0,0,0.0182926552630813,0,0,0.186571370801672,0,0,0,0,0,0,0,0,0,0,0.082813446905312,0,0.111054351213777
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269772102375218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142003873626573,0,0,0,0,0,-0.861060947925232,0,0,1.24565723248492,-0.350710979767572,0,0,-0.0241561986120641,0,0,0.181494567815199
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.654155666781286,0,0,0,0,0,0,0,0,0,0,0.210839197076268,0,0,0,0,0,0,0,0,0,0,0.0224083310072566,0,0,0,0,0,0.0341931302108123,0,0.041382039803013,-6.93889390390723e-18,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.453024384979169,0,0,0,0,0,0,0.0893598206657582,0,0,0,0,0.0680426991241959,0,0,0,0,0,0.0648708147135701,0.120940053811905,0,0,0,0.225416685133398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775947026590308
X600000.CH.EQUITY,0,0,0,0.0141876155616515,0,0,0,-0.0107514094758134,0,0.0382477715831249,0.409943168057269,0,0,0,0,6.93889390390723e-18,0,0,0.276769303891275,0,0,0,0,0,0.0445543690944532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140693530953866,0,0,0,0,0,0.124986723426577,0.0178688177212624,0
