,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.0969670722334119,0.404154153832464,0.0602433264136359,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139152369910705,0,0,0,0,-0.041861877699119,0.00552843460891449,0,0.0410371775226756,0.0649736757679208,0,0,0,-0.0828700760771847,0
X601318.CH.EQUITY,0,0,0.0642271314866256,0,0,0,0,0,0.115816113799477,3.46944695195361e-18,0.0337620410592354,0,0.0547363062705766,0,0,0,0,0.0751922671213667,0,0.143149345679497,0,0.0655805179960447,0,0,0,0,0,0.0832598570434848,0,0,0.0522394956220384,0,0,0,0,0,0,0.145553011488262,0,0,0,0,0,0,0,0,0,0.062142379397105,0,0,0,0.0956840780083575
X601939.CH.EQUITY,0,0,0,0,0.094425612578385,0,-0.0301546836994408,0,0,0,0.0974159330361461,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.00806226617812013,0,0.619542540140582,0,0,0.151635698563366,0,0.0992775117841321,0.0183055523153624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0920535966619184,0,0,0,0,0.206923392781926,0.0983927115237617,0,0,0,0,0.158453770269985,0,0.04897031541787,0,0,0,0,0,0,0,0.259597562020093,0.217450092292824,0,0,0.0307281538428874,0,0,0.0455327036676313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0549655934844687,0.0618865928272383,0.0618455025435992,0,0,0.0665320477290432,0,0.381005366924765,0,0,0,8.67361737988404e-19,0,0,0,0.0246891039511543,0.0451485711897111,0,0,0,0,0,0,0,0,0,0,0,0.136183784696034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557118227598421,0,0,0,-0.0655754142503214
X601628.CH.EQUITY,0,0,0,0,0.0953150232050662,0,0,0,0,0,0,0,0,0,-0.182294775363083,0,0,0,0.0152507407442326,0,0,0.0564152942069704,0,-0.0120690538734893,0,0,0,0,0,0,0,0,0,0.641366062421154,0.0360422049046952,0,0,0,0,0,0,0,0,0,0,0,0,0.0749994277755147,0,0,0,0.209740275197162
X1299.HK.EQUITY,0,0,-0.129872474092788,0,0,0,0,0,0,0,0,0.127365076833084,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0852027566035901,0,0,0,0.128464965578005,0,0.0392774297549143,0,0,0,0,0,0,0.168345753270682,0,0.0462530384836938,0.278503034691391,0.0912512550977702,0.157488961272625,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,8.67361737988404e-19,0.231565986858754,0.711219684370594,0,0,0,0,0,0,0,0.00687335630362726,0,0,0,0.0445387483159855,0,0,0,0.0723841352612766,0,0,0.103656864226801,0,0,0,0,0,0,0.0903947174754706,-0.119138096609286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344119711001933
X5.HK.EQUITY,0,0,0,0,0,0.0093906722923818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131349536994054,0,0,0,0,0.0846630884968851,0,0.176229731343386,0.0153714503622957,0,0,0,0,0,0,0,0,0,0,0,0.337374328555089,0,0,0.162198102585837,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0283464710417318,0.0588428692526192,0,0,0,0,0,0,0.0638491326356487,0,0.151198864091202,0,0.112333056449926,0,0,0,0,0,0,0,0,0.177555272744893,0,0,0,0,0.381705759750303,0,0,0,0,0.0301668449470686,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0101506979894872,0,0,0,0,0,-0.00629778933191563
