,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0245177440644231,0,0,0,0,0,0,0,0,0,0.211934108078424,0,0,0,0.508681627975895,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160894805836971,0,0.491492501228616,0,0,0,0,0,0,0,0,0.0915841240785466,0.0231954054864033
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141797095469033,0,0,1.73472347597681e-18,0,0,0,0,0.0376204646942179,0,0.0692632539382029,0.0507983259922513,0,0,0,0,0,0.118627184021461,0,0.049854357185327,0,0,0,0,0,0,0,0.246632205824767,0,0,0,0,0.229008868953793,0.00646425687730033,0,0.033268066068298,0,0,0,0,0,0,-0.0127368281318184
X601939.CH.EQUITY,0.255620257348441,0,0,0,0,0,0,0,0,0.0352519830926759,0,0,0,0,0,-0.0130052517834091,0,0,0,0,0,0,0,0.0561712530777871,0,0,-0.140926978130786,0,0,0,0,0,0,0,0,0,0,0.0468693256665996,0,0.513568808207747,0.0481889503751783,0,0,0,0,0,0,0,0,0,0.117876967839196
X601288.CH.EQUITY,0,0,0,0,-0.099840732918157,0,0,0,0.133426390418635,0,0.264856784904302,0.36220410624678,0,0,0,-0.0787903948500367,0,0,0,0,-0.0906743573328206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127798521568719,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.125104351910328,0.380325968943275,0,0,0,0,0.179659946078742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380017616785234,0.00132022112817535,-0.138131285999435,0,0,0,0,0,0,0,0,0,0.0920178217286455,0,0,0.219067379810547,0,0,0,0,0,-0.140367072076924,0,0.0963325104653911,0,0
X601988.CH.EQUITY,0,0,0,0,0.269791257103642,0,0.034013300315861,0,0.0355633805632956,0,0.0996523152185591,0.11718461590328,0,0,0,0,0,0.0767652942337958,0,0,0,0,0,0,0.0484609126793017,0,0,0,0,0,-0.264121576575685,0,0.136765514607197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831057030319017,0
X1299.HK.EQUITY,0,0,0,0,0.286714679486808,0,0,0,0,0,0,0,0,0,0,0,0,0.126976749746597,0,0.063705800977434,0,0,0,0,0,0.0644961129003124,0,0.121493583470713,0,0.0944487532906204,0,0,0,0,0,0,0,0.30890258968271,0,0,0,0,0,0,-0.206346211120198,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.304444513667411,0,0,0,0,-0.0887142764791601,0,0,0.402693223748216,0,0,0,0,0.0213192183676349,0.0683668635245509,0,0,0,-0.0278101035008579,0.292131544988957,0,0,0,0,0,0,0,0.162944174074357,0,0,0,0,-0.218521977256156,0,0,-0.152247402781318,0,0,0,-0.0380044137339859,0,0,0,0.260419020461911,0,0,0,0,0,0.0144796857317437
X601628.CH.EQUITY,0,0.20157589776197,0.0310282205077511,0.0888181441371804,0,0,0,0,0,0,0,0,0,0,0,0,0.225186224385244,0,0,0,0,0,0,0,0.026227671301814,0,0,0,0,0,0,0,0,0,0.257915550718401,0.00537623550985151,0,0,0,0,0,0.0332638574604897,0,0.0835578019083802,0.0810405898990199,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00431431479853509,0,0,0,0,0.758352314813226,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.144293515371108,0,0,0,0,0,0.0370118734990333,0,0,0,0,0,0,0,0,0,0,0,-0.00707287058343479,0,0,0.0210071059170834,0,0,0,0,-0.203957805708748,0,0,0.0503352593218843,0
