,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.266082320569466,0.114355467826615,0,0.247989408657502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192883793963615,0,0,0,0,0.0131206284262229,0,0.0201742292109428,0,0.0989104241433767,0,0,0,0.0927410840543402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.104977288070344,0,0,0,0,0.18172292879218,0,0,0,0.0338453657806781,0,0.212153757829448,0.0505823351808138,0.139850546146774,0,0,0,0.136071427975613,0,0.0206282267904175,0,0,0,0,0,0,0,0,0,0.0838268109860028,0,0,0,0.0503811047768617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.124872387633692,0,0,0,0,0,0,0.10426027068724,0,0,0,0,0,0,0,0,0,0,0,0.0508701401047022,0.35615658754441,0,0.139467225120123,0,0,0,0,0,0,0,0,0,0,-0.10818128110617,0,0,0,-0.0495872004768289,0,0,0,0,0,0.0764143773456674,-0.00312919285599168,-0.0815421279849761,0
X601939.CH.EQUITY,0.651790712950299,0.0437137164155393,0,0,0,0,0,0,0.190930807884533,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.128328381547015,0,-0.0350252101349236,0,0,0,0,0,0.128905174811774,0,0,0.0395898061450815,0,0,0,0,0,0,0,0,0,0.123760258565629,0,0.0176842214107109,0
X601288.CH.EQUITY,0,0,0,0.0954752067504741,0,0,0.375330628414314,0,0,0,0,0,0.071509974232412,0,0,0,0,0,0,0,0,0,0,0,0.0214652573990985,0,0,0.0728369112752021,0,0,0,0.164528245540658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112095141492984,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0916938424903588,0.262757285378619,0,0,0,0.148697180844641,0,0.0242560672315957,0,0,0,0.228661021249657,-0.202193105479155,0,0,0,0,0,0.0421628098156394,0,4.33680868994202e-19,0,0.0034244536762842,0.0569144591462801,0,1.0842021724855e-19,0,0,0,0,0,0.169940650889133,0,0,0,0,0,0,0,0.162589681663268,0,0,0,0
X601988.CH.EQUITY,0.195514360606759,0,0,0,0.349943422926607,0,0,0.0815112822477592,0,0,0,0.059537942910161,0,0,0,0,0,0,0.117588193732869,0,0,0,0,0,0.0938557391436054,0,0,0,0,0,0,-0.212699130415458,0,0,0,0,0,0,0,0.052336081737482,0,0,0,0,0,0.07421511830496,0,0,0,0,0,-0.0708044694684954
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218959542778057,0,0,0,0,0.0511501232725183,0,0.0867221292725256,0,0,0,0,0,0,0.035832427107378,-8.67361737988404e-19,0.390375702900346,0.0875501227943689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.206392182345421,0,0.101101548139742,0,0,0,0,0,-0.0921903225815807,0.0567668664599032,0.032112132851183,0,0,0,0,0,0,0,0,0,0,0,0.30447440807587,0,0,0.119873362642572,0,0,0,0,0,0,0,0,0,0,0,0.195353774255602,0,0,0,0,0,0.107535133465854,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0816480270710901,0,0,0,0,0,0,-0.016524512748653,0,0,0,0,0,0,0,0,0,-0.358133052466778,0,-0.129633808148272,0,0.291966305403775,0,0.0825992800575987,0,0,0,0,0.0706415576060123,0,0.320720748434745,-4.33680868994202e-19,0,0,0,0
