,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.144138538261611,0,0.0166113474929852,0,0,0,0,0,0,0.283193942239798,0.244007926567178,0,0,0,-0.0941434121809165,0,0,0,0,0,0,0.0185834753248837,0,0,0,0,0,0,0,0,0.262945343949377,0,0.0250069373739129,0,0,0,0,0.0403609571141105,0,0,0.0600163274911282,0,0,0,0.0207694916110261,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0496822370570879,0,0,0.225343012099858,0,0,0.152464506463794,0,0,0,0.0577737790270001,0,0,0,-0.111901593914392,0,0,0.00296487663531029,0,0,0,0,0,0,0,0,0,0,0.174682873081958,0,0,0,0,-0.289392447392531,0,0.30697957661167,0.0345594513961925,0.181056262456848,0,0,0,0,0.0847595458194926,0,0,0
X601939.CH.EQUITY,0.482638976186072,0,0,0,0,0.179166634974871,0,0,0,0,0,0,0,0.0697580490808829,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365861273560612,-0.111110045948144,0,0,0.0437177273097937,0,0,-0.0470663253001061,0,0,0,0,0
X601288.CH.EQUITY,0.547258139073976,0,0.101344052963349,0,0.0475635578794771,0.0645944906822216,0,0,0.0602395747721263,0,0,0,-2.16840434497101e-19,0,0.0364731846064725,-0.006633768554669,0,0,0,0,0,0,-0.018754899883915,0,0,0,0.0498289696849821,0,0,0,0,0,0.113954331018739,0,0,0,0,0.108409241821702,0.120849642328214,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0780650973293932
X5.HK.EQUITY,0,6.93889390390723e-18,0.234441176326314,0.00566538209463223,0,0.135818442447387,0,-0.0672362240325844,0,0,0,0.282905873478638,0,0,0,0,0,0.640800587531646,0,0,0,-0.127454262304616,0,0,0,0,-0.205483726637519,0,0,0,0,0,0,0,0.0274471312345334,0,0,0,0,0,0,0,0,0,0,0.134734992589805,0,0,0,0,0
X601988.CH.EQUITY,0.0426685792529134,0,0.171348015234847,0.139978644420811,0,0,0,0,0.0947224385752075,0.153460327881858,0.050147528673591,0,-0.305088959356811,0,0,0,0,0,-0.0192300583707523,0,0.350575304219209,0,0,0,0,0,0.086587663522543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205713158810562,0,0,0,0,0,0.0404287113143317
X600036.CH.EQUITY,0,0.227667694453963,0,0,0,0,0,0,0,0,0,0.0827246835778668,0,0.191951413163489,0,0.116981044812014,0,0,0,0,0,0,0,0.137041983065043,0,0,0,0,0,0,0,0,0,0.179978573933461,0.0188713686278095,0,0,0,0,0.0488102261362557,5.2058933423037e-05,0,0,0,0,0,0.0556059502433302,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0614253810152038,0,0,0.0320431486059727,0,0,0,-0.00693795713401077,0,0,0.15395363133326,0.229486549841997,0,0,0,0,0.181398391573073,0,0,0,0.182363570376145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167791619918988,0,0
X601628.CH.EQUITY,0.243744818380622,0.288882845722483,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00630163212114748,0,0,0,0,0,0,0,0.0562041841898901,0,0,0,0,0,0.0880422273633334,0,0,0,0,0,0,0,0,0,0,0,0,0.0409158042268858,0,-0.17162771881399,0,0,0.203648889249153
X601166.CH.EQUITY,0.176910860964439,0,0,0,0,0.0759745008117265,0.284649900547676,0,0,0,0,0,0,0.0791065149835083,0,0.477862026784252,0,0,0,0,0,0,0,0,0.0781160958663163,0,0.045248334915131,0.0253512411172019,0,0,0,0,0.00133191256295614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
