,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0511949488662918,0.205368223973135,0,0.0415882799417778,0.0286335997490802,0,0,0,0,0,0,0,0,0,0,0.201234340322401,0,0,0,0,0.0223853456225622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0624978019439642,0.00258686990260903,0,0.029258249612471,0,0,0.102093871534328,0,-0.0353187271442073,0
X601318.CH.EQUITY,0,0,0.0977031816848981,0,0.100649612000261,0,0,0,0.120772887640145,0,0.0981788078233287,0,0.0381949090814739,0,0,0,0,0.0680536099064052,0,0.190394721713679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436345111170764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146882517526969
X601939.CH.EQUITY,0,0,0,0.0764834235805912,0,0,0,0,0,0,0.109036842846237,0,0,0,0,0,0,0,0,0,0,0,0.6408143341794,0,0.150098848842275,0,0,0,0.0821445606425363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.165674568583997,0.126977676915834,0.0420524635243267,0,0,0.104561597681961,0,0.396643646796459,0,0,0.0450526336214904,0,0,0,0,0,0.000388484637728177,0,0,0,0,0,0,0,0,0,0,0.0590589388600312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287330406819862,0,0,0,0,0.0570569907414119,0,0,0,-0.0927240733475845
X600036.CH.EQUITY,0,0.131503972154421,0,0,0,0,0.200209665974475,0.0223896684171995,0,0,0,0,0.173525405370728,0,0,0.127109379912469,0,0,0,0,0,0,0.175573114463141,0.24581865004813,0,0,0.00129239835519209,0,0,0.0372775038913215,0,0,0,0,0,0,0,0.00461091030154494,0,0.0711903844321015,0.0196388484400431,0,0,0,0,0,0,0,0,0,-0.0669115987167229,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0725636149146214,0,0,0,-0.0864323982929251,0,0,0.0729717995203056,0,-0.0850338904329953,0.0317062989220432,0,-0.0697498605427496,0,0,0,0,0,0,0,0,0,0,0.644024736773164,0,0,0,0,0,0,0,0.0755611056357341,0,0,0,0,0.245064796201622,0,0,0,0.136709473761575
X1299.HK.EQUITY,0,0,-0.0956247154559922,0,0.114046645016372,0,0,0,0,0,0,0.192427419523266,0,0,0,0,0,0,0,0,0.138954908014068,0,0,0,0,0,0.164625012030205,0,0,0,0,0,0.0493483864853366,0,0,0,0,0,0,0.032984014149801,0.132636439408435,0,0.0862702864221481,0,0.0489672020205408,0.118281923261893,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.663322455615134,0.158379874479015,0,0,0,0,0,-0.00368823380793219,0,0,0,0,0,0,0,0,0,0.0841859056718642,0,0,0.237473724964973,0,0,0.00782347148484914,0,-0.0239021780436798,0,0.100477275563592,0,0.132685278332015,-0.010809978387372,0,0,0,0,0,0,0,0,-0.018823808852268,0,-0.0324531363761479,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00849799194157355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130289446417092,0,0,0,0,0,0.0852846309074311,0.179400838906125,0,0.014528560154878,0,0,0,0,0,0,0,0,0,0,0.345812810239507,0,0,0,0,0,0.152191320446938,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.085049555857981,0,0.0419130995696478,0.0376632255228714,0,0,0,0,0.0348501839651906,0,0.123161742113194,0,0,0.0439815963947839,0,0,0,0,0,0,0,0.158186413682881,0,0,0,0.391088946077736,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
